SF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
3000001	0.7310968823358093	0.07009757425280734	0.4594594594594595	0.7027027027027027	29.56756756756757	10036.0	37
3000003	0.7993377702725075	0.010280718800132777	0.0	0.16666666666666666	1.6666666666666667	10067.0	6
3000006	0.853025655645141	0.06735900666141642	0.1111111111111111	0.4444444444444444	7.777777777777778	10064.0	9
3000019	0.8450749677291232	0.00038313708742602646	0.0	0.0	1.0	10071.0	2
3000020	0.5975931113136629	0.08037534587468473	0.45454545454545453	0.5909090909090909	14.545454545454545	10051.0	22
3000025	0.528199781550988	0.00011970385515016822	0.0	0.0	1.0	10071.0	2
3000026	0.5176017874875868	0.00024245029512111639	0.0	0.0	2.0	10070.0	3
3000031	0.6626566247656603	0.031204925948538118	0.24615384615384617	0.5230769230769231	57.23076923076923	10008.0	65
3000033	0.5662600613025648	0.002390711742508357	0.0	0.0	10.666666666666666	10058.0	15
3000034	0.6913751319332397	0.09374157684632405	0.5138888888888888	0.6527777777777778	69.13888888888889	10001.0	72
3000035	0.8244216047148079	0.07073953794314188	0.24242424242424243	0.6666666666666666	29.696969696969695	10040.0	33
3000050	0.35355333730631705	0.0003938252509907151	0.0	0.0	1.6	10068.0	5
3000053	0.5534214873926604	0.001977704617143352	0.0	0.07692307692307693	4.923076923076923	10060.0	13
3000055	0.6587496071826953	0.025406150457099323	0.06666666666666667	0.4	10.533333333333333	10058.0	15
3000058	0.6103689419241359	0.012910346849994125	0.05263157894736842	0.05263157894736842	8.105263157894736	10054.0	19
3000059	0.8623054293054789	0.1306336153498246	0.4166666666666667	0.8333333333333334	10.5	10061.0	12
3000061	0.2750059342430666	0.00012439345600133664	0.0	0.0	1.7777777777777777	10064.0	9
3000062	0.5599240242327937	0.08528515688652218	0.25	0.25	3.0	10069.0	4
3000064	0.46691578111033866	0.00030650129850846007	0.0	0.0	2.0	10069.0	4
3000066	0.5492317235555424	0.005104424288537728	0.03225806451612903	0.0967741935483871	19.677419354838708	10042.0	31
3000067	0.9605428666004635	0.003601313407736529	0.0	0.0	1.3333333333333333	10070.0	3
3000068	0.6273603097212859	0.011721726368078094	0.018867924528301886	0.3018867924528302	33.16981132075472	10020.0	53
3000069	0.8805110331973139	0.025438602921953348	0.030303030303030304	0.3333333333333333	22.78787878787879	10040.0	33
3000070	0.7044589362313892	0.03986064501294548	0.15053763440860216	0.5483870967741935	78.49462365591398	9980.0	93
