CF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
2000000	0.5668040456209885	0.010681104936742503	0.03418803418803419	0.24786324786324787	95.72649572649573	15363.666666666666	117
2000001	0.42802491869656045	0.00011331932097614034	0.0	0.0	1.5	15477.0	4
2000002	0.37825475423312255	0.0006696167842510834	0.0	0.0	9.206349206349206	15418.0	63
2000003	0.7202993239452972	0.008490212921195128	0.037037037037037035	0.07407407407407407	12.555555555555555	15427.0	54
2000009	0.54378228877836	0.004781299104824618	0.016666666666666666	0.06666666666666667	40.46666666666667	15421.0	60
2000014	0.5323431333240671	0.03107092430053482	0.04375	0.21041666666666667	433.59166666666664	15000.733333333334	480
2000016	0.6100705537628066	0.02415475202186345	0.01282051282051282	0.15384615384615385	253.82051282051282	15168.858974358975	312
2000021	0.6928426298219937	0.003168075511701953	0.0	0.0	13.93939393939394	15447.060606060606	33
2000024	0.14917798287574094	0.00013467795895245798	0.0	0.0	1.9823008849557522	15368.0	113
2000025	0.6736733912196335	0.006736633630847387	0.0	0.12987012987012986	38.33766233766234	15404.0	77
2000030	0.6909421029536865	0.024934841846278557	0.06382978723404255	0.40425531914893614	42.170212765957444	15434.0	47
2000031	0.7095128051872178	0.0824375450980468	0.20572450805008943	0.7728085867620751	482.8479427549195	14922.0	559
2000032	0.8373336348365422	0.0009320191584353683	0.0	0.0	1.3333333333333333	15478.0	3
2000036	0.6222875170657484	0.0165986528910623	0.07042253521126761	0.38028169014084506	67.01408450704226	15410.0	71
2000041	0.4212630786010056	0.0009327473208539586	0.0	0.0	6.72	15456.0	25
2000045	0.7363949447322405	0.0007774079892963579	0.0	0.0	6.117647058823529	15464.0	17
2000047	0.5581326085021654	0.009376430700896742	0.06593406593406594	0.21978021978021978	75.95604395604396	15390.0	91
2000048	0.5926801212509019	0.011198318724739411	0.0625	0.2569444444444444	87.97222222222223	15336.708333333334	144
2000049	0.3033097013342781	0.0001202090827251192	0.0	0.0	1.9692307692307693	15416.0	65
2000051	0.7094289147694908	0.12983092500253895	0.4532627865961199	0.8253968253968254	480.4021164021164	14914.0	567
2000058	0.6701095036420547	0.0012614859278961361	0.0	0.01639344262295082	7.475409836065574	15420.0	61
2000062	0.6800040180077557	0.023395952743674012	0.038461538461538464	0.17307692307692307	38.15384615384615	15429.0	52
