SF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
3000001	0.7112008627833041	0.1339251826420507	0.5135135135135135	0.7567567567567568	29.56756756756757	9806.0	37
3000003	0.9900257531090103	0.07262289750880939	0.0	0.5	1.6666666666666667	9837.0	6
3000006	0.8874422557308463	0.010905285437656767	0.0	0.1111111111111111	7.777777777777778	9834.0	9
3000019	0.7790874911086272	0.00025167174121114104	0.0	0.0	1.0	9841.0	2
3000020	0.8432500095971733	0.4252564804315389	0.6666666666666666	0.8095238095238095	14.285714285714286	9822.0	21
3000025	0.9527100271002711	0.0036869084081581007	0.0	0.0	1.3333333333333333	9840.0	3
3000026	0.6599678184281843	0.02845057478148526	0.0	0.3333333333333333	2.0	9840.0	3
3000031	0.7028063095957684	0.07375732539729794	0.296875	0.578125	56.15625	9779.0	64
3000033	0.663651024722217	0.04364613152318212	0.2857142857142857	0.2857142857142857	10.285714285714286	9829.0	14
3000034	0.6384548369780317	0.130513438134772	0.5138888888888888	0.7777777777777778	69.13888888888889	9771.0	72
3000035	0.8496744158404401	0.08494223236892703	0.28125	0.78125	29.375	9811.0	32
3000050	0.9996103940102314	0.1581228956228956	0.0	1.0	1.5	9839.0	4
3000053	0.8633842928858187	0.014456771246800736	0.0	0.23076923076923078	4.923076923076923	9830.0	13
3000055	0.909648106864253	0.3416732914207411	0.6428571428571429	0.7857142857142857	10.0	9829.0	14
3000058	0.9001945262130864	0.029188093599812837	0.1111111111111111	0.2222222222222222	8.0	9825.0	18
3000059	0.9478844363685682	0.14811472166088388	0.25	0.9166666666666666	10.5	9831.0	12
3000061	0.7830892572629581	0.0017262419501840203	0.0	0.0	1.8	9833.0	10
3000062	0.8923586407832774	0.013622775817820152	0.0	0.25	3.0	9839.0	4
3000064	0.9054273808313853	0.003338245489215663	0.0	0.0	2.0	9839.0	4
3000066	0.8402639259729409	0.32991322184770433	0.72	0.88	19.6	9818.0	25
3000067	0.9819867886178861	0.00680603579003758	0.0	0.0	1.3333333333333333	9840.0	3
3000068	0.6159131202695968	0.03646093865679267	0.16981132075471697	0.5849056603773585	33.16981132075472	9790.0	53
3000069	0.8532450516701877	0.057691037026756126	0.25806451612903225	0.6451612903225806	21.419354838709676	9812.0	31
3000070	0.8063034476890233	0.052129503430354114	0.15053763440860216	0.6129032258064516	78.49462365591398	9750.0	93
3000071	0.7523111425483141	0.22723868478864906	0.4897959183673469	0.7040816326530612	67.06122448979592	9745.0	98
3000073	0.99067676049182	0.005938770325203253	0.0	0.0	1.0	9841.0	2
3000077	0.8082389479889357	0.05798985780454425	0.1724137931034483	0.6206896551724138	27.310344827586206	9814.0	29
3000080	0.9153785104914072	0.03586098482241707	0.09090909090909091	0.2727272727272727	6.0	9832.0	11
3000083	0.6459248952435787	0.0009821216802093787	0.0	0.0	5.6571428571428575	9808.0	35
3000087	0.6587353117489223	0.07242074139512951	0.5396825396825397	0.7936507936507936	61.01587301587302	9780.0	63
3000089	0.8056028974361551	0.08459403658469562	0.48484848484848486	0.6666666666666666	28.727272727272727	9810.0	33
3000091	0.6875957206612211	0.008047177769233237	0.0	0.18181818181818182	7.090909090909091	9832.0	11
3000094	0.8878222066561249	0.17914490976004505	0.5	0.75	9.833333333333334	9831.0	12
3000097	0.6725611506365474	0.006234918584048726	0.0	0.2	12.4	9828.0	15
3000098	0.8457362687877207	0.3601572161085657	0.75	0.7857142857142857	17.071428571428573	9815.0	28
3000099	0.9127483640185807	0.012351196564175397	0.0	0.08333333333333333	6.0	9831.0	12
3000100	0.7395086902443502	0.027352308855600808	0.17142857142857143	0.37142857142857144	31.02857142857143	9808.0	35
