CF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
2000000	0.5641862328237436	0.014087128125547257	0.06382978723404255	0.43617021276595747	77.51063829787235	11756.627659574468	94
2000001	0.5575694913346838	0.006068021183919584	0.0	0.0	1.3333333333333333	11848.0	3
2000002	0.4165296566634641	0.0005772933678433191	0.0	0.0	7.238095238095238	11809.0	42
2000003	0.848674103178373	0.02346672913728235	0.07317073170731707	0.12195121951219512	7.365853658536586	11810.0	41
2000009	0.49109497014343584	0.0035741607158850997	0.0	0.09433962264150944	34.339622641509436	11798.0	53
2000014	0.5174862450104692	0.031033731541687294	0.08238636363636363	0.29829545454545453	322.48295454545456	11498.764204545454	352
2000016	0.7068831827254776	0.038757612750786444	0.12060301507537688	0.5025125628140703	166.51256281407035	11651.854271356784	199
2000021	0.6962257055340559	0.003773771115025813	0.0	0.03571428571428571	9.785714285714286	11822.035714285714	28
2000024	0.2732016251052522	0.00012172259226095154	0.0	0.0	1.975	11771.0	80
2000025	0.7591864666871904	0.010367098492851385	0.0	0.08620689655172414	28.96551724137931	11793.0	58
2000030	0.6694872776686962	0.03409765573460955	0.21052631578947367	0.5526315789473685	33.05263157894737	11813.0	38
2000031	0.7826493497265669	0.156720276684681	0.601123595505618	0.9410112359550562	307.35955056179773	11495.0	356
2000032	0.6975087215845149	0.00025240123390446776	0.0	0.0	1.3333333333333333	11848.0	3
2000036	0.6829866603520542	0.032870519537982444	0.12307692307692308	0.5076923076923077	61.87692307692308	11786.0	65
2000041	0.32441601534995074	0.02052862210354559	0.0625	0.1875	6.0	11835.0	16
2000045	0.6633370724176195	0.001371136146781423	0.0	0.0	2.857142857142857	11844.0	7
2000047	0.5703645896301114	0.01559140063205142	0.1232876712328767	0.3835616438356164	61.013698630136986	11778.0	73
2000048	0.6236785856041743	0.01880415809242527	0.1485148514851485	0.40594059405940597	64.0990099009901	11749.722772277228	101
2000049	0.7377337166045519	0.0005038430043080455	0.0	0.0	1.9649122807017543	11794.0	57
2000051	0.5879518634365477	0.0941843880471334	0.5776805251641138	0.9080962800875274	389.34792122538295	11394.0	457
2000058	0.8810719972633192	0.00879265659531971	0.0	0.07317073170731707	3.8048780487804876	11810.0	41
2000062	0.6398280126262381	0.014299346535187179	0.02702702702702703	0.2972972972972973	25.2972972972973	11814.0	37
2000067	0.589678760752286	0.005911252708098953	0.0	0.05747126436781609	42.04597701149425	11764.0	87
2000068	0.6127804285616786	0.0017144493119240914	0.0	0.0	8.363636363636363	11840.0	11
2000069	0.6092648050410607	0.002059203313598865	0.0	0.0	12.32	11826.0	25
2000073	0.6245417730705194	0.008752556083607978	0.09090909090909091	0.13636363636363635	35.81818181818182	11806.272727272728	44
2000077	0.6158912781147716	0.0022164743912777116	0.0	0.019230769230769232	9.307692307692308	11799.0	52
2000080	0.6209339071030346	0.017328036566645874	0.20481927710843373	0.5180722891566265	78.81927710843374	11767.975903614459	83
2000081	0.6332762400294539	0.00527912030965848	0.0	0.037037037037037035	1.9259259259259258	11824.0	27
2000085	0.6520882765961118	0.07362759714178893	0.5408163265306123	0.8163265306122449	158.1734693877551	11655.0	196
2000090	0.4831346599616597	0.025109056326569037	0.3103448275862069	0.5724137931034483	123.9448275862069	11705.641379310346	145
2000094	0.7302648020546476	0.004698937435834062	0.0	0.047619047619047616	16.38095238095238	11830.0	21
2000096	0.11399954985370242	6.299916288520586e-05	0.0	0.0	1.3333333333333333	11848.0	3
2000097	0.5676556340399592	0.030393667551900344	0.3560606060606061	0.6136363636363636	96.21212121212122	11718.977272727272	132
2000100	0.5904534368834634	0.02300127989597469	0.14673913043478262	0.46195652173913043	107.20652173913044	11667.0	184
2000102	0.7182355424229633	0.0021663716716012827	0.0	0.0	5.0	11845.0	6
2000103	0.8873140100843174	0.004875355732636618	0.0	0.0	6.75	11843.0	8
2000104	0.6105696719005008	0.0007576962584670534	0.0	0.0	3.6	11846.0	5
2000112	0.7058723739977005	0.057791904331950125	0.3939393939393939	0.7878787878787878	56.63636363636363	11785.0	66
2000117	0.575306466593218	0.02599311754076787	0.2235294117647059	0.5294117647058824	74.68235294117648	11766.0	85
2000118	0.4015931402307651	0.00032429203209771745	0.0	0.0	1.9764705882352942	11766.0	85
2000119	0.6761636548367708	0.025360003572781138	0.2	0.26666666666666666	12.666666666666666	11836.0	15
2000120	0.6671274888431608	0.006935579657933595	0.0	0.05172413793103448	17.344827586206897	11793.0	58
2000125	0.4958661088770404	0.0014045019536259242	0.0	0.0	12.75	11835.0	16
2000128	0.9957412879320858	0.3751079175468665	0.6666666666666666	0.6666666666666666	3.0	11845.0	6
2000130	0.12982371993413472	0.00019422413081647652	0.0	0.0	3.8545454545454545	11796.0	55
2000134	0.8932497980831877	0.00643100499973065	0.0	0.037037037037037035	1.9259259259259258	11824.0	27
2000135	0.5204752953813104	0.005978496364545311	0.0	0.2857142857142857	5.714285714285714	11837.0	14
2000138	0.5460560770912363	0.0027816860650684847	0.0	0.07407407407407407	20.814814814814813	11824.0	27
2000139	0.8587919080813567	0.09505956238122398	0.25	0.625	14.875	11835.0	16
2000141	0.42569803234514725	0.0013355068770707222	0.0	0.0	14.692307692307692	11823.0	26
2000142	0.4720440543505781	8.568801123997569e-05	0.0	0.0	1.0	11849.0	2
2000150	0.48859863830744993	0.0003074097235815482	0.0	0.0	1.3333333333333333	11848.0	3
2000155	0.9998100303951367	0.5416666666666666	0.5	1.0	1.0	11835.5	2
2000157	0.5926446212082984	0.01705660399753133	0.14516129032258066	0.3064516129032258	32.87096774193548	11789.0	62
2000171	0.7103846586752208	0.10249541046375614	0.2	0.2	2.4	11846.0	5
2000175	0.6056579453545761	0.002537419385781881	0.0	0.1111111111111111	5.777777777777778	11842.0	9
2000181	0.8646262637884417	0.30000578911064457	0.6622516556291391	0.9801324503311258	125.40397350993378	11700.0	151
2000187	0.6651900782261242	0.0007696785964202103	0.0	0.0	3.2	11846.0	5
2000193	0.8943672779207392	0.5312849964516749	0.9428571428571428	0.9714285714285714	22.857142857142858	11816.0	35
2000204	0.16620439659473119	0.00010191557479570878	0.0	0.0	1.8666666666666667	11836.0	15
2000219	0.06569807206424307	9.724606139488128e-05	0.0	0.0	1.8666666666666667	11836.0	15
2000221	0.08838269846634159	9.492512859926205e-05	0.0	0.0	1.8666666666666667	11836.0	15
2000235	0.744417954268423	0.0010364575524462265	0.0	0.0	4.714285714285714	11837.0	14
2000237	0.8821747139809967	0.04662950505516921	0.1111111111111111	0.2222222222222222	4.0	11842.0	9
2000265	0.740312756308197	0.0005682617580510338	0.0	0.0	2.857142857142857	11844.0	7
2000268	0.7860791479712452	0.0072043745854716654	0.0	0.2857142857142857	4.285714285714286	11844.0	7
2000284	0.6441395950041757	0.003549457335094762	0.0	0.1	8.4	11841.0	10
2000304	0.5295338172406031	0.00011618321813315902	0.0	0.0	1.3333333333333333	11848.0	3
2000308	0.4830081002856713	0.0020874745698607027	0.0	0.0	10.37037037037037	11824.0	27
2000314	0.8538083074993064	0.0017705069280442047	0.0	0.0	1.75	11843.0	8
2000318	0.7222910918078204	0.07793935147456595	0.2	0.4666666666666667	5.066666666666666	11836.0	15
2000320	0.5159077795603592	0.0002966047714136876	0.0	0.0	3.0	11843.0	8
2000325	0.9562195773894938	0.011847590807848927	0.0	0.25	1.5	11847.0	4
2000326	0.578723738838015	0.009704843672559842	0.024793388429752067	0.1652892561983471	66.99173553719008	11730.0	121
2000335	0.5229754383004763	0.002937682250895763	0.0	0.05405405405405406	26.10810810810811	11814.0	37
2000349	0.6575771018166455	0.024768998106708257	0.0625	0.375	13.375	11835.0	16
2000353	0.524676452020202	0.011946816716055325	0.0	0.18181818181818182	3.272727272727273	11840.0	11
2000358	0.8638094478535282	0.4714274354270166	0.8888888888888888	0.8888888888888888	5.111111111111111	11842.0	9
2000370	0.9893090254332658	0.048726709524998905	0.0	0.6666666666666666	1.3333333333333333	11848.0	3
2000395	0.7166713477133457	0.19836439505868997	0.6666666666666666	0.9066666666666666	72.37333333333333	11776.0	75
2000403	0.8119835519320273	0.013704976704631692	0.0	0.09090909090909091	5.090909090909091	11839.363636363636	11
2000408	0.704446615842384	0.00626227060075037	0.0	0.15151515151515152	21.87878787878788	11818.0	33
2000411	0.3106913551651932	0.000952814836466395	0.0	0.0	13.12	11826.0	25
2000422	0.681985680974456	0.12148026365607124	0.7083333333333334	0.9583333333333334	37.041666666666664	11803.0	48
2000425	0.7055501278525594	0.00181186877479582	0.0	0.0	2.857142857142857	11844.0	7
2000442	0.6917384329618371	0.0023359637634381854	0.0	0.0	5.428571428571429	11844.0	7
2000446	0.6162362142696376	0.00015825213202568642	0.0	0.0	1.3333333333333333	11848.0	3
2000453	0.6648927888574273	0.016060618850652023	0.05172413793103448	0.29310344827586204	39.275862068965516	11793.0	58
2000457	0.5443010621273157	0.004745712257704215	0.0	0.07936507936507936	40.92063492063492	11788.0	63
2000460	0.700101274369145	0.00014826349166868787	0.0	0.0	1.0	11849.0	2
2000464	0.8758704735376045	0.0008604675838609003	0.0	0.0	2.0	11847.0	4
2000468	0.6529564384585608	0.0136475478611224	0.045454545454545456	0.18181818181818182	13.272727272727273	11829.0	22
2000470	0.3421594074449228	0.00014940618173615037	0.0	0.0	2.5	11847.0	4
2000479	0.99858637859735	0.049479166666666664	0.0	0.5	1.0	11849.0	2
2000522	0.7020348012033675	0.01923162254362453	0.06976744186046512	0.23255813953488372	35.86046511627907	11808.0	43
2000526	0.20084261760072022	7.516074378575989e-05	0.0	0.0	1.3333333333333333	11848.0	3
2000530	0.5012660364618501	0.0001246240696320986	0.0	0.0	1.3333333333333333	11848.0	3
2000538	0.669793038053484	0.012789954940160173	0.058823529411764705	0.11764705882352941	12.588235294117647	11834.0	17
2000539	0.850926059977238	0.09233584085473052	0.2	0.5	5.4	11841.0	10
2000543	0.6007844813122497	0.0038792492963671205	0.0	0.05555555555555555	30.62962962962963	11796.685185185184	54
2000557	0.6747445839986137	0.0050290085880178486	0.0	0.02564102564102564	9.025641025641026	11811.128205128205	39
2000559	0.942843277913748	0.500180766449747	0.5	0.5	1.0	11849.0	2
2000560	0.8171562007652486	0.00042955019121444733	0.0	0.0	1.3333333333333333	11848.0	3
2000563	0.17317891304292185	9.378149141118669e-05	0.0	0.0	1.8333333333333333	11839.0	12
2000566	0.6229319658985397	0.032500757182590406	0.0	0.5	3.0	11847.0	4
2000570	0.4272286003714334	0.00014347625729468485	0.0	0.0	1.6	11846.0	5
2000578	0.7669098408756276	0.1133001053055121	0.5882352941176471	0.6666666666666666	39.84313725490196	11800.0	51
2000582	0.4771921681154528	8.538173270395034e-05	0.0	0.0	1.0	11849.0	2
2000591	0.7351148801065382	0.01135846732834199	0.0	0.2857142857142857	16.857142857142858	11830.0	21
2000595	0.8788192099932478	0.0004788280876843914	0.0	0.0	1.3333333333333333	11848.0	3
2000604	0.2507333080104668	0.00010827366849448569	0.0	0.0	2.0	11847.0	4
2000607	0.8022131557003053	0.0005406276651046672	0.0	0.0	1.9753086419753085	11770.0	81
2000614	0.5497987801827763	0.0013453231306087762	0.0	0.0	12.0	11827.411764705883	17
2000619	0.7737185380665051	0.059219649943532945	0.3333333333333333	0.6491228070175439	31.614035087719298	11794.0	57
