SF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
3000001	0.7989367605408466	0.029021327814074408	0.10810810810810811	0.5405405405405406	29.56756756756757	9805.0	37
3000003	0.9395045411413854	0.0050171046935764485	0.0	0.0	1.6666666666666667	9836.0	6
3000006	0.9068234153215848	0.020471181999130193	0.0	0.3333333333333333	7.777777777777778	9833.0	9
3000019	0.8146849593495935	0.00031258270346035556	0.0	0.0	1.0	9840.0	2
3000020	0.955990749452799	0.2853310343131418	0.38095238095238093	0.9047619047619048	14.285714285714286	9821.0	21
3000025	0.9143459701189145	0.0019364370495991918	0.0	0.0	1.3333333333333333	9839.0	3
3000026	0.7399718806111734	0.00128652331240534	0.0	0.0	2.0	9839.0	3
3000031	0.6621901786522704	0.13475676449955074	0.4375	0.515625	55.75	9778.0	64
3000033	0.46017888594582734	0.004005949450323143	0.0	0.07142857142857142	10.285714285714286	9828.0	14
3000034	0.7947598116582414	0.14904960724079427	0.3472222222222222	0.5277777777777778	69.13888888888889	9770.0	72
3000035	0.7966971105346226	0.03452923514177393	0.125	0.40625	29.375	9810.0	32
3000050	0.9837915904316595	0.06363989796477439	0.0	0.75	1.5	9838.0	4
3000053	0.678323812722022	0.001466043835791735	0.0	0.0	4.923076923076923	9829.0	13
3000055	0.8595003628962725	0.08802249195900336	0.42857142857142855	0.8571428571428571	10.0	9828.0	14
3000058	0.6751186680788855	0.003267998553639771	0.0	0.05555555555555555	8.0	9824.0	18
3000059	0.8369279262615987	0.05870939387424479	0.25	0.5	10.5	9830.0	12
3000061	0.6242219283970708	0.0006980752327010321	0.0	0.0	1.8	9832.0	10
3000062	0.8445229382665853	0.003409860280067442	0.0	0.0	3.0	9838.0	4
3000064	0.9861188757877617	0.012465859947135172	0.0	0.0	2.0	9838.0	4
3000066	0.8383548068559208	0.20032307376516212	0.68	0.8	19.6	9817.0	25
3000067	0.7549971203035538	0.001971640853445813	0.0	0.0	1.3333333333333333	9839.0	3
3000068	0.7562000623833988	0.022884070355853596	0.09433962264150944	0.37735849056603776	33.16981132075472	9789.0	53
3000069	0.8381424548576047	0.017775440021672556	0.06451612903225806	0.41935483870967744	21.419354838709676	9811.0	31
3000070	0.7565316768204384	0.031680275033611996	0.053763440860215055	0.43010752688172044	78.49462365591398	9749.0	93
3000071	0.799568992777982	0.08409601290708882	0.336734693877551	0.6938775510204082	67.20408163265306	9744.0	98
3000073	0.8044969512195121	0.00033271849925218215	0.0	0.0	1.0	9840.0	2
3000077	0.6787647918651302	0.0648136674433901	0.3103448275862069	0.5172413793103449	27.310344827586206	9813.0	29
3000080	0.6944977955734746	0.0013874945598971627	0.0	0.0	6.0	9831.0	11
3000083	0.6428912607155639	0.0007300201533221948	0.0	0.0	5.6571428571428575	9807.0	35
3000087	0.7664513748489649	0.03857242765877891	0.06349206349206349	0.49206349206349204	61.01587301587302	9779.0	63
3000089	0.7903974726411559	0.0505838435875029	0.24242424242424243	0.5757575757575758	28.727272727272727	9809.0	33
3000091	0.9387357158489291	0.03071897817310916	0.0	0.09090909090909091	7.090909090909091	9831.0	11
3000094	0.8073614900274361	0.22945995620314674	0.4166666666666667	0.6666666666666666	9.833333333333334	9830.0	12
3000097	0.683040720628489	0.003972627798676855	0.0	0.0	12.4	9827.0	15
3000098	0.7540476269460373	0.10496099806713713	0.35714285714285715	0.6785714285714286	17.071428571428573	9814.0	28
3000099	0.7399370549338758	0.0016240870489859745	0.0	0.0	6.0	9830.0	12
3000100	0.6867108117372768	0.008261332154680438	0.0	0.05714285714285714	31.02857142857143	9807.0	35
3000102	0.918877195482616	0.39780139752317706	0.8412698412698413	0.9047619047619048	60.98412698412698	9779.0	63
3000103	0.23027630954801112	0.0001354082435245852	0.0	0.0	1.5	9838.0	4
3000104	0.8189275149044513	0.02270298638267764	0.06666666666666667	0.3111111111111111	43.86666666666667	9797.0	45
3000110	0.8399492776614959	0.006305648580609763	0.014492753623188406	0.043478260869565216	13.18840579710145	9773.0	69
3000113	0.7917609782977281	0.15693597689244795	0.3333333333333333	0.5833333333333334	5.333333333333333	9830.0	12
3000114	0.644713189354015	0.06339146088844647	0.16666666666666666	0.3333333333333333	13.11111111111111	9824.0	18
3000116	0.6465279307989055	0.07213043310065256	0.34375	0.59375	61.40625	9778.0	64
3000118	0.8996229244698203	0.5955715971499348	0.8378378378378378	0.8918918918918919	72.54054054054055	9768.0	74
3000119	0.8634892303996023	0.17270855699843934	0.5333333333333333	0.6666666666666666	26.733333333333334	9812.0	30
3000120	0.6970922624326361	0.0291708396206162	0.07017543859649122	0.3333333333333333	53.333333333333336	9785.0	57
3000121	0.8991093210002032	0.0018595977890096152	0.0	0.0	2.5	9838.0	4
3000122	0.7822055687047039	0.012670567405109159	0.0	0.07692307692307693	6.461538461538462	9829.0	13
3000125	0.5254461985835214	0.046277701683902966	0.21052631578947367	0.3157894736842105	13.68421052631579	9823.0	19
3000129	0.7157531430224587	0.007409560266070014	0.0	0.14814814814814814	25.11111111111111	9815.0	27
3000130	0.9911839430894309	0.005916766387448478	0.0	0.0	1.0	9840.0	2
3000131	0.5618796179123974	0.002374726203357126	0.0	0.0	12.470588235294118	9825.0	17
3000132	0.7963743671458277	0.0036616501971632838	0.0	0.1	7.0	9832.0	10
3000134	0.7739664931146172	0.025441524584999195	0.09210526315789473	0.3815789473684211	53.31578947368421	9766.0	76
3000135	0.7250229681397173	0.023355581911200594	0.03773584905660377	0.3018867924528302	81.28301886792453	9736.0	106
3000137	0.7902447338812408	0.005336311272676654	0.0	0.047619047619047616	10.952380952380953	9821.0	21
3000142	0.6878145200479161	0.002240102557697187	0.0	0.0	8.8	9832.0	10
3000143	0.6760758280033101	0.013423834414856723	0.01818181818181818	0.18181818181818182	46.07272727272727	9787.0	55
3000148	0.7521679068973532	0.0017082648606238262	0.0	0.0	5.25	9834.0	8
3000149	0.7276549320916772	0.1468328936751647	0.5	0.6	31.65	9802.0	40
3000153	0.6155005291145141	0.0006190260100505695	0.0	0.0	1.9487179487179487	9803.0	39
3000157	0.8122967708252562	0.020626857289173618	0.034482758620689655	0.3620689655172414	39.10344827586207	9784.0	58
3000158	0.6826609358653958	0.005362990842483333	0.0	0.1	8.2	9832.0	10
3000159	0.7741523957958587	0.008665160401837622	0.0	0.2222222222222222	21.037037037037038	9815.0	27
3000160	0.8541628167430638	0.04082931588361784	0.06666666666666667	0.5	21.133333333333333	9812.0	30
3000161	0.732947572367029	0.0013261557250687367	0.0	0.0	6.266666666666667	9827.0	15
3000162	0.8742096167530752	0.0014624047310029624	0.0	0.0	2.8	9837.0	5
3000163	0.86512337781826	0.03223244910489275	0.2222222222222222	0.3333333333333333	15.11111111111111	9824.0	18
3000164	0.8482867939196151	0.0075669399052175484	0.0	0.15384615384615385	10.153846153846153	9829.0	13
3000165	0.45170935827065123	0.0001264028628406098	0.0	0.0	1.5	9838.0	4
3000166	0.3334934431229033	0.00019539746407685096	0.0	0.0	1.6	9837.0	5
3000168	0.6068475977502202	0.005045956132116798	0.0	0.0	3.0	9838.0	4
3000181	0.5366991902971169	0.00031293670321670816	0.0	0.0	2.0	9839.0	3
3000183	0.7692360475754804	0.0015931551582398357	0.0	0.0	4.0	9837.0	5
3000189	0.9965193089430895	0.015434782608695652	0.0	0.0	1.0	9840.0	2
3000192	0.7699838461886043	0.005242482357254928	0.0	0.16666666666666666	4.0	9836.0	6
3000195	0.9079927477294293	0.014925928810587463	0.0	0.16666666666666666	1.6666666666666667	9836.0	6
3000208	0.6483435011015083	0.17895388578803165	0.42857142857142855	0.7142857142857143	5.142857142857143	9835.0	7
3000210	0.7737757557272604	0.005892028749860737	0.0	0.0	3.6666666666666665	9836.0	6
3000213	0.6488125487007487	0.00019054433968489497	0.0	0.0	1.3333333333333333	9839.0	3
3000216	0.5237974262317974	0.003055711203616468	0.0	0.14285714285714285	10.571428571428571	9828.0	14
3000219	0.8707571138211382	0.0004404860535763601	0.0	0.0	1.0	9840.0	2
3000223	0.6947100171774704	0.007495522287288095	0.0	0.2	7.4	9832.0	10
3000224	0.9970710794593822	0.30181815269617795	0.35294117647058826	0.9411764705882353	14.235294117647058	9825.0	17
3000226	0.9998094124822119	0.45555555555555555	0.25	1.0	1.5	9838.0	4
3000228	0.9961564850579386	0.07562624495168772	0.0	0.75	2.5	9838.0	4
3000231	0.7933523073795486	0.0007053842116843953	0.0	0.0	1.5	9838.0	4
3000233	0.9989283669556729	0.8028953123039008	0.8888888888888888	1.0	4.444444444444445	9833.0	9
3000238	0.9129569400684351	0.0008480830586351535	0.0	0.0	1.3333333333333333	9839.0	3
3000255	0.9538790233503044	0.08712123534097321	0.14285714285714285	0.6571428571428571	19.942857142857143	9807.0	35
3000256	0.8671647353798198	0.005584744186743003	0.0	0.0	2.5	9838.0	4
3000260	0.6435091999593372	0.000539050807496887	0.0	0.0	2.4	9837.0	5
3000264	0.8355796070474129	0.014142716428260786	0.0	0.2727272727272727	7.818181818181818	9831.0	11
3000265	0.8317662804092973	0.0004932402633648786	0.0	0.0	1.5	9838.0	4
3000266	0.8433482855982602	0.0059993463827300916	0.0	0.07692307692307693	7.846153846153846	9829.0	13
3000267	0.8666382317109756	0.008268568084093415	0.0	0.07692307692307693	4.615384615384615	9829.0	13
3000268	0.7737729661826814	0.0020005954515036196	0.0	0.0	7.166666666666667	9830.0	12
3000272	0.6948035302691343	0.0031170097827035634	0.0	0.125	5.0	9834.0	8
3000273	0.2437938395852394	0.0004437306839565428	0.0	0.0	1.6	9837.0	5
3000274	0.9225585374944936	0.007252941256817988	0.0	0.2	3.6	9837.0	5
3000276	0.5847560975609756	0.00015683241489693103	0.0	0.0	1.0	9840.0	2
3000278	0.7625393920910847	0.0030771315602993042	0.0	0.0	4.0	9837.0	5
3000283	0.624441321169509	0.004070782852807812	0.0	0.125	5.75	9834.0	8
3000295	0.8596867799462002	0.02278474119113302	0.1	0.25	17.9	9822.0	20
3000299	0.8660338517840807	0.005057411884799556	0.0	0.0	4.0	9837.0	5
3000300	0.7157485516820815	0.0002759781367235121	0.0	0.0	1.3333333333333333	9839.0	3
3000304	0.8369562306310082	0.5907852308034499	0.7142857142857143	0.7857142857142857	9.714285714285714	9828.0	14
3000305	0.7787289170435809	0.0005600207447654386	0.0	0.0	1.9090909090909092	9820.0	22
3000308	0.9591731674365903	0.09115859713712496	0.25	0.5	6.25	9834.0	8
3000309	0.8045293636738529	0.03551503160327545	0.1388888888888889	0.3888888888888889	25.444444444444443	9806.0	36
3000310	1.0	1.0	1.0	1.0	1.0	9840.0	2
3000312	0.8307500762272588	0.0004932142073152454	0.0	0.0	1.3333333333333333	9839.0	3
3000313	0.9420524931077008	0.46783920622333464	0.7733333333333333	0.88	63.46666666666667	9767.0	75
3000318	0.8632554349873781	0.0033379592720022243	0.0	0.0	4.5	9830.0	12
3000320	0.9045708042706315	0.18361318456827022	0.3888888888888889	0.6111111111111112	12.11111111111111	9824.0	18
3000325	0.8805275998780117	0.0034332440418529736	0.0	0.0	4.0	9837.0	5
3000330	0.7428076406251009	0.031273327516719775	0.07142857142857142	0.21428571428571427	10.0	9828.0	14
3000334	0.7960460887890419	0.011461410537531752	0.0	0.3333333333333333	12.133333333333333	9827.0	15
3000335	0.9579479621912798	0.003912192735901254	0.0	0.0	1.3333333333333333	9839.0	3
3000336	0.821924653589457	0.00042630163256567044	0.0	0.0	1.3333333333333333	9839.0	3
3000337	0.4163363821138212	9.536727382309198e-05	0.0	0.0	1.0	9840.0	2
3000338	0.8243757199972894	0.0005685644254365721	0.0	0.0	1.5	9838.0	4
3000345	0.8776422764227643	0.0005415160834540692	0.0	0.0	1.0	9840.0	2
3000350	0.9973069105691057	0.026647286821705425	0.0	0.0	1.0	9840.0	2
3000351	0.554180951412495	0.0010813886831765604	0.0	0.0	6.5	9834.0	8
3000352	0.7138380603842636	0.0005267951758248804	0.0	0.0	2.8	9837.0	5
3000354	0.8040620659281092	0.003875613050126764	0.0	0.0	1.3333333333333333	9839.0	3
3000376	0.9366000033882226	0.0030009636576218226	0.0	0.0	2.5	9838.0	4
3000379	0.7133892276422764	0.00017794157438922383	0.0	0.0	1.0	9840.0	2
3000382	0.8493241183047058	0.0028489715340532635	0.0	0.0	1.3333333333333333	9839.0	3
3000388	0.913500844967291	0.13256289871991572	0.3125	0.6875	13.5	9810.0	32
3000390	0.868775406504065	0.0004118089435549753	0.0	0.0	1.0	9840.0	2
3000394	0.6920926923467832	0.00024525755122010615	0.0	0.0	1.3333333333333333	9839.0	3
3000396	0.7965538528578691	0.003671115015212231	0.0	0.0	5.428571428571429	9835.0	7
3000398	0.7724102452368848	0.018376569444412405	0.0	0.2857142857142857	3.142857142857143	9835.0	7
3000399	0.7889690686722904	0.00034044480826584913	0.0	0.0	1.3333333333333333	9839.0	3
3000401	0.8383382906243645	0.008910181263501588	0.0	0.0	5.25	9834.0	8
3000403	0.8696239145259845	0.39574502898982533	0.8690476190476191	0.8928571428571429	30.023809523809526	9758.0	84
3000404	0.7214717540570101	0.010618786165655397	0.1	0.1	14.9	9822.0	20
3000408	0.433961784734221	0.0001293452092218531	0.0	0.0	1.3333333333333333	9839.0	3
3000412	0.8600105684734977	0.036868455103890654	0.08571428571428572	0.5428571428571428	22.457142857142856	9807.0	35
3000416	0.8491228367448377	0.004146102952022063	0.0	0.0	3.0	9836.0	6
3000419	0.8811336561718435	0.008662768208193677	0.0	0.0	13.727272727272727	9820.0	22
3000421	0.6673780487804878	0.0001681834239074624	0.0	0.0	1.0	9840.0	2
3000424	0.8659126338620036	0.019823791214679577	0.0	0.3333333333333333	4.666666666666667	9836.0	6
3000426	0.8509911558401952	0.0005340962203966955	0.0	0.0	1.6	9837.0	5
3000428	0.7054141125077242	0.07432826754463544	0.43478260869565216	0.6521739130434783	21.304347826086957	9819.0	23
3000430	0.7437092931142367	0.001306659819869462	0.0	0.0	5.454545454545454	9831.0	11
3000433	0.9431573641046497	0.04058433920748674	0.0	0.3333333333333333	2.6666666666666665	9836.0	6
