SF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
3000001	0.5089544535400995	0.00345785916188963	0.0	0.05405405405405406	29.56756756756757	10037.0	37
3000003	0.5950470136405774	0.0005088169892082972	0.0	0.0	1.6666666666666667	10068.0	6
3000006	0.48261646297032323	0.001145365755317865	0.0	0.0	8.6	10064.0	10
3000019	0.29244440031771246	7.00579618684046e-05	0.0	0.0	1.0	10072.0	2
3000020	0.43080945715490093	0.001597736286521472	0.0	0.043478260869565216	15.565217391304348	10051.0	23
3000025	0.29112887212073074	6.983417396634648e-05	0.0	0.0	1.0	10072.0	2
3000026	0.8069291364644359	0.0007930269764941395	0.0	0.0	2.0	10071.0	3
3000031	0.5014432043419416	0.005949784084122566	0.0	0.06153846153846154	57.23076923076923	10009.0	65
3000033	0.5118241477361705	0.0011949742913703184	0.0	0.0	11.0	10058.0	16
3000034	0.47229048280002506	0.006505195263290829	0.0	0.0	69.16666666666667	10002.0	72
3000035	0.48544055751068044	0.0029334055730179218	0.0	0.0	29.696969696969695	10041.0	33
3000050	0.5272767901479789	0.00018018638086409995	0.0	0.0	1.6	10069.0	5
3000053	0.44504359653201714	0.0005567583890511755	0.0	0.0	4.923076923076923	10061.0	13
3000055	0.4226963084132567	0.0009617285371425121	0.0	0.0	10.0	10060.0	14
3000058	0.41129838519720485	0.0008703168082287411	0.0	0.0	8.105263157894736	10055.0	19
3000059	0.5394844389030435	0.0013097993447563653	0.0	0.0	10.5	10062.0	12
3000061	0.6422365733841144	0.0007202536742816768	0.0	0.0	1.7777777777777777	10065.0	9
3000062	0.5429245283018868	0.00038758294765925156	0.0	0.0	3.0	10070.0	4
3000064	0.44318520357497515	0.0004451232669584868	0.0	0.0	2.0	10070.0	4
3000066	0.4380046327484067	0.0017864158120291865	0.0	0.0	19.466666666666665	10044.0	30
3000067	0.6242759739185119	0.00016677509082407428	0.0	0.0	1.3333333333333333	10071.0	3
3000068	0.5537347598448814	0.003977339130662302	0.0	0.03773584905660377	33.16981132075472	10021.0	53
3000069	0.4770203189490982	0.002170191936985272	0.0	0.0	22.78787878787879	10041.0	33
3000070	0.4990439035966625	0.00842126000529117	0.010526315789473684	0.07368421052631578	80.65263157894736	9979.0	95
3000071	0.4934873170038392	0.0067989843632231435	0.0	0.07142857142857142	67.48979591836735	9976.0	98
3000073	0.6415806195393169	0.00017590836088521614	0.0	0.0	1.0	10072.0	2
3000077	0.4930905437924376	0.003024699157884433	0.0	0.0	28.066666666666666	10044.0	30
3000080	0.7022854501489104	0.0018250424498484693	0.0	0.0	6.0	10063.0	11
3000083	0.4564474718892499	0.0006276694111312207	0.0	0.0	5.684210526315789	10036.0	38
3000087	0.48325041996659446	0.006426820439617597	0.0	0.0625	62.0	10010.0	64
3000089	0.5692572386637782	0.003906396665853557	0.0	0.0	29.235294117647058	10040.0	34
3000091	0.5342244078754065	0.0010435052116822693	0.0	0.0	7.090909090909091	10063.0	11
3000094	0.49964888148027686	0.009971044168881124	0.08333333333333333	0.16666666666666666	9.833333333333334	10062.0	12
3000097	0.48145200531869187	0.001717273048690029	0.0	0.0	12.4	10059.0	15
3000098	0.5176807789865508	0.0018737021934068564	0.0	0.0	17.4	10044.0	30
3000099	0.4796795842756291	0.0005655029364984975	0.0	0.0	4.7272727272727275	10063.0	11
3000100	0.5069296617505968	0.003268414667863089	0.0	0.0	31.02857142857143	10039.0	35
3000102	0.46942669118754116	0.006395037246644862	0.0	0.05714285714285714	67.74285714285715	10004.0	70
3000103	0.5499131082423039	0.00020773906153989864	0.0	0.0	1.5	10070.0	4
3000104	0.5231848112636849	0.005389145669635294	0.022222222222222223	0.044444444444444446	43.86666666666667	10029.0	45
3000110	0.4917412111450911	0.0015623607865522316	0.0	0.014925373134328358	13.164179104477611	10007.0	67
3000113	0.4549593446557271	0.0004637396380468251	0.0	0.0	4.5	10062.0	12
3000114	0.5653975421984132	0.006554452126751194	0.05555555555555555	0.1111111111111111	13.11111111111111	10056.0	18
3000116	0.5303752400419383	0.007397914697119319	0.0	0.15151515151515152	63.36363636363637	10008.0	66
3000118	0.49939744200761543	0.008792398026135408	0.0	0.06896551724137931	85.10344827586206	9987.0	87
3000119	0.49024731131635846	0.0030205961515374436	0.0	0.0	27.677419354838708	10043.0	31
3000120	0.48074477001247434	0.005600091075361559	0.0	0.016129032258064516	58.12903225806452	10012.0	62
3000121	0.46993958953988746	0.00026543902516170954	0.0	0.0	2.5	10070.0	4
3000122	0.38113557057355507	0.0005880449690925664	0.0	0.0	6.0	10062.0	12
3000125	0.5286062903022928	0.0020635081603336313	0.0	0.0	16.347826086956523	10051.0	23
3000129	0.5034841938212258	0.0026606034152051507	0.0	0.037037037037037035	25.11111111111111	10047.0	27
3000130	0.8485156870532169	0.00043590342784634073	0.0	0.0	1.0	10072.0	2
3000131	0.501051127556883	0.0013918392455564165	0.0	0.0	12.470588235294118	10057.0	17
3000132	0.4935115952349408	0.0007914977371895098	0.0	0.0	7.0	10064.0	10
3000134	0.5121748121886885	0.005914443468991754	0.0	0.07894736842105263	53.31578947368421	9998.0	76
3000135	0.5046975482378426	0.008660057961648695	0.009433962264150943	0.0660377358490566	82.09433962264151	9968.0	106
3000137	0.49540561540523764	0.0017370564111661461	0.0	0.047619047619047616	10.952380952380953	10053.0	21
3000142	0.5016772920461445	0.0010837396493859498	0.0	0.0	8.0	10065.0	9
3000143	0.4951514457229251	0.004854987206316496	0.0	0.0	46.464285714285715	10018.0	56
3000148	0.5410613748728503	0.0007274510475979587	0.0	0.0	5.555555555555555	10065.0	9
3000149	0.5145272976764197	0.0037414590223391582	0.0	0.0	31.65	10034.0	40
3000153	0.6327376245429449	0.0003769234478819186	0.0	0.0	1.945945945945946	10037.0	37
3000157	0.5000016064093628	0.00449771460609469	0.0	0.08620689655172414	39.10344827586207	10016.0	58
3000158	0.4433997416534181	0.0007295352677371498	0.0	0.0	8.2	10064.0	10
3000159	0.5246353334633707	0.002329423546302581	0.0	0.0	20.53846153846154	10048.0	26
3000160	0.4995852157990828	0.002360522495263987	0.0	0.0	22.193548387096776	10043.0	31
3000161	0.5153027297673883	0.0007808067596097144	0.0	0.0	6.266666666666667	10059.0	15
3000162	0.41768474374255066	0.00024646591041681265	0.0	0.0	3.0	10068.0	6
3000163	0.4781798742904967	0.0014313745285125055	0.0	0.0	15.11111111111111	10056.0	18
3000164	0.5785400297501481	0.0018669571467290317	0.0	0.0	10.153846153846153	10061.0	13
3000165	0.4379647101665177	0.0007220810510494066	0.0	0.0	2.4	10069.0	5
3000166	0.6350531333796802	0.0003222130900089427	0.0	0.0	1.6	10069.0	5
3000168	0.5625041377027474	0.0003458822697326065	0.0	0.0	3.0	10070.0	4
3000181	0.7473935061066429	0.003090602253686701	0.0	0.0	2.0	10071.0	3
3000183	0.5599587843877247	0.0005558058686428027	0.0	0.0	4.0	10069.0	5
3000189	0.26350277998411437	6.772600709063905e-05	0.0	0.0	1.0	10072.0	2
3000192	0.3721444179578864	0.00029393802754160386	0.0	0.0	4.0	10068.0	6
3000195	0.35236061448814726	0.0001301579288867816	0.0	0.0	1.6666666666666667	10068.0	6
3000208	0.58514027444692	0.0006191261084989005	0.0	0.0	5.142857142857143	10067.0	7
3000210	0.5544425683132477	0.0004736902894185268	0.0	0.0	3.6666666666666665	10068.0	6
3000213	0.39687386224472904	0.00011992681055406492	0.0	0.0	1.3333333333333333	10071.0	3
3000216	0.5126933421594919	0.0011797279137676212	0.0	0.0	11.066666666666666	10059.0	15
3000219	0.5265587768069897	0.00011799504511831387	0.0	0.0	1.0	10072.0	2
3000223	0.4759520911405103	0.0008528295578928627	0.0	0.0	7.6	10064.0	10
3000224	0.46493709996523375	0.0013532560930609792	0.0	0.0	14.235294117647058	10057.0	17
3000226	0.5298038728897716	0.00025846096408556194	0.0	0.0	1.5	10070.0	4
3000228	0.28980263157894737	0.00017381371633078992	0.0	0.0	2.5	10070.0	4
3000231	0.522211188348229	0.0001805143225853754	0.0	0.0	1.5	10070.0	4
3000233	0.4666511261456616	0.0007146003920603008	0.0	0.0	4.444444444444445	10065.0	9
3000238	0.630870817197895	0.00019812541939955136	0.0	0.0	1.3333333333333333	10071.0	3
3000255	0.4690475261162195	0.001888672832044215	0.0	0.0	19.333333333333332	10041.0	33
3000256	0.5975566865276398	0.0003056235439061767	0.0	0.0	2.5	10070.0	4
3000260	0.48841216232196666	0.0005257646055265489	0.0	0.0	3.4285714285714284	10067.0	7
3000264	0.5256043482787669	0.0011196278601577415	0.0	0.0	8.333333333333334	10062.0	12
3000265	0.6340922633826597	0.0008691969692735798	0.0	0.0	1.6	10069.0	5
3000266	0.444186509301806	0.0006760143903217232	0.0	0.0	7.846153846153846	10061.0	13
3000267	0.7264456048871116	0.0016181810796207497	0.0	0.0	4.615384615384615	10061.0	13
3000268	0.4102558832209995	0.0009340632739525666	0.0	0.0	7.166666666666667	10062.0	12
3000272	0.48531721885555335	0.0007134783726315273	0.0	0.0	5.0	10066.0	8
3000273	0.3582480881914788	0.00032650758420108955	0.0	0.0	1.6	10069.0	5
3000274	0.41267918032244183	0.000337770294888546	0.0	0.0	3.6	10069.0	5
3000276	0.6456740475954059	0.00030806129130257125	0.0	0.0	1.3333333333333333	10071.0	3
3000278	0.5139934452279273	0.00047331341415877157	0.0	0.0	4.0	10069.0	5
3000283	0.4021397621807458	0.0004936677565646947	0.0	0.0	6.222222222222222	10065.0	9
3000295	0.4598157188026761	0.001865951470089432	0.0	0.0	17.9	10054.0	20
3000299	0.6857607508193465	0.0008781826641318758	0.0	0.0	4.0	10069.0	5
3000300	0.5136199649157648	0.00019213190902277947	0.0	0.0	1.3333333333333333	10071.0	3
3000304	0.4766107617485252	0.0009869130847947223	0.0	0.0	10.25	10058.0	16
3000305	0.7198678046311637	0.0005060945077946981	0.0	0.0	1.9130434782608696	10051.0	23
3000308	0.4891641948851863	0.0007096582918924894	0.0	0.0	6.25	10066.0	8
3000309	0.5129279152219274	0.0030926372874890726	0.0	0.02702702702702703	25.83783783783784	10037.0	37
3000310	0.5867503971405877	0.00011973541215945101	0.0	0.0	1.0	10072.0	2
3000312	0.506669314533479	0.00013477222592412738	0.0	0.0	1.3333333333333333	10071.0	3
3000313	0.5112148192894356	0.007262041444237834	0.0	0.012048192771084338	70.02409638554217	9991.0	83
3000318	0.4854347490006405	0.00044451560085948194	0.0	0.0	4.5	10062.0	12
3000320	0.5349264354019778	0.001614297966499827	0.0	0.0	13.368421052631579	10055.0	19
3000325	0.6677698877743569	0.0008943129381887276	0.0	0.0	4.0	10069.0	5
3000330	0.5961845456564642	0.0020851434666427655	0.0	0.0	10.0	10060.0	14
3000334	0.497676658265683	0.0013200451884179225	0.0	0.0	12.133333333333333	10059.0	15
3000335	0.31094230960182706	0.00017073299110647222	0.0	0.0	1.3333333333333333	10071.0	3
3000336	0.1122447290901268	7.361696465717916e-05	0.0	0.0	1.3333333333333333	10071.0	3
3000337	0.7222249801429707	0.0001777002338207403	0.0	0.0	1.0	10072.0	2
3000338	0.5940044687189673	0.00023249645024386642	0.0	0.0	1.5	10070.0	4
3000345	0.48704328832406674	9.895658486395259e-05	0.0	0.0	1.0	10072.0	2
3000350	0.08655182684670373	5.431588009393672e-05	0.0	0.0	1.0	10072.0	2
3000351	0.42855501901734266	0.0006654142612644629	0.0	0.0	6.5	10066.0	8
3000352	0.38349637501241435	0.00022582353176056163	0.0	0.0	2.8	10069.0	5
