SF	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
3000001	0.7154525327669978	0.14177192384721993	0.5833333333333334	0.75	28.833333333333332	11815.0	36
3000003	0.9898986914309836	0.07615468059360828	0.0	0.5	1.6666666666666667	11845.0	6
3000006	0.9035949126856778	0.011685464503586065	0.0	0.1	8.6	11841.0	10
3000019	0.7928095197906997	0.00022435735205705967	0.0	0.0	1.0	11849.0	2
3000020	0.8511155726591465	0.3968597027469336	0.6521739130434783	0.7391304347826086	15.652173913043478	11828.0	23
3000025	0.8972909106253693	0.001367392518146287	0.0	0.0	1.0	11849.0	2
3000026	0.7285617315213415	0.03876365467315038	0.0	0.75	2.5	11847.0	4
3000031	0.711112211381124	0.09409761845692334	0.4177215189873418	0.7088607594936709	68.25316455696202	11772.0	79
3000033	0.7203812422302789	0.09575038753286179	0.3684210526315789	0.47368421052631576	13.368421052631579	11832.0	19
3000034	0.6438722467958384	0.11260619674539714	0.475	0.6875	76.875	11771.0	80
3000035	0.8712700653647397	0.09196815733231077	0.2972972972972973	0.7837837837837838	33.567567567567565	11814.0	37
3000050	0.9773744195863233	0.20763573027768545	0.16666666666666666	0.5	1.6666666666666667	11845.0	6
3000053	0.5768294715646465	0.008101947073418747	0.0	0.15384615384615385	4.923076923076923	11838.0	13
3000055	0.9420926416836558	0.4752520452769608	0.7391304347826086	0.8695652173913043	15.73913043478261	11828.0	23
3000058	0.9127832439419197	0.019237145139219664	0.04	0.2	9.84	11826.0	25
3000059	0.9554552946912298	0.14963812338079538	0.3076923076923077	0.9230769230769231	11.384615384615385	11838.0	13
3000061	0.7299078290293765	0.0010172709090259956	0.0	0.0	1.8333333333333333	11839.0	12
3000062	0.8966859418087679	0.022621998435833467	0.0	0.6	3.6	11846.0	5
3000064	0.9299347936186376	0.008817436081895499	0.0	0.0	2.0	11847.0	4
3000066	0.8519853911411074	0.261202791053908	0.8484848484848485	0.9393939393939394	26.0	11785.0	66
3000067	0.9012388147898024	0.003387472866999497	0.0	0.0	1.6	11846.0	5
3000068	0.6247354487168014	0.030101516782381856	0.16071428571428573	0.5357142857142857	35.892857142857146	11795.0	56
3000069	0.872593620834557	0.07237660803862195	0.29411764705882354	0.7941176470588235	23.294117647058822	11817.0	34
3000070	0.8141479691600509	0.056222353159439936	0.1650485436893204	0.5922330097087378	88.05825242718447	11748.0	103
3000071	0.7757489208747819	0.27619744480207237	0.5803571428571429	0.7678571428571429	77.30357142857143	11739.0	112
3000073	0.6804324582876115	0.00020221209843499925	0.0	0.0	1.5	11847.0	4
3000077	0.7779172152651913	0.040065811456957263	0.21052631578947367	0.6052631578947368	34.1578947368421	11813.0	38
3000080	0.9281660027762689	0.027148750307760577	0.0	0.5	9.625	11835.0	16
3000083	0.7771011694394044	0.002335047782297999	0.0	0.015384615384615385	5.815384615384615	11786.0	65
3000087	0.6745814609621952	0.07552157853039322	0.4492753623188406	0.7971014492753623	66.81159420289855	11782.0	69
3000089	0.8120217629225343	0.06737821997803183	0.4634146341463415	0.7804878048780488	35.26829268292683	11810.0	41
3000091	0.7128420004293341	0.016053624108475252	0.0625	0.25	10.125	11835.0	16
3000094	0.8862764805993664	0.15559140433469795	0.35714285714285715	0.5714285714285714	11.142857142857142	11837.0	14
3000097	0.6962845631167874	0.00435412161469465	0.0	0.0625	13.375	11835.0	16
3000098	0.8639897154611127	0.3772299910819927	0.7222222222222222	0.7777777777777778	19.38888888888889	11815.0	36
3000099	0.9158452290452459	0.03756271332451499	0.08333333333333333	0.16666666666666666	6.0	11839.0	12
3000100	0.737086228736449	0.026496148791191495	0.19047619047619047	0.5	37.523809523809526	11809.0	42
3000102	0.8973635750234799	0.5648614834567426	0.8924731182795699	0.946236559139785	89.39784946236558	11758.0	93
3000103	0.4664999577952224	0.00016629771177709019	0.0	0.0	1.5	11847.0	4
3000104	0.807904285778623	0.05350334737160947	0.3191489361702128	0.6595744680851063	45.787234042553195	11804.0	47
3000110	0.7997214044920941	0.011457612888513732	0.03571428571428571	0.19047619047619047	13.333333333333334	11767.0	84
3000113	0.9068333583668157	0.07509253769676287	0.13333333333333333	0.4	7.2	11836.0	15
3000114	0.6789802672717365	0.029604634841238587	0.1111111111111111	0.5555555555555556	20.296296296296298	11824.0	27
3000116	0.7982989145258387	0.23549064140210182	0.7571428571428571	0.9571428571428572	67.28571428571429	11781.0	70
3000118	0.7848200539481316	0.2939386876590898	0.7019230769230769	0.8653846153846154	101.23076923076923	11747.0	104
3000119	0.8028954548344184	0.02198468173966271	0.15151515151515152	0.36363636363636365	29.03030303030303	11818.0	33
3000120	0.8178359007198369	0.062262174167407654	0.3246753246753247	0.7532467532467533	72.18181818181819	11774.0	77
3000121	0.7340307672828563	0.0015875630234002216	0.0	0.0	2.5	11847.0	4
3000122	0.7126697324189097	0.05518564423506602	0.29411764705882354	0.4117647058823529	8.235294117647058	11834.0	17
3000125	0.8758603808768974	0.11879090226108233	0.42105263157894735	0.6842105263157895	25.842105263157894	11813.0	38
3000129	0.8915164214011921	0.06964071768864649	0.20689655172413793	0.5862068965517241	26.896551724137932	11822.0	29
3000130	0.9261119081779053	0.0011537052063974032	0.0	0.0	1.0	11849.0	2
3000131	0.7031947854659228	0.023091116511446734	0.038461538461538464	0.38461538461538464	17.307692307692307	11825.0	26
3000132	0.7590610304046828	0.013835789319156968	0.0	0.25	8.166666666666666	11839.0	12
3000134	0.7674790477431415	0.03488648651701028	0.14285714285714285	0.5595238095238095	58.42857142857143	11767.0	84
3000135	0.6848192926082024	0.019030404465357594	0.05172413793103448	0.3879310344827586	89.15517241379311	11735.0	116
3000137	0.9150887719726521	0.02032398415741476	0.0	0.25925925925925924	11.62962962962963	11824.0	27
3000142	0.7760011706030834	0.009872183449079527	0.0	0.4	8.8	11841.0	10
3000143	0.7839203810171773	0.03385013989426947	0.14754098360655737	0.5737704918032787	50.622950819672134	11790.0	61
3000148	0.9643584667253712	0.10911409052037317	0.125	0.75	5.25	11843.0	8
3000149	0.869488809707261	0.06938463974315989	0.3018867924528302	0.7169811320754716	41.35849056603774	11798.0	53
3000153	0.618112216524041	0.0009112042916207372	0.0	0.0	1.9555555555555555	11806.0	45
3000157	0.8635883765094837	0.03900193844615237	0.203125	0.671875	41.59375	11787.0	64
3000158	0.7792801075895831	0.010516752587530714	0.0	0.3	8.2	11841.0	10
3000159	0.9176681782617064	0.07094482738851053	0.17857142857142858	0.7142857142857143	21.857142857142858	11823.0	28
3000160	0.9128983927105064	0.4082727980900273	0.8823529411764706	0.8823529411764706	22.176470588235293	11817.0	34
3000161	0.9766140601500022	0.13696375118696605	0.29411764705882354	0.6470588235294118	6.470588235294118	11834.0	17
3000162	0.8676826522571204	0.040972857500404115	0.0	0.2857142857142857	3.142857142857143	11844.0	7
3000163	0.7495306406928393	0.0287256075644782	0.15789473684210525	0.5263157894736842	16.105263157894736	11832.0	19
3000164	0.9284101330121945	0.08154815790812847	0.26666666666666666	0.7333333333333333	11.733333333333333	11836.0	15
3000165	0.7814056826817529	0.00116737890313646	0.0	0.0	4.0	11843.0	8
3000166	0.9589179682003658	0.003291172051447428	0.0	0.0	1.6666666666666667	11845.0	6
3000168	0.7638748170663064	0.001784777356665027	0.0	0.0	4.285714285714286	11844.0	7
3000181	0.735785223947783	0.0005013033499396504	0.0	0.0	2.0	11848.0	3
3000183	0.9622805166300861	0.016495486120881874	0.0	0.4	4.0	11846.0	5
3000189	0.6262131825470504	0.0001276871605684355	0.0	0.0	1.0	11849.0	2
3000192	0.8789508652160628	0.004030791481497783	0.0	0.0	4.857142857142857	11844.0	7
3000195	0.9882650907555931	0.0060805418321217795	0.0	0.0	1.6666666666666667	11845.0	6
3000208	0.914955432527621	0.2898637799561876	0.5714285714285714	0.7142857142857143	5.142857142857143	11844.0	7
3000210	0.6773034754305336	0.014023608413981353	0.0	0.25	4.25	11843.0	8
3000213	0.9387749359894206	0.0011935231088538922	0.0	0.0	1.5	11847.0	4
3000216	0.9309159158742698	0.2576806545520309	0.5454545454545454	0.6818181818181818	15.636363636363637	11829.0	22
3000219	0.9767068950966327	0.002154113165816797	0.0	0.0	1.0	11849.0	2
3000223	0.9516457793143187	0.09611226480258783	0.14285714285714285	0.42857142857142855	9.857142857142858	11837.0	14
3000224	0.9992944548390391	0.7063935043888886	0.8947368421052632	1.0	15.894736842105264	11832.0	19
3000226	0.8271521500380165	0.22338434527748466	0.35714285714285715	0.5714285714285714	3.4285714285714284	11837.0	14
3000228	0.999702808024535	0.3961222804972805	0.0	1.0	2.5	11847.0	4
3000231	0.7254895754199375	0.002774024674492521	0.0	0.0	1.5	11847.0	4
3000233	0.8232023970385385	0.005521361568124559	0.0	0.0	4.6	11841.0	10
3000238	0.9974397929327031	0.022398288583726177	0.0	0.0	1.3333333333333333	11848.0	3
3000255	0.9711716501159428	0.6843675953876547	0.9117647058823529	0.9411764705882353	19.647058823529413	11817.0	34
3000256	0.9346686861437136	0.0033954925237641657	0.0	0.0	3.25	11843.0	8
