fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.6217871015657802	0.0010319234192069932	0.0	0.0	5.25	7523.0	24
a.10	0.9218204516328605	0.001191173996542938	0.0	0.0	1.5	7543.0	4
a.102	0.8014943278703686	0.24336750460951737	0.7407407407407407	0.8888888888888888	17.037037037037038	7520.0	27
a.11	0.48168832029696407	0.0005101277348324193	0.0	0.0	1.5	7543.0	4
a.118	0.606228173512364	0.0632134575764747	0.5409836065573771	0.8524590163934426	91.42622950819673	7425.0	122
a.137	0.598110066159721	0.010227203281178904	0.06666666666666667	0.26666666666666666	13.866666666666667	7532.0	15
a.140	0.8348151831574772	0.3646276638020547	0.7857142857142857	0.8571428571428571	10.285714285714286	7533.0	14
a.144	0.8698144466534128	0.0004796172885999815	0.0	0.0	1.0	7545.0	2
a.159	0.48937144394327997	0.009085067051672198	0.0	0.2222222222222222	5.777777777777778	7538.0	9
a.2	0.6785676507587887	0.06913414300804364	0.22857142857142856	0.6	32.51428571428571	7512.0	35
a.23	0.7477311481621827	0.04840572442924572	0.14285714285714285	0.5714285714285714	6.0	7540.0	7
a.24	0.5778687630334524	0.01979054202598417	0.09090909090909091	0.41818181818181815	51.09090909090909	7492.0	55
a.246	0.6077388844691948	0.000889086891839181	0.0	0.0	3.2	7542.0	5
a.25	0.5840032859090781	0.013993980270831157	0.10810810810810811	0.1891891891891892	13.891891891891891	7510.0	37
a.28	0.3548533111248686	0.000509045447717758	0.0	0.0	5.111111111111111	7538.0	9
a.29	0.4901245409447096	0.003870871243154987	0.0	0.03571428571428571	24.928571428571427	7519.0	28
a.30	0.71717147785212	0.08069950247252974	0.3	0.5	8.4	7537.0	10
a.34	0.8653584371961461	0.0033858143739295085	0.0	0.0	3.6	7542.0	5
a.38	0.16910003094196172	0.0001251059964929472	0.0	0.0	1.6666666666666667	7541.0	6
a.39	0.6177420815005539	0.0040815393922514105	0.0	0.05	13.65	7507.0	40
a.4	0.562070519795247	0.0407734312925606	0.3147410358565737	0.6334661354581673	133.05179282868525	7296.0	251
a.40	0.4950510008549276	0.3428714588444835	0.6666666666666666	0.7777777777777778	3.3333333333333335	7538.0	9
a.46	0.8871304520747713	0.0019223771190920809	0.0	0.0	2.5	7543.0	4
a.47	0.64244575532394	0.01584061155587766	0.09090909090909091	0.18181818181818182	8.0	7536.0	11
a.48	0.5722619994696367	0.008358689944051338	0.0	0.2	4.0	7542.0	5
a.5	0.6675530020720108	0.15401825627717697	0.6176470588235294	0.7647058823529411	17.88235294117647	7513.0	34
a.60	0.5987897407132816	0.07859960510822192	0.3584905660377358	0.6792452830188679	46.83018867924528	7494.0	53
a.64	0.6852053220174158	0.00164254787863209	0.0	0.0	1.6666666666666667	7541.0	6
a.69	0.5573531935547722	0.0493161532024604	0.2222222222222222	0.4444444444444444	5.555555555555555	7538.0	9
a.7	0.6418310944283783	0.025918497306336528	0.10344827586206896	0.4827586206896552	25.79310344827586	7518.0	29
a.70	0.9743870112657389	0.0026659959758551306	0.0	0.0	1.0	7545.0	2
a.71	0.9548537469070343	0.002024498810487363	0.0	0.0	1.3333333333333333	7544.0	3
a.8	0.7061374246500175	0.015665302242160464	0.09523809523809523	0.19047619047619047	18.571428571428573	7526.0	21
b.1	0.6081025161619078	0.11137413435628679	0.651685393258427	0.8951310861423221	223.25093632958803	7280.0	267
b.121	0.8270216022741351	0.1490848706590411	0.5777777777777777	0.8222222222222222	30.177777777777777	7502.0	45
b.129	0.9003668346150446	0.17883672929425468	0.4	0.6	2.4	7542.0	5
b.159	0.9997349237905898	0.16666666666666666	0.0	1.0	1.0	7545.0	2
b.2	0.5870612838133177	0.023453553229262496	0.1282051282051282	0.3333333333333333	27.692307692307693	7508.0	39
b.23	0.6860197949805585	0.0002718314283310942	0.0	0.0	1.3333333333333333	7544.0	3
b.24	0.8721212924899439	0.005169214081954834	0.0	0.0	1.6666666666666667	7541.0	6
b.3	0.742693827785204	0.10011667616868342	0.47619047619047616	0.5714285714285714	17.238095238095237	7526.0	21
b.30	0.6863040253069396	0.006350723252169839	0.0	0.05555555555555555	3.6666666666666665	7529.0	18
b.34	0.6009668848357724	0.07715144356181015	0.44565217391304346	0.7391304347826086	83.28260869565217	7455.0	92
b.35	0.856762548603747	0.002094410432406425	0.0	0.0	1.3333333333333333	7544.0	3
b.38	0.4756160722796411	0.03788390143937738	0.13333333333333333	0.3333333333333333	7.866666666666666	7532.0	15
b.40	0.5929193002502633	0.04867292709074057	0.33076923076923076	0.6307692307692307	68.49230769230769	7417.0	130
b.42	0.8163706128624918	0.2785913309974243	0.8484848484848485	0.9393939393939394	26.060606060606062	7514.0	33
b.43	0.6093273418141656	0.004026302809499738	0.0	0.06451612903225806	18.193548387096776	7516.0	31
b.44	0.5983226113100765	0.006970306905454371	0.0	0.0	3.75	7539.0	8
b.45	0.557839199627887	0.001768339180137705	0.0	0.0	7.0	7521.0	26
b.49	0.7320108892189184	0.010299315873991863	0.0	0.25	7.833333333333333	7535.0	12
b.52	0.5446054791709419	0.0011719908736348484	0.0	0.0	6.875	7531.0	16
b.55	0.430482862977524	0.018290359852693724	0.03636363636363636	0.07272727272727272	3.890909090909091	7492.0	55
b.6	0.7197282480848497	0.0013507349370105867	0.0	0.0	1.9230769230769231	7521.0	26
b.61	0.8472586906445566	0.15755942008622148	0.5833333333333334	0.6666666666666666	10.166666666666666	7535.0	12
b.7	0.4122423605848236	0.000973032485115763	0.0	0.0	8.222222222222221	7529.0	18
b.72	0.8301536375924558	0.00802668607791245	0.0	0.0	4.25	7539.0	8
b.76	0.8514247846255798	0.0005422464388105852	0.0	0.0	1.0	7545.0	2
b.77	0.6683513325754705	0.10591025873322639	0.42857142857142855	0.42857142857142855	4.857142857142857	7540.0	7
b.80	0.6438671562167253	0.012931875181341186	0.09523809523809523	0.19047619047619047	11.333333333333334	7526.0	21
b.81	0.4558324325349415	0.001630350909271523	0.0	0.0	5.142857142857143	7533.0	14
b.82	0.7126779851522509	0.07685503375773435	0.5063291139240507	0.759493670886076	50.43037974683544	7468.0	79
b.84	0.4728643870971619	0.04021245930039491	0.29411764705882354	0.47058823529411764	12.823529411764707	7530.0	17
b.85	0.5925609461070931	0.020930030737245354	0.21052631578947367	0.42105263157894735	15.157894736842104	7528.0	19
b.88	0.9479945637761867	0.06522799505957969	0.0	0.4	1.6	7542.0	5
c.1	0.8381673535211507	0.23489091227631448	0.6682464454976303	0.943127962085308	185.260663507109	7336.0	211
c.10	0.8958838191032621	0.19079433853274802	0.4375	0.625	6.0	7531.0	16
c.13	0.8064991602581102	0.002915089637483042	0.0	0.0	2.4	7542.0	5
c.23	0.7328803873228346	0.03234769140329793	0.10588235294117647	0.4235294117647059	70.89411764705882	7462.0	85
c.26	0.7070780949719961	0.006779737633746156	0.0	0.0	21.952380952380953	7505.0	42
c.44	0.48471793122184526	0.1355113723533129	0.3	0.6	6.6	7537.0	10
c.47	0.27981465494589697	0.00031812870522048454	0.0	0.0	1.975	7467.0	80
c.49	0.3906636620714033	0.00019317586283898065	0.0	0.0	1.3333333333333333	7544.0	3
c.51	0.539975219843992	0.011526952156356497	0.1111111111111111	0.1111111111111111	13.0	7529.0	18
c.52	0.5398486126705108	0.007354776034214055	0.023255813953488372	0.046511627906976744	9.162790697674419	7504.0	43
c.53	0.7215713244067347	0.0006791853490691877	0.0	0.0	2.0	7543.0	4
c.55	0.5730686793776053	0.016603321818881602	0.03669724770642202	0.25688073394495414	68.89908256880734	7438.0	109
c.56	0.8258150134446505	0.030408102474666847	0.11538461538461539	0.4230769230769231	18.615384615384617	7521.0	26
c.6	0.8539904878768696	0.008756147845322141	0.0	0.15384615384615385	7.076923076923077	7534.0	13
c.67	0.7560314141631093	0.0018455849606129557	0.0	0.0	3.8285714285714287	7512.0	35
c.72	0.7694728090439363	0.01047372018734122	0.0	0.17647058823529413	7.764705882352941	7530.0	17
c.78	0.951755040456294	0.013150273489999269	0.0	0.0	4.0	7539.0	8
c.8	0.7486983144311875	0.029186922630706193	0.2	0.4666666666666667	12.933333333333334	7532.0	15
c.9	0.26103525980911985	0.00018137705956395355	0.0	0.0	1.3333333333333333	7544.0	3
c.92	0.867768714094879	0.01760616849038086	0.0	0.35714285714285715	6.142857142857143	7533.0	14
