fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.601309034713212	0.000979128194745914	0.0	0.00819672131147541	15.262295081967213	23227.44262295082	122
a.10	0.7082078460111485	0.0035465421479318137	0.0	0.16666666666666666	5.166666666666667	23334.0	6
a.101	0.6782539385608901	0.02751354191542843	0.3333333333333333	0.6666666666666666	37.0	23261.0	3
a.102	0.658339389781144	0.028455273812418434	0.2682926829268293	0.47560975609756095	51.792682926829265	23261.0	82
a.11	0.6419187242798353	0.000738207346548937	0.0	0.0	9.066666666666666	23328.0	15
a.116	0.6120569031867514	0.06665688882710313	1.0	1.0	150.0	23127.0	2
a.117	0.6170966114642338	0.02923054748519489	0.0	1.0	150.0	23127.0	1
a.118	0.6360326979814048	0.05162954670767776	0.4722222222222222	0.7916666666666666	169.39814814814815	23127.0	216
a.135	0.8666904335347501	0.07144323776261237	1.0	1.0	19.0	23326.0	1
a.136	0.8481415587756151	0.020996980976811665	0.0	0.5	17.0	23326.0	2
a.137	0.7219646693099061	0.006350760413004387	0.0	0.11764705882352941	18.294117647058822	23326.0	17
a.139	0.7758454504489652	0.0648095631160724	0.3333333333333333	1.0	13.0	23330.0	3
a.140	0.6983420708452855	0.05801272165197369	0.38461538461538464	0.8461538461538461	11.307692307692308	23330.0	13
a.143	0.4436879508606528	0.00014614411070125617	0.0	0.0	4.0	23335.0	3
a.144	0.5175517118675197	0.0002365648913895604	0.0	0.0	5.5	23335.0	8
a.158	0.7592237474447364	0.0007792096425520029	0.0	0.0	5.666666666666667	23336.0	3
a.159	0.6371870425692846	0.010334269200243653	0.0	0.42857142857142855	6.142857142857143	23336.0	7
a.2	0.5834033791565882	0.008591853984863809	0.030612244897959183	0.14285714285714285	79.40816326530613	23245.0	98
a.22	0.816254394527375	0.003231888176804186	0.0	0.0	9.333333333333334	23335.0	3
a.23	0.8270292598394575	0.04245642080936845	0.2727272727272727	0.45454545454545453	33.36363636363637	23310.727272727272	11
a.24	0.6446362838462314	0.013131134106719487	0.16	0.29	90.65	23245.19	100
a.245	0.5497407994516087	0.0002340058517493602	0.0	0.0	3.0	23341.0	3
a.246	0.36369924881824545	0.0001135136181628539	0.0	0.0	3.5	23341.0	2
a.25	0.5976617684359719	0.0040380723475732195	0.06451612903225806	0.07258064516129033	36.03225806451613	23219.0	124
a.27	0.4202109149741949	0.0006808932909930879	0.0	0.0	19.0	23292.0	3
a.28	0.41866166219778667	0.0013350990887806972	0.0	0.0	30.62962962962963	23288.666666666668	54
a.29	0.3953437883248558	0.0034870691177583558	0.008771929824561403	0.07894736842105263	78.55263157894737	23234.71052631579	114
a.3	0.7003934698139253	0.06360774139612242	0.6666666666666666	1.0	398.0	22787.0	3
a.30	0.7842801258243459	0.033173097297312555	0.125	0.5	9.5	23335.0	8
a.301	0.6550345580253565	0.06137533008003414	0.5	1.0	502.0	22124.0	2
a.302	0.6933530567658853	0.07736378880671538	0.0	1.0	502.0	22124.0	1
a.32	0.4393913428444939	0.0001183675601040448	0.0	0.0	3.0	23341.0	1
a.33	0.7240103251788699	0.0005439635592831241	0.0	0.0	3.5	23341.0	2
a.34	0.8506249732230838	0.0009053725557437271	0.0	0.0	4.0	23341.0	2
a.36	0.2507177443544586	2.8503021320259948e-05	0.0	0.0	1.0	23337.0	1
a.37	0.4157775206753225	4.121886634736086e-05	0.0	0.0	1.0	23337.0	2
a.38	0.40510647874108874	0.0013297406465827073	0.0	0.0	8.444444444444445	23283.666666666668	9
a.39	0.6966159209475775	0.007505652304490388	0.01775147928994083	0.07692307692307693	37.10650887573964	23179.36094674556	169
a.4	0.6092954701125117	0.034613745474479735	0.29695885509839	0.6350626118067979	333.68336314847943	22789.688729874775	559
a.40	0.3956151234722663	0.03494864731251292	0.09090909090909091	0.12121212121212122	4.0	23310.0	33
a.45	0.8649926440130837	0.010527140465042965	0.0	0.3333333333333333	4.0	23337.0	3
a.46	0.8182729557624016	0.01686834611677658	0.0	0.5555555555555556	6.666666666666667	23334.333333333332	9
a.47	0.7126159656143531	0.003675785112854438	0.0	0.058823529411764705	10.764705882352942	23330.41176470588	17
a.48	0.5837036832987469	0.013644431741265603	0.0	0.3333333333333333	7.166666666666667	23337.0	6
a.5	0.6263128864182445	0.01967277258946448	0.2	0.41818181818181815	29.4	23288.0	55
a.59	0.5757261123244027	0.005329626004060818	0.0	0.3333333333333333	73.0	23227.0	3
a.6	0.6107437306767434	0.01585930970207977	0.0	0.3333333333333333	44.0	23288.0	3
a.60	0.5574920599809109	0.017956220017591493	0.22413793103448276	0.4827586206896552	96.54310344827586	23227.0	116
a.62	0.9796237572848818	0.001006036217303823	0.0	0.0	1.0	23336.0	1
a.63	0.9819592046623242	0.002144927536231884	0.0	0.0	1.0	23336.0	2
a.64	0.8989193752006573	0.005232196562839443	0.0	0.0	2.142857142857143	23336.0	7
a.66	0.7033335783818223	0.00046108465023793213	0.0	0.0	7.0	23319.0	2
a.68	0.6997910961631533	0.0004573674253295397	0.0	0.0	7.0	23319.0	1
a.69	0.6506290903752323	0.0006169386778337891	0.0	0.0	10.925925925925926	23321.666666666668	27
a.7	0.6443670798709631	0.025501498608803085	0.22413793103448276	0.46551724137931033	50.172413793103445	23289.293103448275	58
a.70	0.9422107502927485	0.0008166951795043571	0.0	0.0	2.0	23342.0	3
a.71	0.9780010281895296	0.0017977693067338964	0.0	0.0	2.0	23342.0	1
a.8	0.7346778670922608	0.005790523817098716	0.0	0.03333333333333333	26.933333333333334	23313.0	30
a.9	0.9588974578691802	0.0006232499959517186	0.0	0.0	1.0	23340.0	3
b.1	0.5776866091602907	0.08583820887819482	0.4541734860883797	0.7643207855973814	760.171031096563	22126.764320785598	1222
b.118	0.734437574182549	0.021534919999303286	0.0	0.0	131.0	23211.0	2
b.120	0.48293007954572736	0.0052092553782549615	0.0	0.0	131.0	23211.0	1
b.121	0.8099486295633616	0.1439377605566218	0.6742424242424242	0.8863636363636364	67.81060606060606	23211.0	132
b.126	0.6905822871588329	0.5000518548015327	1.0	1.0	2.0	23339.0	1
b.127	0.6059814045160461	0.0001727567008376008	0.0	0.0	2.0	23339.0	1
b.128	0.885770598568919	0.0033883532962391944	0.0	0.0	2.0	23339.0	1
b.129	0.7336320107973777	0.0006004435233331648	0.0	0.0	3.5	23339.0	4
b.157	0.9703110273327049	0.0013952000152100236	0.0	0.0	2.0	23342.0	2
b.158	0.6263602090652044	0.00011351113192416939	0.0	0.0	2.0	23342.0	1
b.159	0.6086560706023477	0.00010844185475326783	0.0	0.0	2.0	23342.0	1
b.183	0.8297703279107066	0.21784240962702103	0.3333333333333333	1.0	1006.0	22299.0	3
b.2	0.6211632161999385	0.024417342335155388	0.03125	0.3541666666666667	66.19791666666667	23251.5	96
b.22	0.5624089155593657	0.00013922736355457616	0.0	0.0	3.0	23330.0	3
b.23	0.5505511799792272	0.012627214649899956	0.0	0.125	4.6875	23331.5	16
b.24	0.9588318050675578	0.06145657092108816	0.2	0.2	3.6	23338.0	5
b.29	0.7948989270682891	0.028642379841604265	0.6666666666666666	1.0	30.0	23311.0	3
b.3	0.7311263122058307	0.017404553906603715	0.08888888888888889	0.24444444444444444	39.022222222222226	23298.0	45
b.30	0.8528675490132993	0.026644196295971173	0.09375	0.125	8.375	23311.0	32
b.33	0.39809701336983183	0.011165488037601779	0.0	0.0	309.0	23030.0	3
b.34	0.5597547504631509	0.043164676418849815	0.39556962025316456	0.689873417721519	245.43987341772151	23032.92405063291	316
b.35	0.6993579855457479	0.0011990746737233148	0.0	0.0	3.6	23338.0	5
b.37	0.5275105920073285	0.0016658136988928964	0.0	0.0	6.0	23288.0	3
b.38	0.4817885589150494	0.0019096718606406657	0.0	0.05454545454545454	11.49090909090909	23288.0	55
b.39	0.5598850960504383	0.01706521009110423	0.0	0.3333333333333333	282.3333333333333	23042.0	3
b.4	0.9343022505271311	0.0008375957439676931	0.0	0.0	2.0	23239.0	2
b.40	0.5865641008914552	0.01835442787794746	0.1461794019933555	0.37209302325581395	176.52159468438538	23042.0	301
b.41	0.6704996017522898	0.023013850214293096	0.3333333333333333	1.0	72.0	23250.0	3
b.42	0.6244303569021429	0.056757696944402414	0.34375	0.7916666666666666	73.01041666666667	23250.46875	96
b.43	0.6531129919850635	0.0052000695539634835	0.012345679012345678	0.04938271604938271	47.22222222222222	23267.333333333332	81
b.44	0.7325830180927455	0.04815842687802993	0.16666666666666666	0.2777777777777778	7.666666666666667	23322.166666666668	18
b.45	0.4754554441908926	0.0004988908254451678	0.0	0.0	7.72	23293.0	50
b.47	0.6077096289942097	0.0007887767945800553	0.0	0.0	10.0	23315.0	2
b.48	0.7192923010937164	0.0011145196488481837	0.0	0.0	10.0	23315.0	1
b.49	0.6020300790271074	0.0017968172153123216	0.0	0.10714285714285714	15.428571428571429	23315.0	28
b.5	0.6118701321055123	0.00010285534335548375	0.0	0.0	2.0	23239.0	1
b.51	0.37467937719824995	0.0006332420979924439	0.0	0.0	20.0	23314.0	3
b.52	0.5388848296963297	0.0007362963902981497	0.0	0.0	14.482758620689655	23314.0	29
b.53	0.8005541209382396	0.0026548235931568094	0.0	0.0	2.0	23235.0	2
b.54	0.5315041962556488	0.00012741283118335015	0.0	0.0	2.0	23235.0	1
b.55	0.5365628344270479	0.0081615270503791	0.009259259259259259	0.027777777777777776	4.0	23235.0	108
b.6	0.5827001750931002	0.0002942240661421842	0.0	0.0	4.205607476635514	23240.542056074766	107
b.60	0.7688600567112255	0.02796860771503722	0.3333333333333333	0.6666666666666666	18.0	23315.0	3
b.61	0.7731823409851559	0.050401112280804794	0.25	0.6071428571428571	24.214285714285715	23315.0	28
b.7	0.3841565750239457	0.0013356320553618187	0.0	0.0	20.693877551020407	23294.0	49
b.71	0.8022272025392468	0.002136913536233963	0.0	0.0	4.0	23314.0	3
b.72	0.7921738269960216	0.0012419068811046674	0.0	0.0	7.517241379310345	23314.0	29
b.74	0.8441824101443687	0.0001374531090895118	0.0	0.0	1.0	23343.0	2
b.75	0.5853146553570664	9.622484301798065e-05	0.0	0.0	2.0	23343.0	1
b.76	0.6544774023214474	0.16437123524164418	0.3333333333333333	0.3333333333333333	13.0	23328.0	3
b.77	0.4518737225668558	0.0008330636094825378	0.0	0.0	10.2	23328.0	15
b.78	0.6726051234726872	0.0018265826392655806	0.0	0.0	16.0	23298.0	3
b.80	0.6615990490064915	0.005941213036840926	0.0	0.125	24.916666666666668	23297.4375	48
b.81	0.4702736898736844	0.001319842642148607	0.0	0.03508771929824561	12.929824561403509	23281.105263157893	57
b.82	0.6006264469034985	0.014464231646907662	0.16666666666666666	0.3382352941176471	133.93627450980392	23139.0	204
b.83	0.6441190740410092	0.06852728650483013	0.6666666666666666	0.6666666666666666	38.0	23287.0	3
b.84	0.5207265114919901	0.013856854098722024	0.15254237288135594	0.2542372881355932	41.559322033898304	23287.305084745763	59
b.85	0.602076549407844	0.002594347844480934	0.0	0.06	33.96	23293.0	50
b.87	0.8508557631864678	0.000701750121614405	0.0	0.0	4.0	23332.0	3
b.88	0.8484814067297353	0.0016001124958778443	0.0	0.0	6.181818181818182	23332.0	11
c.1	0.7945988477546475	0.19552494824565306	0.7564469914040115	0.9656160458452722	913.683858643744	22301.896848137534	1047
c.10	0.7090606241023141	0.06300171748745724	0.2631578947368421	0.47368421052631576	13.649122807017545	23286.0	57
c.12	0.7450182129847868	0.0006921760077768596	0.0	0.0	6.0	23335.0	3
c.13	0.679401024926791	0.0004330580603439605	0.0	0.0	5.25	23335.0	8
c.22	0.7467187308539107	0.02940626876699611	0.3333333333333333	0.6666666666666666	220.0	22999.0	3
c.23	0.7356799981223264	0.035645596121788484	0.14534883720930233	0.4680232558139535	274.20348837209303	22999.0	344
c.25	0.8056693166864038	0.012298916274204047	0.0	0.0	62.0	23181.0	3
c.26	0.7732584312935394	0.013897856774170426	0.0	0.1419753086419753	79.17283950617283	23181.0	162
c.43	0.6684421559512742	0.01925283554729045	0.0	0.3333333333333333	15.0	23305.0	3
c.44	0.6261751240132186	0.00860005087887333	0.05263157894736842	0.15789473684210525	22.289473684210527	23305.0	38
c.46	0.4317022111736229	4.1049544235858744e-05	0.0	0.0	1.0	22929.0	3
c.47	0.21010994686893064	6.357738365872869e-05	0.0	0.0	2.002415458937198	22929.0	414
c.48	0.9362188043398397	0.003278346871492669	0.0	0.0	7.0	23332.0	3
c.49	0.9369373982780463	0.0080461393737901	0.0	0.0	7.0	23332.0	11
c.50	0.6755198901429001	0.0020726844886862594	0.0	0.0	25.0	23303.0	3
c.51	0.636046343687134	0.003312950971705146	0.046511627906976744	0.06976744186046512	27.6046511627907	23301.95348837209	43
c.52	0.6392966934397564	0.0017813353058171624	0.0	0.034482758620689655	11.948275862068966	23289.603448275862	58
c.53	0.5945809257985185	0.00031496421389506517	0.0	0.0	4.791666666666667	23319.0	24
c.54	0.5109165216482977	0.004544387491717682	0.0	0.0	104.0	23074.0	3
c.55	0.5554229153198783	0.009048250374519031	0.007352941176470588	0.09926470588235294	146.1066176470588	23075.698529411766	272
c.56	0.7244689050095343	0.011675707030910367	0.06086956521739131	0.23478260869565218	75.4	23228.0	115
