fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.4075030539419225	0.0007522644454390826	0.0	0.0	7.219512195121951	10329.0	41
a.10	0.12426844170043089	8.037548884587918e-05	0.0	0.0	1.5	10366.0	4
a.102	0.7096091229465491	0.013790414731737772	0.05405405405405406	0.05405405405405406	24.216216216216218	10333.0	37
a.11	0.9424369612762126	0.29935983216227796	0.3333333333333333	0.3333333333333333	2.6666666666666665	10364.0	6
a.118	0.5921903624002693	0.023931235640296217	0.174496644295302	0.174496644295302	110.3758389261745	10221.0	149
a.137	0.5333662667607622	0.002058093342598452	0.0	0.0	13.866666666666667	10355.0	15
a.140	0.7654142963383983	0.05822384916909144	0.14285714285714285	0.14285714285714285	10.285714285714286	10356.0	14
a.144	0.3438223379629629	8.521945465057958e-05	0.0	0.0	1.0	10368.0	2
a.159	0.7233380255255255	0.0021402719249297925	0.0	0.0	6.0	10360.0	10
a.2	0.6673075663237316	0.010016220146694574	0.0	0.0	39.53488372093023	10327.0	43
a.23	0.5664061243526649	0.0009010555425958237	0.0	0.0	6.0	10363.0	7
a.24	0.6476672397327772	0.02550341989768394	0.0	0.17391304347826086	64.26086956521739	10301.0	69
a.246	0.6353529506351504	0.0005437633285931877	0.0	0.0	3.2	10365.0	5
a.25	0.6374577000716484	0.020785055120545015	0.09090909090909091	0.10909090909090909	19.236363636363638	10315.0	55
a.28	0.6117694946289828	0.0018574997372536222	0.0	0.0	7.2	10355.0	15
a.29	0.5897598134095471	0.044687061741459796	0.023255813953488372	0.06976744186046512	35.348837209302324	10327.0	43
a.30	0.6622086627443771	0.007847051030938454	0.0	0.1	8.4	10360.0	10
a.34	0.5634370477568741	0.0018596642502202308	0.0	0.0	3.6	10365.0	5
a.38	0.22382089778586595	0.00013454509389481252	0.0	0.0	1.75	10362.0	8
a.39	0.7498409772138447	0.017451664766802037	0.0	0.017543859649122806	19.964912280701753	10313.0	57
a.4	0.7320275491913956	0.11141322240431907	0.228486646884273	0.3353115727002967	184.42729970326408	10033.0	337
a.40	0.7502011521998004	0.08643949810390532	0.07692307692307693	0.07692307692307693	3.5384615384615383	10357.0	13
a.46	0.6072720694645442	0.0006264122185479741	0.0	0.0	2.8	10365.0	5
a.47	0.6956263084557321	0.002381424941869743	0.0	0.0	8.0	10359.0	11
a.48	0.6129497603422762	0.001601202604968835	0.0	0.0	6.25	10362.0	8
a.5	0.7358327730971601	0.04086418592847339	0.3	0.3	21.15	10330.0	40
a.60	0.7031312812403931	0.05582579434592377	0.323943661971831	0.38028169014084506	61.605633802816904	10299.0	71
a.64	0.5872242364088355	0.00023777448192666197	0.0	0.0	1.7142857142857142	10363.0	7
