superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.9504161854765611	0.5674514888866362	1.0	1.0	68.56521739130434	23236.739130434784	115
a.1.2	0.9995609229595261	0.8605066975782737	1.0	1.0	3.2857142857142856	23340.714285714286	7
a.10.1	1.0	0.9999999999999999	1.0	1.0	7.0	23336.0	2
a.10.2	1.0	0.9999999999999998	1.0	1.0	7.0	23336.0	1
a.100.1	0.7590116945874965	0.10596314303698215	0.90625	0.90625	36.0	23279.0	64
a.101.1	0.7647566124073837	0.08980128659128879	1.0	1.0	41.0	23298.0	3
a.102.1	0.8567238181409143	0.17466966453696303	0.9777777777777777	0.9777777777777777	34.333333333333336	23298.0	45
a.102.2	0.8570347201393947	0.17817421877478748	0.3333333333333333	0.3333333333333333	2.6666666666666665	23339.0	3
a.102.3	0.8102016131497567	0.1554634868426519	0.42857142857142855	0.42857142857142855	9.285714285714286	23332.571428571428	7
a.102.4	0.6968069908348513	0.11305496577921255	0.9473684210526315	0.9473684210526315	12.157894736842104	23324.0	19
a.102.5	1.0	1.0	1.0	1.0	11.0	23325.0	2
a.102.6	1.0	1.0	1.0	1.0	11.0	23325.0	1
a.103.1	1.0	1.0	1.0	1.0	24.61904761904762	23309.14285714286	21
a.104.1	1.0	1.0	1.0	1.0	34.96124031007752	23214.0	129
a.109.1	1.0	1.0	1.0	1.0	4.0	23341.0	1
a.11.1	0.9999325134973006	0.9763144504748983	1.0	1.0	3.3	23336.6	10
a.11.2	0.9832729882594909	0.8012465207386257	1.0	1.0	4.0	23338.0	5
a.110.1	1.0	1.0	1.0	1.0	3.0	23341.0	2
a.111.1	1.0	1.0	1.0	1.0	3.0	23342.0	3
a.113.1	0.9996946123183748	0.9261737129919597	1.0	1.0	6.5	23337.5	2
a.114.1	0.9575278956467075	0.8341039518248065	1.0	1.0	12.0	23331.0	2
a.116.1	0.8635023031062964	0.4485077077728006	0.8571428571428571	0.8571428571428571	14.142857142857142	23323.285714285714	14
a.117.1	0.8348542182989329	0.2881060648223451	1.0	1.0	61.0	23277.0	1
a.118.1	0.7435641379869473	0.16168006389750844	0.7101449275362319	0.7246376811594203	59.3768115942029	23279.695652173912	69
a.118.11	1.0	1.0	1.0	1.0	1.0	23343.0	1
a.118.12	1.0	1.0	1.0	1.0	1.0	23343.0	1
a.118.13	1.0	1.0	1.0	1.0	2.0	23343.0	1
a.118.14	1.0	1.0	1.0	1.0	1.0	23344.0	2
a.118.15	0.9138474721508141	0.6003276329846672	1.0	1.0	5.0	23340.0	1
a.118.16	0.837384854327335	0.0015883736642018427	0.0	0.0	4.0	23340.0	2
a.118.17	0.8579405884033133	0.3348772657369155	1.0	1.0	3.0	23340.0	3
a.118.18	1.0	1.0	1.0	1.0	1.0	23344.0	1
a.118.19	1.0	1.0	1.0	1.0	1.0	23344.0	1
a.118.23	1.0	1.0	1.0	1.0	1.0	23344.0	1
a.118.24	1.0	1.0	1.0	1.0	1.0	23344.0	1
a.118.29	1.0	1.0	1.0	1.0	2.0	23342.0	1
a.118.3	1.0	1.0	1.0	1.0	3.0	23339.6	5
a.118.30	1.0	1.0	1.0	1.0	2.5	23342.0	2
a.118.4	1.0	1.0	1.0	1.0	1.0	23342.0	1
a.118.5	1.0	1.0	1.0	1.0	1.0	23342.0	1
a.118.6	1.0	1.0	1.0	1.0	1.0	23342.0	1
a.118.7	0.776370522956311	0.2897532836087238	1.0	1.0	47.0	23271.0	3
a.118.8	0.7725936317085074	0.26931424165356055	0.72	0.7733333333333333	52.586666666666666	23273.28	75
a.118.9	0.9473758823959668	0.5139839827236886	1.0	1.0	11.470588235294118	23329.882352941175	17
a.119.1	0.9654291325820413	0.44599054184612874	0.6666666666666666	0.6666666666666666	3.0	23319.333333333332	3
a.12.1	1.0	1.0	1.0	1.0	2.0	23339.0	1
a.120.1	0.9437317659172816	0.334067557384289	1.0	1.0	3.0	23308.0	1
a.121.1	0.8773354626053722	0.34082100251191555	0.7105263157894737	0.7105263157894737	5.684210526315789	23307.92105263158	38
a.123.1	0.987031027433556	0.9361588627063034	0.9230769230769231	0.9230769230769231	8.64102564102564	23309.46153846154	39
a.124.1	0.9994888996345787	0.8195480022440469	1.0	1.0	4.285714285714286	23338.571428571428	7
a.126.1	0.9380563669786791	0.8016356585226059	1.0	1.0	11.5	23326.0	8
a.127.1	0.8666108387388023	0.6957087652252045	0.975	0.975	24.45	23304.575	40
a.128.1	0.9023272851887507	0.46162051271062393	0.9830508474576272	0.9830508474576272	21.45762711864407	23289.28813559322	59
a.13.1	1.0	1.0	1.0	1.0	2.0	23339.0	2
a.130.1	0.9888435951362121	0.5384685959943788	1.0	1.0	10.583333333333334	23331.25	12
a.131.1	0.9917559355233256	0.42110983758928233	1.0	1.0	19.0	23323.0	2
a.132.1	0.9718713112857421	0.5798601488834669	1.0	1.0	16.08695652173913	23321.82608695652	23
a.133.1	0.9719784880394622	0.7641167427326294	0.9310344827586207	0.9655172413793104	6.724137931034483	23314.0	29
a.137.13	0.9990559965672603	0.8535894639760971	1.0	1.0	25.0	23305.0	1
a.137.14	0.9984810126582278	0.7912494489096087	1.0	1.0	25.0	23305.0	1
a.137.15	0.9971190731602662	0.7845219727308113	1.0	1.0	25.0	23305.0	1
a.138.1	0.9984853364227746	0.7838290705796613	1.0	1.0	26.048780487804876	23307.121951219513	41
a.139.1	0.998600039998857	0.7536992993233296	1.0	1.0	3.0	23334.0	9
