superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.8286995037920339	0.5021709195360343	0.9523809523809523	0.9523809523809523	13.619047619047619	7526.0	21
a.1.2	0.9986744432661717	0.3541666666666667	0.3333333333333333	0.3333333333333333	1.3333333333333333	7544.0	3
a.100.1	0.7325790030998608	0.06246461632239922	0.4117647058823529	0.5294117647058824	14.823529411764707	7530.0	17
a.102.1	0.8506595497793055	0.30488938684083605	0.9333333333333333	0.9333333333333333	12.4	7532.0	15
a.102.3	0.8252850324804455	0.25058736843780605	0.25	0.25	1.5	7543.0	4
a.102.4	0.8223581278175551	0.4772221322165572	0.8	0.8	3.6	7542.0	5
a.103.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.104.1	0.8890510303351906	0.8889516038903318	0.8888888888888888	0.8888888888888888	4.0	7538.0	9
a.11.2	0.9988953693884765	0.8381724484665661	1.0	1.0	1.3333333333333333	7544.0	3
a.111.1	1.0	1.0	1.0	1.0	2.0	7544.0	3
a.114.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.116.1	0.7405885471898198	0.000982831308752234	0.0	0.0	1.3333333333333333	7544.0	3
a.118.1	0.7415231642564203	0.16053429158134558	0.5957446808510638	0.723404255319149	43.659574468085104	7500.0	47
a.118.17	0.8536391356224314	0.003016089337693201	0.0	0.0	2.0	7543.0	4
a.118.26	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.118.8	0.737206714878844	0.18336277783026317	0.6578947368421053	0.7894736842105263	26.894736842105264	7509.0	38
a.118.9	0.7982221780252806	0.32007383883096374	0.6	0.8	3.6	7542.0	5
a.123.1	0.08576448746850551	0.08344379640224948	0.0	0.0	1.6666666666666667	7541.0	6
a.124.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.126.1	0.9998674443266172	0.8660714285714285	1.0	1.0	1.3333333333333333	7544.0	3
a.127.1	0.7195759303456201	0.5336144764618549	0.8	0.8	3.2	7542.0	5
a.128.1	0.8817471109342295	0.3662853717114201	0.8888888888888888	0.8888888888888888	6.444444444444445	7538.0	9
a.130.1	0.9877220896313975	0.640765297070667	1.0	1.0	2.8	7542.0	5
a.132.1	0.9606688545233253	0.7629434001519015	1.0	1.0	6.888888888888889	7538.0	9
a.133.1	0.9392121774478616	0.6668985810689265	0.6666666666666666	0.6666666666666666	2.0	7544.0	3
a.138.1	0.9990597539763929	0.7752535728387482	1.0	1.0	6.5	7535.0	12
a.140.3	0.994454754330152	0.11346893017296604	0.0	0.6666666666666666	1.3333333333333333	7544.0	3
a.143.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.149.1	0.996001237186285	0.5066439636752137	0.6666666666666666	0.6666666666666666	1.3333333333333333	7544.0	3
a.152.1	1.0	1.0	1.0	1.0	5.142857142857143	7540.0	7
a.156.1	0.9998651993282065	0.938312472551603	1.0	1.0	3.6	7542.0	5
a.16.1	0.4471226081576738	0.0004115256205763345	0.0	0.0	2.5	7543.0	4
a.160.1	0.829213632144278	0.25167097428264357	0.6666666666666666	0.6666666666666666	5.0	7541.0	6
a.17.1	0.9987408880053016	0.5125	0.5	0.5	1.0	7545.0	2
a.182.1	0.8160458642629904	0.0005063195293816279	0.0	0.0	1.3333333333333333	7544.0	3
a.186.1	0.9999337309476475	0.625	0.5	1.0	1.0	7545.0	2
a.2.17	0.9793434075645103	0.1851041330693973	0.0	0.6666666666666666	2.0	7544.0	3
a.2.3	1.0	1.0	1.0	1.0	2.4	7542.0	5
a.2.7	0.8354545052808343	0.10761840776140814	0.25	0.25	3.0	7543.0	4
a.20.1	0.9997569812654649	0.45436507936507936	0.3333333333333333	1.0	1.3333333333333333	7544.0	3
a.204.1	0.9949769040357159	0.7984620881674996	1.0	1.0	4.666666666666667	7541.0	6
a.21.1	0.9974436045911977	0.9448417246554782	1.0	1.0	3.0	7541.0	6
a.211.1	0.8688642797378857	0.3208706335196206	0.7333333333333333	0.9333333333333333	11.733333333333333	7532.0	15
a.213.1	0.972897051673076	0.5847291189529024	1.0	1.0	4.0	7541.0	6
a.22.1	0.9236986242661273	0.6215274447023743	0.8571428571428571	0.9285714285714286	8.571428571428571	7533.0	14
a.231.1	0.3594433399602386	0.00013295599078325807	0.0	0.0	1.0	7545.0	2
a.238.1	0.9832946558811829	0.6815618292885007	0.8333333333333334	1.0	4.666666666666667	7541.0	6
a.24.10	1.0	1.0	1.0	1.0	6.0	7540.0	7
a.24.13	1.0	1.0	1.0	1.0	1.5	7543.0	4
a.24.16	0.6910490962923681	0.0006972398116576376	0.0	0.0	3.0	7543.0	4
a.24.19	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.24.3	0.7164192294096855	0.5000929598421824	0.6666666666666666	0.6666666666666666	1.3333333333333333	7544.0	3
a.24.9	0.9539665693817988	0.3481292877501219	0.3333333333333333	0.6666666666666666	1.7777777777777777	7538.0	9
a.243.1	0.7244940791799221	0.028619227528251263	0.0	0.3333333333333333	2.0	7544.0	3
a.25.1	0.826285961311899	0.32025747072111654	0.8275862068965517	0.9310344827586207	22.0	7518.0	29
a.25.2	0.9999337309476475	0.625	0.5	1.0	1.0	7545.0	2
a.25.3	0.9999337309476475	0.625	0.5	1.0	1.0	7545.0	2
a.25.4	0.8552021206096754	0.0013112883467938162	0.0	0.0	1.0	7545.0	2
a.252.1	0.8940689198144467	0.0009139662254678229	0.0	0.0	1.0	7545.0	2
a.26.1	0.6938909740374514	0.015497005571410935	0.08333333333333333	0.2916666666666667	14.916666666666666	7523.0	24
a.266.1	1.0	1.0	1.0	1.0	1.3333333333333333	7544.0	3
a.27.1	0.964382026019957	0.6728961301736546	0.7142857142857143	0.7142857142857143	1.7142857142857142	7540.0	7
a.278.1	0.8781762340359716	0.2568278397493714	0.75	0.75	3.0	7543.0	4
a.28.1	0.9946168125165737	0.9502145366129454	1.0	1.0	2.8	7542.0	5
a.28.3	0.82448524213503	0.0018589883383986923	0.0	0.0	1.3333333333333333	7544.0	3
a.280.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.281.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.287.1	1.0	1.0	1.0	1.0	1.0	7545.0	2
a.289.1	0.8421703782255214	0.06861950371835847	0.0	0.6666666666666666	2.0	7544.0	3
a.29.2	0.4884745425616547	0.100303673783676	0.0	0.0	1.6	7542.0	5
a.29.3	0.8341800011787414	0.29393666115906525	0.6666666666666666	0.6666666666666666	3.6666666666666665	7541.0	6
a.29.8	0.8778661365142478	0.04180261011419249	0.0	0.5	1.0	7545.0	2
a.3.1	0.9724194432468486	0.8907513602546762	0.8846153846153846	0.9615384615384616	20.76923076923077	7521.0	26
a.30.2	0.9554392011311418	0.5011484763639936	0.6666666666666666	0.6666666666666666	1.3333333333333333	7544.0	3
a.35.1	0.9801664329775618	0.6705605858403658	0.8461538461538461	1.0	22.076923076923077	7521.0	26
a.38.1	1.0	1.0	1.0	1.0	1.6	7542.0	5
a.39.1	0.9532730600024792	0.6455030192676743	0.84375	0.96875	24.8125	7515.0	32
a.39.2	1.0	1.0	1.0	1.0	1.6	7542.0	5
a.4.1	0.7814260483859363	0.13717647283066328	0.6615384615384615	0.8615384615384616	58.707692307692305	7482.0	65
a.4.10	0.9156063618290259	0.027975094273436814	0.0	0.5	1.0	7545.0	2
a.4.12	0.9249182573347472	0.009567899768879473	0.0	0.0	2.0	7544.0	3
