superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.5311867405232631	0.14047850454806243	0.9473684210526315	0.9473684210526315	35.01754385964912	14223.894736842105	57
a.1.2	0.47195679008201685	9.105358190072267e-05	0.0	0.0	2.6	14274.4	5
a.10.2	0.4719459232277949	3.502136303144918e-05	0.0	0.0	1.0	14276.0	1
a.100.1	0.5252117435610453	0.028826789127694666	0.358974358974359	0.41025641025641024	30.28205128205128	14239.0	39
a.101.1	0.491713132141874	0.0015733634680774938	0.0	0.0	26.0	14251.0	1
a.102.1	0.4861716464149172	0.008185625041058348	0.14814814814814814	0.25925925925925924	21.40740740740741	14251.0	27
a.102.2	0.6832060533875149	0.40085412040104657	1.0	1.0	5.0	14273.0	1
a.102.3	0.4808028982655852	0.016842022272976435	0.16666666666666666	0.16666666666666666	2.5	14272.0	6
a.102.4	0.5151658255648233	0.04015770254990598	0.36363636363636365	0.36363636363636365	8.727272727272727	14267.0	11
a.102.6	0.4719400266236951	0.00014008545212579673	0.0	0.0	4.0	14273.0	1
a.103.1	0.4719238360678711	0.0004263493547372467	0.0	0.0	12.166666666666666	14261.833333333334	6
a.104.1	0.471822352057816	0.0006841364287058187	0.0	0.0	19.48611111111111	14206.0	72
a.11.1	0.4719452681413554	4.6694333216496744e-05	0.0	0.0	1.3333333333333333	14275.666666666666	3
a.11.2	0.4719439579684764	5.8368121008189296e-05	0.0	0.0	1.6666666666666667	14275.0	3
a.110.1	0.47197898423817863	0.00010505673063454266	0.0	0.0	3.0	14275.0	1
a.111.1	0.7066549912434326	0.4448379266962415	1.0	1.0	2.3333333333333335	14275.0	3
a.113.1	0.4719829095748407	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.114.1	0.7359981774849292	0.5001751190809751	0.5	0.5	5.5	14271.5	2
a.116.1	0.5502671110374742	0.13404955961211565	0.6666666666666666	0.6666666666666666	6.833333333333333	14266.0	12
a.117.1	0.5105387560556337	0.03135133756209604	1.0	1.0	54.0	14220.0	1
a.118.1	0.5083607152448283	0.01274924494715785	0.3220338983050847	0.6271186440677966	53.33898305084746	14220.949152542373	59
a.118.11	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.118.13	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.118.14	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.118.16	0.4719400266236951	0.0001750945510575711	0.0	0.0	5.0	14273.0	1
a.118.17	0.4719400266236951	0.00011907705000134138	0.0	0.0	3.4	14273.0	5
a.118.25	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.118.26	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.118.3	0.4719459232277949	5.252959172723881e-05	0.0	0.0	1.5	14276.0	2
a.118.30	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.118.5	0.4719439579684764	0.00010505673063454266	0.0	0.0	3.0	14275.0	1
a.118.6	0.4719439579684764	3.502381619501261e-05	0.0	0.0	1.0	14275.0	3
a.118.7	0.4718978615644344	0.0013679410733076114	0.0	0.0	39.0	14216.0	1
a.118.8	0.4861460390216616	0.016987319716265922	0.3333333333333333	0.3492063492063492	44.93650793650794	14216.825396825398	63
a.118.9	0.5221243703856806	0.0716818035922576	0.5454545454545454	0.5454545454545454	7.363636363636363	14268.818181818182	11
a.119.1	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.121.1	0.47191247633073846	0.00010517458981909971	0.0	0.0	3.0	14259.0	1
a.123.1	0.47191755500474153	0.00017695253945570683	0.0	0.0	5.05	14259.8	20
a.124.1	0.6039744987750131	0.25021734415651353	0.5	0.5	2.25	14274.5	4
a.126.1	0.471949414681389	0.00013426450522528312	0.0	0.0	3.8333333333333335	14271.833333333334	6
a.127.1	0.537966262857331	0.097290601225886	0.23076923076923078	0.23076923076923078	9.846153846153847	14264.692307692309	13
a.128.1	0.47189641531795795	0.00048593020725868903	0.0	0.0	13.866666666666667	14249.666666666666	30
a.130.1	0.5166678346999323	0.07096715678837853	0.5555555555555556	0.6666666666666666	7.333333333333333	14269.0	9
a.131.1	0.47191838451830037	0.0005253204454717378	0.0	0.0	15.0	14262.0	1
a.132.1	0.4719197732192118	0.00042237994192849984	0.0	0.0	12.058823529411764	14262.70588235294	17
a.133.1	0.4719682639764607	8.755463450403313e-05	0.0	0.0	2.5	14274.0	4
a.137.15	0.47194360664936524	0.0004905052203769883	0.0	0.0	14.0	14257.0	1
a.138.1	0.4994901123111669	0.046762428696561026	0.5454545454545454	0.6363636363636364	12.954545454545455	14257.727272727272	22
a.139.1	0.4719400266236951	3.502872355331372e-05	0.0	0.0	1.0	14273.0	5
a.140.2	0.47201597086018493	7.003782042302843e-05	0.0	0.0	2.0	14276.0	1
a.140.3	0.99992995236761	0.25	0.0	1.0	1.0	14276.0	2
a.140.6	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.141.1	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.142.1	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.143.1	0.47194494032280243	3.502258995689546e-05	0.0	0.0	1.0	14275.5	2
a.144.1	0.4719419924337957	6.128861248822175e-05	0.0	0.0	1.75	14274.0	4
a.148.1	0.4719439579684764	3.502381619501261e-05	0.0	0.0	1.0	14275.0	1
a.149.1	0.4719556333917105	5.8368121008189296e-05	0.0	0.0	1.6666666666666667	14275.0	3
a.15.1	0.7278458844133101	0.001415507294079178	0.0	0.0	2.0	14275.0	1
a.151.1	0.47193412754029435	0.0002451495412201443	0.0	0.0	7.0	14270.0	1
a.152.1	0.47193850735809395	0.00023202204970136853	0.0	0.0	6.625	14270.0	8
a.155.1	0.4719400266236951	0.0001750945510575711	0.0	0.0	5.0	14273.0	1
a.156.1	0.4719400266236951	0.00013308068957405112	0.0	0.0	3.8	14273.0	5
a.159.5	0.4719400266236951	0.0001750945510575711	0.0	0.0	5.0	14273.0	1
a.16.1	0.578493393535731	0.0007731702025539811	0.0	0.0	2.25	14275.5	4
a.160.1	0.4719470328592448	0.0001750945510575711	0.0	0.0	5.0	14273.0	5
a.17.1	0.4719829095748407	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.173.1	0.4719439579684764	3.502381619501261e-05	0.0	0.0	1.0	14275.0	1
a.174.1	0.4719439579684764	5.8368121008189296e-05	0.0	0.0	1.6666666666666667	14275.0	3
a.176.1	0.4719419924337957	3.5026269702276706e-05	0.0	0.0	1.0	14274.0	1
a.177.1	0.4719419924337957	6.128861248822175e-05	0.0	0.0	1.75	14274.0	4
a.181.1	0.4719439579684764	0.00010505673063454266	0.0	0.0	3.0	14275.0	1
a.182.1	0.47195271453590193	3.502381619501261e-05	0.0	0.0	1.0	14275.0	4
a.183.1	0.4719439579684764	5.8368121008189296e-05	0.0	0.0	1.6666666666666667	14275.0	3
a.185.1	0.4719829095748407	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.186.1	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.188.1	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.189.1	0.47196539889332495	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	2
a.19.1	0.4719419924337957	0.00010506408909434755	0.0	0.0	3.0	14274.0	1
a.190.1	0.4719478882118092	3.5018910211514215e-05	0.0	0.0	1.0	14277.0	1
a.2.1	0.4719809470439899	5.252959172723881e-05	0.0	0.0	1.5	14276.0	2
