fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.35562751465869946	0.0005388245319843623	0.0	0.0038314176245210726	16.92337164750958	33511.333333333336	261
a.10	0.8241805937554026	0.002321131989365808	0.0	0.0	8.666666666666666	33752.0	6
a.101	0.7344963051341287	0.058013826748697955	0.6666666666666666	1.0	41.0	33669.0	3
a.102	0.7462822058833319	0.032122793142845656	0.25	0.3958333333333333	57.90625	33669.0	96
a.11	0.7580605843504875	0.0016936374500888239	0.0	0.043478260869565216	12.391304347826088	33742.0	23
a.116	0.7569853530511859	0.017998675188703326	0.0	0.0	190.0	33490.0	1
a.117	0.7817502082318367	0.026659921948493828	0.5	0.5	190.0	33490.0	2
a.118	0.6503639546003331	0.01907854594259396	0.10909090909090909	0.38181818181818183	219.38181818181818	33490.0	275
a.136	0.8420051752347556	0.009014862509286042	0.0	0.3333333333333333	29.0	33734.0	3
a.137	0.8094277764288889	0.006232599901229294	0.0	0.12903225806451613	29.193548387096776	33734.0	31
a.139	0.9391099785001465	0.05643841779181685	0.3333333333333333	0.3333333333333333	15.0	33747.0	3
a.140	0.8838016700414671	0.017286836864878502	0.05555555555555555	0.2777777777777778	15.61111111111111	33747.0	18
a.143	0.5681297464916699	0.0001292892621129275	0.0	0.0	4.0	33753.0	3
a.144	0.7497932282562538	0.0008363836531443835	0.0	0.0	6.333333333333333	33753.0	12
a.158	0.8895381629983454	0.00473986529833402	0.0	0.0	7.0	33754.0	3
a.159	0.8728107489772774	0.016232991706772497	0.09090909090909091	0.18181818181818182	6.454545454545454	33754.0	11
a.2	0.6884341363525815	0.010898677556590904	0.07913669064748201	0.17985611510791366	111.02877697841727	33626.0	139
a.22	0.8755874176515563	0.003312731709026566	0.0	0.0	11.333333333333334	33755.0	3
a.23	0.8231782214474801	0.010958127899944646	0.07692307692307693	0.23076923076923078	40.61538461538461	33724.53846153846	13
a.24	0.6676484252164376	0.013513023146665751	0.041379310344827586	0.30344827586206896	130.44827586206895	33622.213793103445	145
a.245	0.743505189924241	0.00023855490207502143	0.0	0.0	3.6666666666666665	33762.0	3
a.246	0.7269741129080031	0.00038796760336547425	0.0	0.0	3.6666666666666665	33762.0	3
a.25	0.6060619955465667	0.0067422177393129884	0.016666666666666666	0.19444444444444445	51.97222222222222	33585.0	180
a.27	0.6054417831597068	0.0013047622401406176	0.0	0.0	30.0	33693.0	3
a.28	0.5286962683790787	0.0016643160458863155	0.013333333333333334	0.013333333333333334	43.653333333333336	33689.72	75
a.29	0.584063575275503	0.005889130101597293	0.0	0.03821656050955414	105.24203821656052	33613.61783439491	157
a.3	0.885923292828451	0.0779898320987102	0.0	1.0	486.0	33055.0	3
a.30	0.8904177359630837	0.010530342110035493	0.0	0.11764705882352941	15.705882352941176	33748.0	17
a.301	0.8245945559675761	0.13745230318260998	0.0	0.5	651.0	28998.0	2
a.302	0.6714393089665911	0.032920467031120025	0.0	0.0	651.0	28998.0	1
a.32	0.9222470017688928	0.003769066661908791	0.0	0.0	7.0	33758.0	1
a.33	0.9091125489830982	0.00797586559046086	0.0	0.0	7.0	33758.0	2
a.34	0.8550740706259398	0.0030428585751778865	0.0	0.0	6.142857142857143	33758.0	7
a.36	0.9589221698811957	0.0003589375448671931	0.0	0.0	1.0	33753.0	1
a.37	0.9880232868189494	0.001574074074074074	0.0	0.0	1.0	33753.0	2
a.38	0.9260655150357182	0.0013320629632808602	0.0	0.0	6.266666666666667	33707.0	15
a.39	0.7334611776237222	0.0034326010639050817	0.0	0.0	41.93061224489796	33525.31428571429	245
a.4	0.8600903414728308	0.11574667989155674	0.15287517531556802	0.6367461430575035	438.95652173913044	33057.692847124825	713
a.40	0.6846737087271783	0.0007242127177906172	0.0	0.0	4.0	33712.0	53
a.45	0.9018679797161934	0.001290026983036003	0.0	0.0	4.333333333333333	33758.0	3
a.46	0.8745194076053009	0.011123092665421117	0.0	0.0	7.8	33754.4	10
a.47	0.8434977014016499	0.008436992504978886	0.0	0.045454545454545456	13.454545454545455	33747.36363636364	22
a.48	0.7904430345940744	0.0015890647470271158	0.0	0.0	9.222222222222221	33756.0	9
a.5	0.851355145245578	0.007751110055762844	0.02857142857142857	0.11428571428571428	37.2	33695.0	70
a.59	0.7552443946185785	0.009124055736276589	0.0	0.0	87.0	33619.0	3
a.6	0.7645373012104718	0.008673055979535405	0.0	0.0	56.0	33698.0	3
a.60	0.8576313496595032	0.02844649982629015	0.14383561643835616	0.3835616438356164	118.11643835616438	33619.0	146
a.62	0.46005036290919865	2.7424308907415534e-05	0.0	0.0	1.0	33755.0	1
a.63	0.4583691304991853	2.754127752922662e-05	0.0	0.0	1.0	33755.0	2
a.64	0.6634918283711055	0.00012115166059883874	0.0	0.0	2.1	33755.0	10
a.66	0.8200342182940825	0.001350864684582679	0.0	0.0	7.0	33733.0	2
a.68	0.703185943395827	0.000314889070877548	0.0	0.0	7.0	33733.0	1
a.69	0.7629003564451241	0.0025484488042154907	0.0	0.08571428571428572	11.628571428571428	33735.74285714285	35
a.7	0.7294097699910443	0.015336365916311184	0.05714285714285714	0.3142857142857143	61.7	33698.34285714286	70
a.70	0.5947462212086209	8.307417814581372e-05	0.0	0.0	2.0	33763.0	3
a.71	0.7345516294957991	0.00019471795416378912	0.0	0.0	3.0	33763.0	2
a.8	0.7739385436480528	0.003094438166045316	0.0	0.01694915254237288	39.33898305084746	33706.0	59
a.9	0.8668177240684795	0.00032189740589072145	0.0	0.0	1.0	33762.0	3
b.1	0.752267630386706	0.09209127780943036	0.11341719077568134	0.2949685534591195	1195.6333333333334	29000.927672955975	4770
b.118	0.859336942149582	0.035430034300556246	0.0	0.0	234.0	33529.0	2
b.120	0.742277765414453	0.015998822359791092	0.0	0.0	234.0	33529.0	1
b.121	0.8443414353918033	0.10298598575169061	0.3474576271186441	0.5720338983050848	104.85593220338983	33529.0	236
b.126	0.904218134423413	0.0002934120112366072	0.0	0.0	2.0	33759.0	1
b.127	0.9328475369531088	0.00041468749291624987	0.0	0.0	2.0	33759.0	1
b.128	0.9261826475902722	0.00037542762241293826	0.0	0.0	2.0	33759.0	1
b.129	0.8690745959807543	0.0004847363316066316	0.0	0.0	3.6666666666666665	33759.0	6
b.157	0.9644311652153308	0.008878322561429501	0.0	0.0	2.0	33762.0	2
b.158	0.8755257389965049	0.000721727070554117	0.0	0.0	2.0	33762.0	1
b.159	0.9655307742432321	0.012827234522252345	0.0	0.3333333333333333	3.3333333333333335	33762.0	3
b.183	0.47987108580368293	0.04094437597301739	0.0	0.0	1220.0	32498.0	3
b.2	0.7590863274070132	0.013885213831755824	0.08695652173913043	0.3391304347826087	79.78260869565217	33654.48695652174	115
b.22	0.5300896434344332	8.80586868784401e-05	0.0	0.0	3.0	33751.0	3
b.23	0.6250716087910978	0.0002652806723206243	0.0	0.0	4.764705882352941	33752.58823529412	17
b.24	0.8958081556082149	0.0007370560298194885	0.0	0.0	3.6	33760.0	5
b.29	0.8614077249005124	0.019258180232454538	0.3333333333333333	0.3333333333333333	31.0	33732.0	3
b.3	0.7050768306584468	0.004304193585505731	0.0	0.07272727272727272	46.527272727272724	33710.0	55
b.30	0.8158712860990509	0.0038178736996148897	0.0	0.030303030303030304	10.090909090909092	33732.0	33
b.33	0.8711885581248874	0.0813210134254839	0.0	1.0	458.0	33298.0	3
b.34	0.801698713285164	0.045261352413847905	0.10638297872340426	0.5617021276595745	353.08936170212763	33300.94255319149	470
b.35	0.815591856281006	0.0015980393545324718	0.0	0.0	3.6666666666666665	33759.0	6
b.37	0.9575628506129233	0.011056610242081684	0.0	0.3333333333333333	6.0	33691.0	3
b.38	0.914302795865231	0.007149798048941765	0.0	0.0945945945945946	11.621621621621621	33691.0	74
b.39	0.7953384900344727	0.03504704663219358	0.0	0.0	355.0	33402.0	3
b.4	0.8112165942503422	0.00032552361897017566	0.0	0.0	2.0	33602.0	2
b.40	0.7731539028763991	0.022609066234292204	0.0440771349862259	0.2727272727272727	225.5013774104683	33402.0	363
b.41	0.6711265329703014	0.00476875114568303	0.0	0.0	104.0	33620.0	3
b.42	0.7864223341384685	0.015591472873896332	0.04054054054054054	0.19594594594594594	108.71621621621621	33620.81081081081	148
b.43	0.7979589976685624	0.010512509958448426	0.027777777777777776	0.12037037037037036	63.333333333333336	33662.38888888889	108
b.44	0.909744608174945	0.003184562028183979	0.0	0.0	8.454545454545455	33741.22727272727	22
b.45	0.8502177986188385	0.0008974065519878767	0.0	0.0	7.7407407407407405	33711.0	54
b.47	0.8870834321631879	0.004804759469683325	0.0	0.0	10.0	33728.0	2
b.48	0.9037209440227704	0.0040113894835795035	0.0	0.0	10.0	33728.0	1
b.49	0.9130930854780075	0.023231499868151328	0.13513513513513514	0.21621621621621623	16.54054054054054	33728.0	37
b.5	0.9569891673114695	0.0006498108129834596	0.0	0.0	2.0	33602.0	1
b.51	0.6497240670461734	0.0010190230733233875	0.0	0.0	25.0	33728.0	3
b.52	0.589520851496658	0.0008507923829976302	0.0	0.0	18.243243243243242	33728.0	37
b.53	0.8849714464174177	0.00029716397814891975	0.0	0.0	2.0	33621.0	2
b.54	0.9268611879480086	0.00040773091827902826	0.0	0.0	2.0	33621.0	1
b.55	0.9018799474292563	0.0011282197519901184	0.0	0.0	4.0	33621.0	144
b.6	0.8509127225964155	0.0006242278253160491	0.0	0.0	4.132530120481928	33603.843373493975	166
b.60	0.8289965103749616	0.001847552987563973	0.0	0.0	20.0	33719.0	3
b.61	0.7669599529028687	0.0024050751772226073	0.0	0.0	31.043478260869566	33719.0	46
b.7	0.7304857574886804	0.002084219817828866	0.0	0.03278688524590164	21.34426229508197	33704.0	61
b.71	0.9775234097673361	0.027692953037521426	0.0	0.3333333333333333	4.0	33711.0	3
b.72	0.9279703852906823	0.012811036075647432	0.0	0.24074074074074073	7.7407407407407405	33711.0	54
b.75	0.7208118569425519	0.00016187872823690278	0.0	0.0	3.0	33758.0	3
b.76	0.6259444771715502	0.0007033951838763341	0.0	0.0	8.4	33753.8	10
b.77	0.8556895035855684	0.0022335865402800343	0.0	0.0	13.285714285714286	33744.0	21
b.78	0.4481389756704148	0.00047204928173132056	0.0	0.0	18.0	33716.0	3
b.80	0.426912185800067	0.0007436382103983698	0.0	0.0	27.692307692307693	33714.730769230766	52
b.81	0.5658630693702416	0.0007441019983684448	0.0	0.04054054054054054	13.256756756756756	33686.86486486487	74
b.82	0.7559082200535868	0.022312669373098806	0.10526315789473684	0.3441295546558704	170.05263157894737	33518.0	247
