superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.6761072153456056	0.1863013753042348	0.6363636363636364	0.9051383399209486	148.49407114624506	33520.86956521739	253
a.1.2	0.9942691903804558	0.3808787466343636	0.625	0.625	3.625	33761.875	8
a.10.1	0.8402669922428787	0.0681808019311185	0.0	0.5	7.0	33757.0	2
a.10.2	0.902341948125045	0.000998445756373267	0.0	0.0	7.0	33757.0	1
a.100.1	0.7627629670843322	0.05295779960869833	0.3974358974358974	0.5384615384615384	42.03846153846154	33692.769230769234	78
a.101.1	0.9572213966054637	0.15152569844848437	0.6666666666666666	0.6666666666666666	28.666666666666668	33736.0	6
a.102.1	0.9580394902796264	0.16986048083096678	0.7454545454545455	0.9090909090909091	42.70909090909091	33710.0	55
a.102.2	0.9121652531356035	0.0006445058540005393	0.0	0.0	2.6666666666666665	33761.0	3
a.102.3	0.6983373332167019	0.011518906936214551	0.14285714285714285	0.14285714285714285	10.857142857142858	33752.857142857145	7
a.102.4	0.5882923529465511	0.008092332890750498	0.08695652173913043	0.17391304347826086	16.0	33742.0	23
a.102.5	1.0	1.0	1.0	1.0	11.0	33743.0	2
a.102.6	0.9999892233540694	0.9748917748917749	1.0	1.0	11.0	33743.0	1
a.103.1	0.9874935445966474	0.8664723781580852	1.0	1.0	26.24	33726.92	25
a.104.1	1.0	1.0	1.0	1.0	49.66025641025641	33609.0	156
a.109.1	0.7985249688999467	0.0007288617149437102	0.0	0.0	5.0	33762.0	1
a.11.1	0.9630344838294732	0.3814156647664749	0.45454545454545453	0.7272727272727273	5.090909090909091	33755.90909090909	11
a.11.2	0.9214022245641657	0.007535771496449653	0.0	0.16666666666666666	7.583333333333333	33753.0	12
a.110.1	0.9103454574176095	0.13923555953005654	0.0	0.5	3.0	33762.0	2
a.111.1	0.7984119226744071	0.13584694618217796	0.5	0.5	4.5	33762.0	4
a.113.1	0.10696937385225994	1.6583481251771246e-05	0.0	0.0	1.0	33762.0	2
a.114.1	0.6177681759557366	0.1735775443960815	0.16666666666666666	0.3333333333333333	6.5	33756.5	6
a.116.1	0.8660121033989352	0.03527867215786129	0.13333333333333333	0.4	13.4	33746.26666666667	15
a.117.1	0.856315455625135	0.10334947810169581	1.0	1.0	77.0	33680.0	2
