fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.489806023383113	0.0006769076478780443	0.0038314176245210726	0.0038314176245210726	16.92337164750958	33511.333333333336	261
a.10	0.6107359763026051	0.00032727050309972356	0.0	0.0	8.666666666666666	33752.0	6
a.101	0.7466579833756994	0.07244955305777027	1.0	1.0	41.0	33669.0	3
a.102	0.547202859543585	0.029168565865505994	0.3541666666666667	0.4375	57.90625	33669.0	96
a.11	0.41681569725911316	0.00029013239161244974	0.0	0.0	12.391304347826088	33742.0	23
a.116	0.4318569565149063	0.00471248616924349	0.0	0.0	190.0	33490.0	1
a.117	0.5959085980104037	0.07479251991553389	0.5	0.5	190.0	33490.0	2
a.118	0.5455737612144671	0.01878877370854783	0.16727272727272727	0.3563636363636364	219.38181818181818	33490.0	275
a.136	0.7183055298211126	0.0042596169553143935	0.0	0.0	29.0	33734.0	3
a.137	0.6938400256829172	0.004588762742091694	0.03225806451612903	0.0967741935483871	29.193548387096776	33734.0	31
a.139	0.8921951910128637	0.08410218904115026	0.3333333333333333	0.6666666666666666	15.0	33747.0	3
a.140	0.8244319209992507	0.12029047826821009	0.3888888888888889	0.6111111111111112	15.61111111111111	33747.0	18
a.143	0.5050859676670715	0.0005765550603686947	0.0	0.0	4.0	33753.0	3
a.144	0.5223981493451985	0.0017957114167861273	0.0	0.0	6.333333333333333	33753.0	12
a.158	0.7267711291197396	0.0017787497026117989	0.0	0.0	7.0	33754.0	3
a.159	0.6948988640973295	0.010875809183196472	0.0	0.18181818181818182	6.454545454545454	33754.0	11
a.2	0.6490607579750909	0.009312691388330255	0.05755395683453238	0.17266187050359713	111.02877697841727	33626.0	139
a.22	0.5355796522475532	0.0011050874083961394	0.0	0.0	11.333333333333334	33755.0	3
a.23	0.5941775788522542	0.006032114645535393	0.07692307692307693	0.3076923076923077	40.61538461538461	33724.53846153846	13
a.24	0.6728983464493955	0.016125398619773162	0.1793103448275862	0.3931034482758621	130.44827586206895	33622.213793103445	145
a.245	0.43365116271416254	0.0001547302220937588	0.0	0.0	3.6666666666666665	33762.0	3
a.246	0.4682782747204286	0.00028439155745379726	0.0	0.0	3.6666666666666665	33762.0	3
a.25	0.6007142667916613	0.002338510972836476	0.0	0.005555555555555556	51.97222222222222	33585.0	180
a.27	0.4362111153981869	0.0007216101605667175	0.0	0.0	30.0	33693.0	3
a.28	0.4568394748143084	0.001402241774741285	0.0	0.06666666666666667	43.653333333333336	33689.72	75
a.29	0.5527348581075516	0.004092419712549439	0.0	0.03184713375796178	105.24203821656052	33613.61783439491	157
a.3	0.520205111860994	0.018965384849691753	0.0	0.0	486.0	33055.0	3
