superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.6789613175577797	0.12700452899038406	0.47619047619047616	0.7142857142857143	13.619047619047619	7526.0	21
a.1.2	0.6591330858960763	0.0032274713666625193	0.0	0.0	1.3333333333333333	7544.0	3
a.100.1	0.7385432685690478	0.039417383308789286	0.23529411764705882	0.5294117647058824	14.823529411764707	7530.0	17
a.102.1	0.6428506115056831	0.04914811970227751	0.26666666666666666	0.8	12.4	7532.0	15
a.102.3	0.9856378982721287	0.2120180987396985	0.25	0.5	1.5	7543.0	4
a.102.4	0.6474211084592947	0.003508406769290668	0.0	0.0	3.6	7542.0	5
a.103.1	0.9429754804506296	0.0014078932855817452	0.0	0.0	1.0	7545.0	2
a.104.1	0.9572806422766624	0.34481775719567914	0.8888888888888888	1.0	4.0	7538.0	9
a.11.2	0.9568310357016614	0.003184485524432009	0.0	0.0	1.3333333333333333	7544.0	3
a.111.1	0.45381539413220223	0.33346714258739957	0.6666666666666666	0.6666666666666666	2.0	7544.0	3
a.114.1	0.13611663353214049	7.673538439456987e-05	0.0	0.0	1.0	7545.0	2
a.116.1	0.9879374337221632	0.08983468574275748	0.0	0.3333333333333333	1.3333333333333333	7544.0	3
a.118.1	0.5319565398065853	0.04203154513097813	0.3617021276595745	0.6808510638297872	43.659574468085104	7500.0	47
a.118.17	0.7590978390560785	0.029542865102349092	0.0	0.25	2.0	7543.0	4
a.118.26	0.9827369118621604	0.011041666666666667	0.0	0.0	1.0	7545.0	2
a.118.8	0.620187737823689	0.03414566039570528	0.2894736842105263	0.6052631578947368	26.894736842105264	7509.0	38
a.118.9	0.8733459294616812	0.5161182877003594	0.8	0.8	3.6	7542.0	5
a.123.1	0.9948791053352783	0.46055129836642444	0.5	0.6666666666666666	1.6666666666666667	7541.0	6
a.124.1	0.6845261762756792	0.0003073894811743705	0.0	0.0	1.0	7545.0	2
a.126.1	0.9031680805938495	0.502846752257761	0.6666666666666666	0.6666666666666666	1.3333333333333333	7544.0	3
a.127.1	0.7778960045964819	0.014126654697600726	0.0	0.2	3.2	7542.0	5
a.128.1	0.5440887598074517	0.0387649397951273	0.2222222222222222	0.3333333333333333	6.444444444444445	7538.0	9
a.130.1	0.5075411031556617	0.0008851303709151073	0.0	0.0	2.8	7542.0	5
a.132.1	0.6485021745203492	0.08116401233864218	0.3333333333333333	0.4444444444444444	6.888888888888889	7538.0	9
a.133.1	0.8683722163308589	0.2924361698741417	0.3333333333333333	0.6666666666666666	2.0	7544.0	3
a.138.1	0.9324001628762743	0.39561798113204644	0.75	0.75	6.5	7535.0	12
a.140.3	0.9955925238600213	0.0361796802054155	0.0	0.3333333333333333	1.3333333333333333	7544.0	3
a.143.1	0.6251491053677932	0.0002365832773136144	0.0	0.0	1.0	7545.0	2
a.149.1	0.4865897843761046	0.0004385098387864354	0.0	0.0	1.3333333333333333	7544.0	3
