fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.5241113883117899	0.0006356524223826616	0.0	0.0	3.5294117647058822	6767.0	17
a.10	0.8407509832841691	0.0006487060099303712	0.0	0.0	1.5	6780.0	4
a.102	0.6290719763956615	0.00819414234350927	0.043478260869565216	0.13043478260869565	15.130434782608695	6761.0	23
a.11	0.23644296951819074	0.00013764641190500818	0.0	0.0	1.5	6780.0	4
a.118	0.6329282109979155	0.04613979531455143	0.29357798165137616	0.6330275229357798	83.87155963302752	6675.0	109
a.137	0.6712792156875478	0.006418626586133301	0.0	0.13333333333333333	13.866666666666667	6769.0	15
a.140	0.7206645935920308	0.04020219539514748	0.2857142857142857	0.42857142857142855	10.285714285714286	6770.0	14
a.144	0.7209525213801238	0.0002665326195408295	0.0	0.0	1.0	6782.0	2
a.159	0.6501363263632637	0.0029880126710994433	0.0	0.0	5.777777777777778	6775.0	9
a.2	0.6407464105272518	0.024354903626081535	0.14285714285714285	0.45714285714285713	32.51428571428571	6749.0	35
a.23	0.582130033657258	0.005096478327987484	0.0	0.14285714285714285	6.0	6777.0	7
a.24	0.5768433266484744	0.018004539516907614	0.13725490196078433	0.29411764705882354	47.568627450980394	6733.0	51
a.246	0.6624784874858631	0.0013402248979100463	0.0	0.0	3.2	6779.0	5
a.25	0.49923712085586713	0.004506094943035311	0.0	0.10714285714285714	13.214285714285714	6756.0	28
a.28	0.4083287653904537	0.0007280265873091184	0.0	0.0	4.75	6776.0	8
a.29	0.4991249448253882	0.010898620323199798	0.041666666666666664	0.125	21.75	6760.0	24
a.30	0.6812582732970187	0.06459042466736148	0.3333333333333333	0.3333333333333333	7.777777777777778	6775.0	9
a.34	0.8572773762108472	0.004454827412022583	0.0	0.0	3.6	6779.0	5
a.38	0.24286662732369427	0.00018001696421241975	0.0	0.0	1.6666666666666667	6778.0	6
a.39	0.6083368160350637	0.005782639100016201	0.0	0.1	11.666666666666666	6754.0	30
a.4	0.5687560935946387	0.03246096099689019	0.11842105263157894	0.41228070175438597	124.25438596491227	6556.0	228
a.40	0.5559294094703997	0.0017367480605190453	0.0	0.0	3.25	6776.0	8
a.46	0.5275872664700099	0.0008513895117857178	0.0	0.0	2.5	6780.0	4
a.47	0.6792289497663778	0.026164909163233274	0.09090909090909091	0.2727272727272727	8.0	6773.0	11
a.48	0.6869191621183066	0.0028902645620519016	0.0	0.0	4.0	6779.0	5
a.5	0.5434393011992668	0.005494015557668427	0.0	0.06060606060606061	17.757575757575758	6751.0	33
a.60	0.5798809769955925	0.013637607065358976	0.0196078431372549	0.19607843137254902	45.13725490196079	6733.0	51
a.64	0.898358902492993	0.012104893835355974	0.0	0.2	1.6	6779.0	5
a.69	0.5248783166403093	0.0008721735209799032	0.0	0.0	5.555555555555555	6775.0	9
a.7	0.657987148597657	0.01721762540490154	0.07692307692307693	0.34615384615384615	23.384615384615383	6758.0	26
a.70	0.15165143025656153	8.724629438629643e-05	0.0	0.0	1.0	6782.0	2
a.71	0.5437988497271788	0.0010012518826754294	0.0	0.0	1.3333333333333333	6781.0	3
a.8	0.56572877743523	0.006469981546274704	0.0	0.05	17.6	6764.0	20
b.1	0.6863140707743491	0.12090623681204635	0.45714285714285713	0.8	203.68979591836734	6539.0	245
b.121	0.7440034647847222	0.11214288755433964	0.23809523809523808	0.6428571428571429	29.333333333333332	6742.0	42
b.129	0.7672419727590107	0.002672423653933938	0.0	0.0	2.4	6779.0	5
b.159	0.8121866705986435	0.00048469244509601273	0.0	0.0	1.0	6782.0	2
b.2	0.6648601008281054	0.017358916787515326	0.0	0.2894736842105263	27.210526315789473	6746.0	38
b.23	0.6058349309344737	0.00030045470410627184	0.0	0.0	1.3333333333333333	6781.0	3
b.24	0.9551588472509098	0.030278023186413858	0.0	0.3333333333333333	1.6666666666666667	6778.0	6
b.3	0.6289089166588855	0.010586119180138628	0.05	0.2	16.6	6764.0	20
b.30	0.7231815467395587	0.0016115183861373724	0.0	0.0	3.625	6768.0	16
b.34	0.6181400410378064	0.04154668620400841	0.19101123595505617	0.5056179775280899	80.69662921348315	6695.0	89
b.35	0.5672344295335005	0.0002791644109979855	0.0	0.0	1.3333333333333333	6781.0	3
b.38	0.519796357015707	0.016333757164365418	0.0	0.2857142857142857	7.714285714285714	6770.0	14
b.40	0.5325104330696351	0.01303430147824065	0.0	0.1864406779661017	63.08474576271186	6666.0	118
b.42	0.7167392862199718	0.02539958680581221	0.038461538461538464	0.46153846153846156	20.846153846153847	6758.0	26
b.43	0.62367306126425	0.005102694241573893	0.0	0.07142857142857142	17.142857142857142	6756.0	28
b.44	0.5547938803620621	0.005269992972020645	0.0	0.25	3.75	6776.0	8
b.45	0.44134244671792816	0.0012215441530018449	0.0	0.0	6.631578947368421	6765.0	19
b.49	0.3879478178314379	0.0010924712276705704	0.0	0.0	7.833333333333333	6772.0	12
b.52	0.48482058666484895	0.000995783069410509	0.0	0.0	6.153846153846154	6771.0	13
b.55	0.5377628514512895	0.0016625158940070002	0.0	0.0	3.875	6736.0	48
b.6	0.44815694017113716	0.0010537200634520936	0.0	0.0	1.9090909090909092	6762.0	22
b.61	0.7089081278427113	0.0613901947969391	0.25	0.25	10.166666666666666	6772.0	12
b.7	0.6544124890979002	0.002718610803301092	0.0	0.0	8.117647058823529	6767.0	17
b.72	0.7672226819446787	0.06025835326186784	0.125	0.375	4.25	6776.0	8
b.76	0.7406369802418166	0.0003101469296862919	0.0	0.0	1.0	6782.0	2
b.77	0.8837426308873851	0.032592148051810994	0.14285714285714285	0.2857142857142857	4.857142857142857	6777.0	7
b.80	0.6178374304818464	0.007608927865044746	0.0	0.05263157894736842	11.052631578947368	6765.0	19
b.81	0.426874699415683	0.0016036639804648646	0.0	0.0	5.076923076923077	6771.0	13
b.82	0.6217800838858101	0.015490793428474375	0.05970149253731343	0.3582089552238806	42.32835820895522	6717.0	67
b.84	0.4303642538394449	0.001919600082829411	0.0	0.0	12.823529411764707	6767.0	17
b.85	0.6519566930501632	0.006562775908777561	0.0	0.05555555555555555	14.222222222222221	6766.0	18
b.88	0.47060038353739486	0.0005683585509304812	0.0	0.0	1.6	6779.0	5
c.1	0.7281409398050858	0.07349452698988644	0.21910112359550563	0.797752808988764	157.61797752808988	6606.0	178
c.10	0.7124209763365233	0.005966216737747926	0.0	0.18181818181818182	5.090909090909091	6773.0	11
c.13	0.7322420488620164	0.0006903865831974515	0.0	0.0	1.3333333333333333	6781.0	3
c.23	0.5890681393212986	0.013503230506766438	0.045454545454545456	0.24242424242424243	55.21212121212121	6718.0	66
c.26	0.7126329407447465	0.009029726266925204	0.0	0.1388888888888889	18.944444444444443	6748.0	36
c.44	0.5946001205234159	0.005317532076090643	0.0	0.125	5.25	6776.0	8
c.47	0.22969919570395486	0.0003180121636215813	0.0	0.0	1.9722222222222223	6712.0	72
c.49	0.5004178341444231	0.0003364216035413829	0.0	0.0	1.3333333333333333	6781.0	3
c.51	0.5059885707596196	0.008600705405263271	0.07142857142857142	0.14285714285714285	10.285714285714286	6770.0	14
c.52	0.6221924031270601	0.006819605760437108	0.0	0.09302325581395349	9.162790697674419	6741.0	43
c.53	0.86351401179941	0.0011434883803866512	0.0	0.0	2.0	6780.0	4
c.55	0.5689580443196598	0.01383975495805688	0.030612244897959183	0.14285714285714285	62.30612244897959	6686.0	98
c.56	0.787928664470368	0.0072069629338765715	0.0	0.045454545454545456	16.181818181818183	6762.0	22
c.6	0.6647529482410242	0.0024427982348181245	0.0	0.0	5.833333333333333	6772.0	12
c.67	0.5977483666082364	0.0010729479250928269	0.0	0.0	3.769230769230769	6758.0	26
c.72	0.6629646970288128	0.005636020471397357	0.0	0.2	7.466666666666667	6769.0	15
c.78	0.8297471489702566	0.0026622442261356872	0.0	0.0	3.4285714285714284	6777.0	7
c.8	0.6337614665365663	0.011960634166428334	0.0625	0.125	13.5	6768.0	16
c.9	0.31057366170181383	0.00014220484806427334	0.0	0.0	1.3333333333333333	6781.0	3
c.92	0.5961582563675741	0.003701076769722395	0.0	0.08333333333333333	5.833333333333333	6772.0	12
c.97	0.6843726091566782	0.0012197723696207362	0.0	0.0	4.363636363636363	6773.0	11
c.98	0.6088703731013125	0.0003141564678124699	0.0	0.0	1.3333333333333333	6781.0	3
d.100	0.7445804453620409	0.010318631430725192	0.0	0.0	1.3333333333333333	6781.0	3
d.109	0.6249836999311091	0.003007667009492514	0.0	0.0	4.6	6774.0	10
d.110	0.5283540577973379	0.006382306268222142	0.0	0.08571428571428572	29.771428571428572	6749.0	35
d.129	0.48654894745316746	0.003978598637944162	0.0	0.05263157894736842	23.31578947368421	6746.0	38
d.13	0.22600512312362964	0.0002359990826359392	0.0	0.0	1.75	6776.0	8
d.142	0.5885457478395526	0.004629359592745308	0.0	0.11764705882352941	8.235294117647058	6767.0	17
d.15	0.5538034439048919	0.020917920704748082	0.1375	0.425	59.725	6704.0	80
d.153	0.3278906270709549	0.0003974179250833195	0.0	0.0	1.8461538461538463	6771.0	13
