superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.7105413469066629	0.14782931829061033	0.6216216216216216	0.6756756756756757	23.2972972972973	10333.0	37
a.1.2	0.9736960576242846	0.004925719538230415	0.0	0.0	1.5	10366.0	4
a.100.1	0.702373081424708	0.013535342261473704	0.12	0.28	20.64	10345.0	25
a.102.1	0.8143280436985177	0.04228591437355736	0.21052631578947367	0.5789473684210527	15.052631578947368	10351.0	19
a.102.3	0.9916763145200193	0.08125502493510892	0.0	0.4	1.6	10365.0	5
a.102.4	0.5128128528379469	0.001310734885248591	0.0	0.0	6.666666666666667	10361.0	9
a.103.1	0.9232179029613196	0.001137022702665741	0.0	0.0	1.3333333333333333	10367.0	3
a.104.1	0.7297715697415716	0.11632020844874501	0.5833333333333334	0.6388888888888888	14.444444444444445	10334.0	36
a.11.2	0.9819361373721782	0.00480013466280934	0.0	0.0	1.5	10366.0	4
a.111.1	0.7451363431731943	0.5001945366009531	0.75	0.75	3.0	10366.0	4
a.114.1	0.7594039351851851	0.00020255407175468864	0.0	0.0	1.0	10368.0	2
a.116.1	0.7631780425067753	0.08985862546887496	0.2222222222222222	0.5555555555555556	5.333333333333333	10361.0	9
a.118.1	0.605273130442581	0.029614985354829444	0.3148148148148148	0.7037037037037037	49.77777777777778	10316.0	54
a.118.17	0.45022752854156617	0.16407370931278203	0.4	0.6	3.2	10365.0	5
a.118.26	0.9176070601851852	0.003723589253108425	0.0	0.0	1.0	10368.0	2
a.118.8	0.6636995820642658	0.06271325974272529	0.40384615384615385	0.6346153846153846	37.73076923076923	10318.0	52
a.118.9	0.8542067053611639	0.08839937637259174	0.25	0.625	6.0	10362.0	8
a.119.1	0.9992525077160495	0.140625	0.0	0.5	1.0	10368.0	2
a.123.1	0.7222327055065035	0.0007388282280692045	0.0	0.0	1.8333333333333333	10358.0	12
a.124.1	0.9880860505498746	0.009548459683091952	0.0	0.0	2.0	10366.0	4
a.126.1	0.9995416827479738	0.6831980595789777	0.8333333333333334	1.0	3.0	10364.0	6
a.127.1	0.7796205397836515	0.006495177535855868	0.0	0.1111111111111111	5.777777777777778	10361.0	9
a.128.1	0.6960237080095134	0.050625444925505934	0.35714285714285715	0.42857142857142855	8.714285714285714	10356.0	14
a.130.1	0.7373692053690123	0.13185321937284675	0.3333333333333333	0.5	4.0	10364.0	6
a.132.1	0.7379051839672494	0.04389653596787184	0.21428571428571427	0.5	9.857142857142858	10356.0	14
a.133.1	0.7150379445623513	0.25126772048874024	0.5	0.75	2.5	10366.0	4
