fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.5071709112743266	0.0008584360730636542	0.0038314176245210726	0.007662835249042145	16.92337164750958	33511.333333333336	261
a.10	0.5714677454034414	0.00044881449147138834	0.0	0.0	8.666666666666666	33752.0	6
a.101	0.8131905612916951	0.10577333820146136	0.6666666666666666	1.0	41.0	33669.0	3
a.102	0.8448157234254196	0.11208488157521364	0.4895833333333333	0.7083333333333334	57.90625	33669.0	96
a.11	0.3408386072131166	0.00026799492617055244	0.0	0.0	12.391304347826088	33742.0	23
a.116	0.78776854049127	0.025104600490608267	0.0	1.0	190.0	33490.0	1
a.117	0.824338922852069	0.11808326382070833	0.5	1.0	190.0	33490.0	2
a.118	0.7640984260032662	0.06761210725860169	0.38181818181818183	0.6036363636363636	219.38181818181818	33490.0	275
a.136	0.9381178470475126	0.06173253854518838	0.3333333333333333	0.6666666666666666	29.0	33734.0	3
a.137	0.8810825001617572	0.050840344563294504	0.22580645161290322	0.5483870967741935	29.193548387096776	33734.0	31
a.139	0.981824886491968	0.5785838214926384	1.0	1.0	15.0	33747.0	3
a.140	0.9423398027020884	0.45833101736183046	0.7777777777777778	0.7777777777777778	15.61111111111111	33747.0	18
a.143	0.6795432998548278	0.00020979092080719973	0.0	0.0	4.0	33753.0	3
a.144	0.7404752574181958	0.00040035508026278424	0.0	0.0	6.333333333333333	33753.0	12
a.158	0.7978955580573167	0.0014233140975742971	0.0	0.0	7.0	33754.0	3
a.159	0.747845735765686	0.0023640296578405703	0.0	0.0	6.454545454545454	33754.0	11
a.2	0.7013732362651746	0.012759064702029527	0.05755395683453238	0.12949640287769784	111.02877697841727	33626.0	139
a.22	0.7551522857070183	0.004410129004634457	0.0	0.0	11.333333333333334	33755.0	3
a.23	0.841521451343781	0.015854405442035834	0.0	0.3076923076923077	40.61538461538461	33724.53846153846	13
a.24	0.7230413618479722	0.020588007833099463	0.15172413793103448	0.36551724137931035	130.44827586206895	33622.213793103445	145
a.245	0.7765633947435974	0.000273890018453665	0.0	0.0	3.6666666666666665	33762.0	3
a.246	0.7609050938267217	0.0005730612653361548	0.0	0.0	3.6666666666666665	33762.0	3
a.25	0.8347285182183873	0.05670051761700355	0.17777777777777778	0.35	51.97222222222222	33585.0	180
a.27	0.5033104469441394	0.0010628138413158678	0.0	0.0	30.0	33693.0	3
a.28	0.5436137210914931	0.001956445041582935	0.0	0.02666666666666667	43.653333333333336	33689.72	75
a.29	0.45361430485618726	0.0071789482632611335	0.0	0.044585987261146494	105.24203821656052	33613.61783439491	157
a.3	0.7925782962635123	0.08141059382088692	0.0	1.0	486.0	33055.0	3
a.30	0.9074109308835293	0.030475203021446986	0.17647058823529413	0.35294117647058826	15.705882352941176	33748.0	17
a.301	0.8132545875032009	0.1466629695113445	0.5	0.5	651.0	28998.0	2
a.302	0.8100147857010955	0.13260205619957532	0.0	1.0	651.0	28998.0	1
a.32	0.9849495992484321	0.01045152960429269	0.0	0.0	7.0	33758.0	1
a.33	0.958578072499217	0.008445227346546746	0.0	0.0	7.0	33758.0	2
a.34	0.9887650851955609	0.02761024990553051	0.0	0.42857142857142855	6.142857142857143	33758.0	7
a.36	0.8675080733564424	0.00011163206072784104	0.0	0.0	1.0	33753.0	1
a.37	0.8340814149853346	8.921985566535189e-05	0.0	0.0	1.0	33753.0	2
a.38	0.8543335934848104	0.001134837003447928	0.0	0.0	6.266666666666667	33707.0	15
a.39	0.7439590645749063	0.012580753168131665	0.012244897959183673	0.02040816326530612	41.93061224489796	33525.31428571429	245
a.4	0.748556758970541	0.09200313912645358	0.3155680224403927	0.6788218793828892	438.95652173913044	33057.692847124825	713
a.40	0.6252762553922603	0.30327405650867423	0.5849056603773585	0.6792452830188679	4.0	33712.0	53
a.45	0.8303930152084664	0.002391503066480225	0.0	0.0	4.333333333333333	33758.0	3
a.46	0.8089261527340115	0.0030622219493593324	0.0	0.0	7.8	33754.4	10
a.47	0.8911833117036193	0.005110174879991813	0.0	0.045454545454545456	13.454545454545455	33747.36363636364	22
a.48	0.8181828094010373	0.19549822499342495	0.6666666666666666	0.6666666666666666	9.222222222222221	33756.0	9
a.5	0.8265255018083516	0.04064557549072253	0.4857142857142857	0.6285714285714286	37.2	33695.0	70
a.59	0.7301584045420402	0.005256680338175294	0.0	0.0	87.0	33619.0	3
a.6	0.7771359010991185	0.007791558688381374	0.0	0.0	56.0	33698.0	3
