superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.9648740110067873	0.7488256038186341	1.0	1.0	23.2972972972973	10333.0	37
a.1.2	0.9973872917872532	0.03512061403508772	0.0	0.0	1.5	10366.0	4
a.100.1	0.9450915067203864	0.41418871180107963	0.88	0.92	20.64	10345.0	25
a.102.1	0.9976161341322737	0.6025243364304096	0.8947368421052632	1.0	15.052631578947368	10351.0	19
a.102.3	0.9999903521466473	0.9816666666666667	1.0	1.0	1.6	10365.0	5
a.102.4	0.819192494851215	0.290983325681496	0.4444444444444444	0.7777777777777778	6.666666666666667	10361.0	9
a.103.1	1.0	1.0	1.0	1.0	1.3333333333333333	10367.0	3
a.104.1	0.9969309052021457	0.7997644603359603	0.9722222222222222	1.0	14.444444444444445	10334.0	36
a.11.2	0.9919126631937745	0.1514506159961123	0.25	0.5	1.5	10366.0	4
a.111.1	0.9994372628464853	0.582116816315405	0.75	1.0	3.0	10366.0	4
a.114.1	0.5655864197530864	0.00013238397544701694	0.0	0.0	1.0	10368.0	2
a.116.1	0.9953103671736042	0.4610857511405578	0.7777777777777778	0.7777777777777778	5.333333333333333	10361.0	9
a.118.1	0.8587740693675907	0.18320939496412744	0.7222222222222222	0.9259259259259259	49.77777777777778	10316.0	54
a.118.17	0.812357292169159	0.23699084422532563	0.6	0.6	3.2	10365.0	5
a.118.26	1.0	1.0	1.0	1.0	1.0	10368.0	2
a.118.8	0.779811213923203	0.10934051535711341	0.4807692307692308	0.8461538461538461	37.73076923076923	10318.0	52
a.118.9	0.9986460947050119	0.6289063669558462	1.0	1.0	6.0	10362.0	8
a.119.1	1.0	1.0	1.0	1.0	1.0	10368.0	2
a.123.1	0.9999839093776147	0.9305555555555555	0.9166666666666666	1.0	1.8333333333333333	10358.0	12
a.124.1	0.9999879413467104	0.9479166666666666	1.0	1.0	2.0	10366.0	4
a.126.1	0.9544738196320597	0.667164766391772	0.8333333333333334	0.8333333333333334	3.0	10364.0	6
a.127.1	0.9939643933370408	0.499979851548779	0.7777777777777778	1.0	5.777777777777778	10361.0	9
a.128.1	0.967644396127884	0.590615636001196	0.8571428571428571	0.8571428571428571	8.714285714285714	10356.0	14
a.130.1	0.7864096873793902	0.3725042266805317	0.6666666666666666	0.6666666666666666	4.0	10364.0	6
a.132.1	0.9924325137734031	0.6611357459359927	1.0	1.0	9.857142857142858	10356.0	14
