fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.48541465647881726	0.0005726830690067639	0.0	0.0	3.5294117647058822	6767.0	17
a.10	0.468350540806293	0.0009729655167589167	0.0	0.0	1.5	6780.0	4
a.102	0.464887179090442	0.0029756519755088653	0.0	0.043478260869565216	15.130434782608695	6761.0	23
a.11	0.579818092428712	0.00025165873498701313	0.0	0.0	1.5	6780.0	4
a.118	0.4974106055428189	0.013917282795097775	0.06422018348623854	0.1743119266055046	83.87155963302752	6675.0	109
a.137	0.5748240876177056	0.0027429371904722087	0.0	0.0	13.866666666666667	6769.0	15
a.140	0.5391441384194339	0.002004779332827336	0.0	0.0	10.285714285714286	6770.0	14
a.144	0.6162636390445296	0.00020282233351699036	0.0	0.0	1.0	6782.0	2
a.159	0.6334245592455924	0.0027838265436122764	0.0	0.0	5.777777777777778	6775.0	9
a.2	0.49333730218973165	0.0049466696324713625	0.0	0.02857142857142857	32.51428571428571	6749.0	35
a.23	0.5137808554143215	0.0009930820254568909	0.0	0.0	6.0	6777.0	7
a.24	0.494505655868778	0.008215769845562323	0.0196078431372549	0.1568627450980392	47.568627450980394	6733.0	51
a.246	0.4858853321532182	0.0005152507543742668	0.0	0.0	3.2	6779.0	5
a.25	0.44383472134267726	0.002537339147274032	0.0	0.07142857142857142	13.214285714285714	6756.0	28
a.28	0.5197978158205431	0.0008377580319774034	0.0	0.0	4.75	6776.0	8
a.29	0.4518687444197093	0.0030615221883422213	0.0	0.0	21.75	6760.0	24
a.30	0.42189612253265385	0.0010358118161452423	0.0	0.0	7.777777777777778	6775.0	9
a.34	0.46565250528593205	0.0005022238606002495	0.0	0.0	3.6	6779.0	5
a.38	0.3701042588767581	0.00023468275701306364	0.0	0.0	1.6666666666666667	6778.0	6
a.39	0.5465502032319397	0.004739973218672693	0.03333333333333333	0.06666666666666667	11.666666666666666	6754.0	30
