superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.48003920294693775	0.002674891775155045	0.0	0.03508771929824561	35.01754385964912	14223.894736842105	57
a.1.2	0.6690022973503444	0.00044722973381365095	0.0	0.0	2.6	14274.4	5
a.10.2	0.07060801344914541	3.7653437758867384e-05	0.0	0.0	1.0	14276.0	1
a.100.1	0.5305932338912552	0.00301021585660106	0.0	0.07692307692307693	30.28205128205128	14239.0	39
a.101.1	0.5192941925802779	0.0017524567346773148	0.0	0.0	26.0	14251.0	1
a.102.1	0.5244885476900384	0.0037601418890094804	0.037037037037037035	0.07407407407407407	21.40740740740741	14251.0	27
a.102.2	0.5032999369438801	0.00033011967630031753	0.0	0.0	5.0	14273.0	1
a.102.3	0.7660210084872783	0.00031094118397002293	0.0	0.0	2.5	14272.0	6
a.102.4	0.5544028814110121	0.0008373830882221094	0.0	0.0	8.727272727272727	14267.0	11
a.102.6	0.5475986127653611	0.0002809846076329144	0.0	0.0	4.0	14273.0	1
a.103.1	0.39764099767912736	0.000960956192495857	0.0	0.0	12.166666666666666	14261.833333333334	6
a.104.1	0.4716893137683685	0.0014727317854599422	0.0	0.013888888888888888	19.48611111111111	14206.0	72
a.11.1	0.5944829670983041	0.00025319081301169435	0.0	0.0	1.3333333333333333	14275.666666666666	3
a.11.2	0.49501459427904265	0.00012009312145509743	0.0	0.0	1.6666666666666667	14275.0	3
a.110.1	0.38518388791593694	0.0001569570110882418	0.0	0.0	3.0	14275.0	1
a.111.1	0.3023292469352014	0.00011322123396307	0.0	0.0	2.3333333333333335	14275.0	3
a.113.1	0.45786930027316664	6.420958006934635e-05	0.0	0.0	1.0	14277.0	1
a.114.1	0.6277917455310154	0.0004344205198879359	0.0	0.0	5.5	14271.5	2
a.116.1	0.561195669721185	0.0012439632299601005	0.0	0.0	6.833333333333333	14266.0	12
a.117.1	0.415861853414596	0.002974122919654954	0.0	0.0	54.0	14220.0	1
a.118.1	0.5132427300236905	0.004101003366910946	0.0	0.06779661016949153	53.33898305084746	14220.949152542373	59
a.118.11	0.25425509560832105	4.68471844842125e-05	0.0	0.0	1.0	14277.0	1
a.118.13	0.8744484135322547	0.0002757859900717044	0.0	0.0	1.0	14277.0	1
