fold	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1	0.6077299432711262	0.0012803879128619527	0.0	0.0	7.219512195121951	10329.0	41
a.10	0.3954635346324522	0.00011267010740842527	0.0	0.0	1.5	10366.0	4
a.102	0.9135675613970275	0.33945617187574634	0.6486486486486487	0.8108108108108109	24.216216216216218	10333.0	37
a.11	0.8535897497748617	0.005002630297642561	0.0	0.0	2.6666666666666665	10364.0	6
a.118	0.7377155784856293	0.09481199056638907	0.35570469798657717	0.7718120805369127	110.3758389261745	10221.0	149
a.137	0.8406302453381159	0.05927127629644292	0.3333333333333333	0.6666666666666666	13.866666666666667	10355.0	15
a.140	0.8752581839831984	0.08054010544886055	0.42857142857142855	0.7857142857142857	10.285714285714286	10356.0	14
a.144	0.7008342978395061	0.00017093513775041794	0.0	0.0	1.0	10368.0	2
a.159	0.9324632668382667	0.038960420652046954	0.0	0.5	6.0	10360.0	10
a.2	0.7832767585803535	0.06443989135104108	0.13953488372093023	0.6046511627906976	39.53488372093023	10327.0	43
a.23	0.7385179875288918	0.05789274665534303	0.2857142857142857	0.42857142857142855	6.0	10363.0	7
a.24	0.8161754036368923	0.07914471315422059	0.2463768115942029	0.7246376811594203	64.26086956521739	10301.0	69
a.246	0.7459808650908506	0.0010324056644590554	0.0	0.0	3.2	10365.0	5
a.25	0.5504899126409302	0.008430198421810222	0.03636363636363636	0.21818181818181817	19.236363636363638	10315.0	55
a.28	0.6779820736160668	0.0011743540768411047	0.0	0.0	7.2	10355.0	15
a.29	0.7478654569354342	0.021452863615747823	0.06976744186046512	0.3488372093023256	35.348837209302324	10327.0	43
a.30	0.7990588803088803	0.06406047409656365	0.3	0.5	8.4	10360.0	10
a.34	0.6324995980061103	0.0005405205561699376	0.0	0.0	3.6	10365.0	5
a.38	0.9008120329776381	0.0013827827789109144	0.0	0.0	1.75	10362.0	8
a.39	0.6485842839540843	0.00805873622271681	0.017543859649122806	0.24561403508771928	19.964912280701753	10313.0	57
a.4	0.746314975577231	0.13764256344004144	0.3264094955489614	0.6973293768545994	184.42729970326408	10033.0	337
a.40	0.921680926810308	0.012014281824503608	0.0	0.23076923076923078	3.5384615384615383	10357.0	13
a.46	0.5926965750120597	0.0004942610689243202	0.0	0.0	2.8	10365.0	5
a.47	0.8602190941171538	0.029852787883454423	0.0	0.18181818181818182	8.0	10359.0	11
a.48	0.8094597591014788	0.012401434464241615	0.0	0.375	6.25	10362.0	8
a.5	0.7638208011676958	0.01671371447873355	0.15	0.4	21.15	10330.0	40
a.60	0.650960591314241	0.029475988766642668	0.15492957746478872	0.5070422535211268	61.605633802816904	10299.0	71
a.64	0.8059936219976749	0.0006218919122767103	0.0	0.0	1.7142857142857142	10363.0	7
a.69	0.8237496648434149	0.0034815044926146386	0.0	0.0	5.8	10360.0	10
a.7	0.8207477598657225	0.05833105351504927	0.125	0.5	35.35	10330.0	40
a.70	0.7157118055555556	0.0003011046033828784	0.0	0.0	1.0	10368.0	2
a.71	0.904013119814779	0.001751026745872325	0.0	0.0	2.0	10366.0	4
a.8	0.6137660573102586	0.009004131465625688	0.0	0.22727272727272727	19.363636363636363	10348.0	22
b.1	0.7466072203125435	0.15041994899463657	0.41346153846153844	0.8990384615384616	330.4230769230769	9954.0	416
b.121	0.8914773234958417	0.1293109917935885	0.4528301886792453	0.8679245283018868	35.056603773584904	10317.0	53
b.129	0.9746181058047918	0.19071692697472561	0.4	0.4	2.4	10365.0	5
b.159	0.9971785473135912	0.06642902502717693	0.0	0.3333333333333333	1.3333333333333333	10367.0	3
b.2	0.7797463233474743	0.04697231420964335	0.2127659574468085	0.5106382978723404	33.148936170212764	10323.0	47
b.23	0.42076218041485774	0.0001280489641183797	0.0	0.0	1.6	10365.0	5
b.24	0.870847806509713	0.002108372328156711	0.0	0.0	1.6666666666666667	10364.0	6
b.3	0.7677595130518055	0.007729969241873231	0.0	0.08	20.72	10345.0	25
