superfamily	auroc	auprc	hit1	hit10	avg_n_true_pos	avg_n_true_neg	n_queries
a.1.1	0.8915543101382344	0.12197961305394844	0.6403162055335968	0.9446640316205533	148.49407114624506	33520.86956521739	253
a.1.2	0.907432775722701	0.2478831169757948	0.5	0.5	3.625	33761.875	8
a.10.1	0.9907162112408432	0.2391630963673601	0.5	1.0	7.0	33757.0	2
a.10.2	0.9932754687916581	0.23692589475609752	0.0	1.0	7.0	33757.0	1
a.100.1	0.8057401163715158	0.06335083481604374	0.48717948717948717	0.7435897435897436	42.03846153846154	33692.769230769234	78
a.101.1	0.9547899381234367	0.18314432609908424	0.16666666666666666	1.0	28.666666666666668	33736.0	6
a.102.1	0.9742520799056683	0.39485574696523074	0.7818181818181819	0.9636363636363636	42.70909090909091	33710.0	55
a.102.2	0.9213556733772368	0.3641663491605663	0.3333333333333333	0.6666666666666666	2.6666666666666665	33761.0	3
a.102.3	0.97822018823231	0.08350327862431577	0.2857142857142857	0.5714285714285714	10.857142857142858	33752.857142857145	7
a.102.4	0.8956401191354467	0.07798580984597939	0.5217391304347826	0.782608695652174	16.0	33742.0	23
a.102.5	0.9988529607487613	0.6805045088110828	1.0	1.0	11.0	33743.0	2
a.102.6	0.9954455200135787	0.3590925704733605	1.0	1.0	11.0	33743.0	1
a.103.1	0.9965692445265281	0.610956862448689	0.92	1.0	26.24	33726.92	25
a.104.1	0.9918143883006975	0.9402252909912477	0.9871794871794872	0.9935897435897436	49.66025641025641	33609.0	156
a.109.1	0.9602719033232628	0.0021998464453465982	0.0	0.0	5.0	33762.0	1
a.11.1	0.968484921483623	0.21787172760399728	0.5454545454545454	0.7272727272727273	5.090909090909091	33755.90909090909	11
a.11.2	0.8686791553272867	0.13714464960898007	0.3333333333333333	0.3333333333333333	7.583333333333333	33753.0	12
a.110.1	0.9791703690539659	0.3260831103638821	0.5	0.5	3.0	33762.0	2
a.111.1	0.9385248208044548	0.4793516360695473	1.0	1.0	4.5	33762.0	4
a.113.1	0.9086917244239086	0.00016215861344537816	0.0	0.0	1.0	33762.0	2
a.114.1	0.9677094456273333	0.4391142421744168	0.6666666666666666	0.6666666666666666	6.5	33756.5	6
a.116.1	0.9924830298673332	0.22103058630976757	0.4666666666666667	0.8666666666666667	13.4	33746.26666666667	15
a.117.1	0.8310979771416231	0.27746604638044925	1.0	1.0	77.0	33680.0	2
a.118.1	0.8953382881103559	0.2269731732613727	0.6931818181818182	0.9545454545454546	75.93181818181819	33682.65909090909	88
a.118.12	0.935471211941713	0.5000571820677036	0.5	0.5	1.0	33764.0	2
a.118.13	0.8988567705248194	0.00014594279042615295	0.0	0.0	1.0	33764.0	1
a.118.14	0.9918140952230514	0.7781338444246028	1.0	1.0	1.6666666666666667	33765.333333333336	3
a.118.15	0.9862119013062409	0.495964527472638	1.0	1.0	5.0	33761.0	1
a.118.16	0.9935324783033678	0.24052314483517528	0.5	0.5	5.0	33761.0	2
a.118.17	0.9961225600545007	0.23319038218928634	0.5	0.75	4.25	33761.0	4
a.118.19	0.9999851913280418	0.625	0.5	1.0	1.0	33764.0	2
a.118.20	1.0	1.0	1.0	1.0	1.0	33764.0	1
a.118.21	1.0	1.0	1.0	1.0	3.0	33764.0	1
a.118.23	0.999881534132978	0.1	0.0	1.0	1.0	33765.0	1
a.118.24	1.0	1.0	1.0	1.0	1.0	33765.0	1
a.118.25	0.9999333629498001	0.6214285714285714	1.0	1.0	2.0	33765.0	1
a.118.3	0.999643832555911	0.756290482807433	0.875	1.0	4.75	33758.625	8
a.118.30	0.9959964852003238	0.024604658539822643	0.0	0.3333333333333333	2.0	33762.0	3
a.118.4	0.9971171598100484	0.11957236842105264	0.0	1.0	3.0	33763.0	1
a.118.5	0.999962977223588	0.375	0.0	1.0	2.0	33763.0	1
a.118.6	0.9997001155110624	0.13762851731601733	0.0	0.5	2.0	33763.0	2
a.118.7	0.5695468710330841	0.013379831298677411	0.0	0.3333333333333333	49.0	33681.0	3
a.118.8	0.6470064593094426	0.14593795074639215	0.632183908045977	0.8160919540229885	60.14942528735632	33683.206896551725	87
a.118.9	0.9886227005628623	0.23306419601138917	0.5	0.8636363636363636	14.636363636363637	33746.90909090909	22
a.119.1	0.8988617578088111	0.09292467920209221	0.4	0.4	4.4	33747.6	5
a.120.1	0.6986805432010912	0.0002421553615499919	0.0	0.0	5.0	33726.0	1
a.121.1	0.7264636123928457	0.0009351129972889489	0.0	0.0	9.023809523809524	33723.92857142857	42
a.123.1	0.9897989459759471	0.20141832960586503	0.36619718309859156	0.7323943661971831	14.028169014084508	33699.66197183099	71
a.124.1	0.9978701016237866	0.4485363936780086	0.625	0.625	7.75	33755.125	8
a.126.1	0.9781462588481621	0.6756522689442233	0.8095238095238095	0.8571428571428571	12.857142857142858	33742.42857142857	21
a.127.1	0.8907977814738897	0.19697864783775323	0.6792452830188679	0.9056603773584906	31.60377358490566	33714.264150943396	53
a.128.1	0.8773842939393035	0.10716864889796952	0.5303030303030303	0.8181818181818182	23.363636363636363	33704.22727272727	66
a.13.1	0.9068857358202421	0.00875473979705089	0.0	0.0	3.0	33759.0	3
a.130.1	0.6132481228385375	0.06884884121899339	0.26666666666666666	0.4666666666666667	12.266666666666667	33750.46666666667	15
a.131.1	0.9961407200245821	0.7009024623078897	1.0	1.0	19.0	33743.0	2
a.132.1	0.9750238202773179	0.2681000699468299	0.64	0.84	19.72	33736.76	25
a.133.1	0.9027406598357975	0.021416979694119744	0.06756756756756757	0.0945945945945946	8.756756756756756	33691.0	74
a.137.13	0.9077209920478011	0.48882834932380087	1.0	1.0	27.0	33720.0	1
a.137.14	0.9340209129651597	0.5182242154011246	1.0	1.0	27.0	33720.0	1
a.137.15	0.9234858969289574	0.4975982324888421	1.0	1.0	27.0	33720.0	1
a.138.1	0.8388604355843223	0.4283404312386887	0.9166666666666666	0.9583333333333334	30.020833333333332	33722.0	48
a.139.1	0.9584871703709106	0.28666297082671166	0.5384615384615384	0.7692307692307693	4.615384615384615	33752.0	13
a.14.1	0.8483785337380689	0.1597510914392678	0.5	0.625	5.375	33757.0	8
a.140.2	0.9927291574115208	0.03167395192329425	0.0	0.3333333333333333	1.3333333333333333	33765.0	3
a.140.5	0.9957322551662176	0.02776638732266831	0.0	0.0	3.0	33761.0	2
a.140.6	0.9996001303278931	0.49246031746031743	1.0	1.0	3.0	33761.0	1
a.141.1	0.9710487936969674	0.335198899275915	0.6	0.8	3.8	33761.2	5
a.142.1	0.9489736982406256	0.21398389396428164	0.0	0.5	3.0	33762.0	2
a.143.1	0.769165458142172	0.14239078305203937	0.16666666666666666	0.5	2.0	33759.5	6
a.144.1	0.6339202692116532	0.1989900676629729	0.375	0.625	3.75	33757.0	8
a.146.1	0.9720107810324912	0.0009821759108274923	0.0	0.0	2.0	33763.0	1
a.147.1	0.9999851908894352	0.7916666666666666	1.0	1.0	2.0	33763.0	1
a.148.1	0.9993780173562775	0.04129179787074524	0.0	0.0	2.0	33763.0	1
a.149.1	0.9604618181170497	0.15790215855629716	0.3333333333333333	0.6666666666666666	6.666666666666667	33760.0	3
a.15.1	0.935611167076531	0.07516182656144796	0.0	1.0	8.0	33751.0	1
a.150.1	0.9108809326302068	0.12992355749289233	1.0	1.0	12.0	33754.0	1
a.151.1	0.9859073941404924	0.02558495907459127	0.0	0.0	11.0	33754.0	1
a.152.1	0.8619543410564812	0.004726860748184541	0.0	0.09090909090909091	8.636363636363637	33754.0	11
a.155.1	0.9132428583341013	0.0046517841656885245	0.0	0.0	9.0	33756.0	3
a.156.1	0.9509624419482532	0.05674193987877487	0.16666666666666666	0.16666666666666666	6.083333333333333	33757.0	12
a.157.1	0.988699644549763	0.46099113771467015	0.8	0.8	3.6	33760.0	5
a.159.3	0.98552892733359	0.13061602025694835	1.0	1.0	9.0	33757.0	1
a.159.4	0.9885966038319624	0.19061578750249547	1.0	1.0	9.0	33757.0	1
a.159.5	0.9696309901156304	0.018436005267006526	0.0	1.0	9.0	33757.0	1
a.16.1	0.9742366058018989	0.1830189832782818	0.4375	0.75	10.0	33752.875	16
a.160.1	0.9575627112730528	0.06857900186219176	0.125	0.5	9.375	33757.0	8
a.173.1	0.9922994905816847	0.002725787284610814	0.0	0.0	1.0	33764.0	3
a.174.1	0.9912307980886941	0.6267537811795854	0.75	0.75	2.25	33764.0	4
a.175.1	0.8124533801717825	0.16678281029239853	0.3333333333333333	0.3333333333333333	1.3333333333333333	33761.333333333336	3
a.176.1	0.5176540284360189	3.0648522741203875e-05	0.0	0.0	1.0	33760.0	1
a.177.1	0.8332261340555179	0.00022001442392959747	0.0	0.0	2.2	33760.0	5
a.179.1	0.7119071594992694	0.00014764386017255613	0.0	0.0	3.0	33764.0	1
a.180.1	0.500592346878332	2.9585798816568047e-05	0.0	0.0	1.0	33764.0	1
a.181.1	0.5497571377798839	3.2801941874959e-05	0.0	0.0	1.0	33764.0	1
a.182.1	0.8701355181564231	0.060089895232300114	0.0	0.25	1.75	33762.5	4
a.183.1	0.9876093438382402	0.09120494228115993	0.3333333333333333	0.3333333333333333	3.3333333333333335	33762.0	3
a.184.1	0.9985042798329532	0.013918345705196181	0.0	0.0	1.0	33763.0	2
a.185.1	0.9965050499067026	0.004166666666666667	0.0	0.0	1.0	33763.0	1
a.186.1	0.9880388665106773	0.5061676791922721	0.5	0.75	1.75	33764.5	4
a.187.1	0.999674199567574	0.041666666666666664	0.0	0.0	1.0	33763.0	2
a.188.1	0.9993335900245831	0.020833333333333332	0.0	0.0	1.0	33763.0	1
a.189.1	0.9871733145899466	0.48171253409780473	0.6	0.6	2.8	33762.4	5
a.19.1	0.7769398615759803	0.11847111831521807	0.3333333333333333	0.6666666666666666	4.333333333333333	33761.0	3
a.190.1	0.9970787422254223	0.35194599158945683	0.4	0.6	2.2	33763.6	5
a.2.10	0.7640036531875506	0.10344692226131037	0.3333333333333333	1.0	39.0	33709.0	3
a.2.11	0.862108860070087	0.3520172981655327	0.8035714285714286	0.9285714285714286	25.767857142857142	33709.0	56
a.2.15	0.8367583898581203	0.0014713905226237732	0.0	0.0	5.0	33761.0	1
a.2.16	0.9169618790912591	0.0017534414176295248	0.0	0.0	5.0	33761.0	2
a.2.17	0.929824600377161	0.0037341018331609813	0.0	0.0	5.25	33761.0	4
a.2.19	0.9996560893575288	0.44191348504214	1.0	1.0	3.0	33762.0	3
a.2.2	0.6901602260154892	0.002366897011910498	0.0	0.0	15.0	33744.0	3
a.2.20	0.9838185907056486	0.5837584634528771	1.0	1.0	18.25	33731.5	4
a.2.21	0.941044538681629	0.7138130490918033	1.0	1.0	64.0	33640.0	2
a.2.3	0.8466268430084218	0.16977543624879815	0.5714285714285714	0.6666666666666666	10.714285714285714	33744.0	21
a.2.6	0.9979903441739233	0.2622948774717991	0.6666666666666666	1.0	4.333333333333333	33762.0	3
a.2.7	0.9780176924747744	0.14356662603772627	0.3333333333333333	0.3333333333333333	5.0	33762.0	3
a.20.1	0.911068930868811	0.2990117741610317	0.42857142857142855	0.5714285714285714	6.428571428571429	33749.857142857145	7
a.202.1	0.6716935185185184	0.001183483539100901	0.0	0.0	16.0	33750.0	2
a.203.1	0.8298222222222222	0.001013820159319508	0.0	0.0	12.0	33750.0	1
a.204.1	0.8285091546894161	0.05420617888636524	0.4	0.6	13.2	33750.0	15
a.206.1	0.9989634236635571	0.013888888888888888	0.0	0.0	1.0	33765.0	1
a.207.1	0.9668517695838887	0.002723021333188554	0.0	0.0	1.5	33765.0	2
a.208.1	0.9598227948072462	0.003904641434119826	0.0	0.0	1.3333333333333333	33765.0	3
a.209.1	0.9034823905594095	0.007021015933706325	0.0	0.0	33.0	33719.0	2
a.21.1	0.9611351080340196	0.3821320267400829	0.7272727272727273	0.9090909090909091	16.575757575757574	33729.09090909091	33
a.210.1	0.9639197215489513	0.024019018793667395	0.0	1.0	33.0	33719.0	1
a.211.1	0.9193022260189854	0.14164654734552598	0.5833333333333334	0.7708333333333334	35.583333333333336	33720.75	48
a.212.1	0.9784415943445592	0.335889263163265	1.0	1.0	3.0	33761.0	1
a.213.1	0.9715419912522338	0.026877318712521053	0.0	0.75	4.5	33761.0	4
a.217.1	0.9986244389158735	0.0729615946952763	0.0	0.3333333333333333	1.6666666666666667	33764.0	3
a.218.1	0.9911444141689374	0.001639344262295082	0.0	0.0	1.0	33764.0	1
a.22.1	0.7843493699291216	0.021566210701867414	0.23157894736842105	0.49473684210526314	56.38947368421053	33670.0	95
a.228.1	0.5877954155067228	3.582945180938732e-05	0.0	0.0	1.0	33766.0	1
a.229.1	0.8054848072025115	7.596475235490732e-05	0.0	0.0	1.0	33766.0	1
a.23.3	0.9999851917666223	0.625	0.5	1.0	1.0	33765.0	2
a.23.4	0.999814897082778	0.5525641025641026	1.0	1.0	2.0	33765.0	1
a.23.5	0.9929070662796897	0.008119235836627142	0.0	0.0	1.0	33766.0	2
