sid	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg	span	sccs	cls_label	fold	superfamily	family	description	seq_len
d1ux8a_	0.4423548940614742	0.00019462581767054165	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	Protozoan/bacterial hemoglobin {Bacillus subtilis [TaxId: 1423]}	119
d1dlwa_	0.7002723067740972	0.00043275654587711734	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	Protozoan/bacterial hemoglobin {Ciliate (Paramecium caudatum) [TaxId: 5885]}	116
d1dlya_	0.44274656818860036	0.00019550197008055446	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	Protozoan/bacterial hemoglobin {Green alga (Chlamydomonas eugametos) [TaxId: 3054]}	121
d2gkma_	0.6095195464040585	0.0002826942812869678	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	Protozoan/bacterial hemoglobin {Mycobacterium tuberculosis, HbN [TaxId: 1773]}	127
d1ngka_	0.6324474037600716	0.0003140646627577723	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	Protozoan/bacterial hemoglobin {Mycobacterium tuberculosis, HbO [TaxId: 1773]}	126
d1s69a_	0.41439682184422566	0.00018493277632156474	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	Protozoan/bacterial hemoglobin {Synechocystis sp. PCC 6803 [TaxId: 1148]}	123
d5v3ta_	0.6704472545508804	0.0003595722523444283	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Anthrax bacillus (Bacillus anthracis) [TaxId: 1392]}	130
d2bkma_	0.4128058788421367	0.00031261711980767393	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Geobacillus stearothermophilus [TaxId: 1422]}	128
d4i0va_	0.41984109221128024	0.00018752438004518556	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Synechococcus sp. [TaxId: 32049]}	123
d2bmma_	0.5950984780662489	0.0002758383900092962	0	0	8	33510	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Thermobifida fusca [TaxId: 2021]}	123
d1asha_	0.4785101462250074	0.00020599109935255156	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Ascaris hemoglobin, domain 1 {Pig roundworm (Ascaris suum) [TaxId: 6253]}	147
d1vhba_	0.46049127126230976	0.00019901440759308815	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Bacterial dimeric hemoglobin {Vitreoscilla stercoraria [TaxId: 61]}	144
d1ch4a_	0.4771094449418084	0.0002052863052427769	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Chimeric hemoglobin beta-alpha {Synthetic, based on Homo sapiens sequence}	146
d2dc3a_	0.39621754700089523	0.00022617251783950496	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Cytoglobin {Human (Homo sapiens) [TaxId: 9606]}	172
d2dc3b_	0.40960720680393914	0.0002258257960497553	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Cytoglobin {Human (Homo sapiens) [TaxId: 9606]}	168
d1ut0a_	0.4084881378692927	0.00024075429586234507	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Cytoglobin {Human (Homo sapiens) [TaxId: 9606]}	154
d4hswa_	0.41215681886004174	0.00024425576772769703	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Dehaloperoxidase {Amphitrite ornata [TaxId: 129555]}	137
d1ecaa_	0.3959788122948374	0.00025352847062231823	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Erythrocruorin {Midge (Chironomus thummi thummi), fraction III [TaxId: 7154]}	136
d1x9fd_	0.39257684273351234	0.00023521580158797763	0	0	8	33510	(D:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Extracellular dodecameric hemoglobin (erythrocruorin), subunit D1 {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}	140
d1x9fb_	0.4179200238734706	0.00019613181674811808	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Extracellular dodecameric hemoglobin (erythrocruorin), subunit II (globin B) {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}	145
d1x9fc_	0.39740935541629363	0.00020061525696185367	0	0	8	33510	(C:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Extracellular dodecameric hemoglobin (erythrocruorin), subunit III (globin C) {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}	149
d1x9fa_	0.3883803342285884	0.00018820560454949108	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Extracellular dodecameric hemoglobin (erythrocruorin), subunit IV (globin A) {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}	147
d1gvha1	0.4071769621008654	0.00020911075498873135	0	0	8	33510	(A:1-146)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Flavohemoglobin, N-terminal domain {Escherichia coli [TaxId: 562]}	146
d1jl7a_	0.4286015368546702	0.0002917129768184742	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Glycera globin {Marine bloodworm (Glycera dibranchiata) [TaxId: 6350]}	147
d1jl6a_	0.4175563264697105	0.0002220276588366822	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Glycera globin {Marine bloodworm (Glycera dibranchiata) [TaxId: 6350]}	147
d1hbga_	0.40090458072217244	0.0002049175425573455	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Glycera globin {Marine bloodworm (Glycera dibranchiata) [TaxId: 6350]}	147
d1it2a_	0.4155718442256043	0.0002538332659198157	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hagfish hemoglobin {Inshore hagfish (Eptatretus burgeri) [TaxId: 7764]}	146
d1or4a_	0.41008654133094596	0.0002245323987926228	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Heme-based aerotactic transducer HemAT, sensor domain {Bacillus subtilis [TaxId: 1423]}	169
d1itha_	0.39947030737093403	0.00022518442138095765	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin {Innkeeper worm (Urechis caupo) [TaxId: 6431]}	141
d3g46a_	0.43124067442554465	0.0002153564821520706	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Ark clam (Scapharca inaequivalvis) [TaxId: 6561]}	146
d4hrra1	0.5086970307370934	0.0002235709864350364	0	0	8	33510	(A:4-149)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Ark clam (Scapharca inaequivalvis) [TaxId: 6561]}	146
d4hrrb_	0.5189103998806326	0.00022616345349788002	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Ark clam (Scapharca inaequivalvis) [TaxId: 6561]}	151
d1b0ba_	0.6134717248582513	0.00028893144663946345	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Clam (Lucina pectinata) [TaxId: 244486]}	142
d1wmua_	0.5276410026857654	0.00023236815552293773	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Aldabra giant tortoise (Geochelone gigantea) [TaxId: 167804]}	141
d3d1ka_	0.4396448821247389	0.00021594560371118832	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Antarctic fish (Trematomus newnesi) [TaxId: 35730]}	142
d1a4fa_	0.5298604894061474	0.00023283470075295354	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Bar-headed goose (Anser indicus) [TaxId: 8846]}	141
d1v4wa_	0.49291442852879735	0.0002139329145867568	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Bluefin tuna (Thunnus thynnus) [TaxId: 8237]}	143
d1cg5a_	0.5824268874962697	0.0002656641503504719	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Cartilaginous fish akaei (Dasyatis akajei) [TaxId: 31902]}	141
d1hbra_	0.48794949268874965	0.00021313491850464037	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Chicken (Gallus gallus) [TaxId: 9031]}	141
d1hdsa_	0.5743584004774693	0.0002587190916234503	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Deer (Odocoileus virginianus) [TaxId: 9874]}	141
d3n48a_	0.42454304685168615	0.00019758701159469552	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Dog (Canis familiaris) [TaxId: 9615]}	141
d1spga_	0.6091689048045359	0.0002925931919566458	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Fish (Leiostomus xanthurus) [TaxId: 59837]}	143
d2d5xa_	0.5027230677409729	0.0002178354222901135	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Horse (Equus caballus) [TaxId: 9796]}	141
d1gcva_	0.6196713667561922	0.00030014329336556123	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Houndshark (Mustelus griseus) [TaxId: 89020]}	140
d2dfoa_	0.6104390480453596	0.0002952437670969492	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Human (Homo sapiens) [TaxId: 9606]}	141
d1jeba_	0.5504271113100567	0.0002413475237811079	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Human (Homo sapiens), zeta isoform [TaxId: 9606]}	141
d5euia_	0.5350212623097583	0.0002372189035273935	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Ochotona princeps [TaxId: 9978]}	134
d4h2la_	0.5678491495076097	0.0002508254518695962	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Peromyscus maniculatus [TaxId: 10042]}	141
d1qpwa_	0.5300805729632945	0.00023176460424343054	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Pig (Sus scrofa) [TaxId: 9823]}	141
d1outa_	0.5484873918233364	0.00023991756677333128	0	0	8	33510	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Rainbow trout (Oncorhynchus mykiss) [TaxId: 8022]}	142
d1wmub_	0.5348851089227096	0.0002363028541321363	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Aldabra giant tortoise (Geochelone gigantea) [TaxId: 167804]}	146
d3d1kb_	0.5687425395404357	0.0002541134918283642	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Antarctic fish (Trematomus newnesi) [TaxId: 35730]}	146
d2aa1b1	0.427945016413011	0.00030253931184142746	0	0	8	33510	(B:1-146)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Antarctic fish (Trematomus newnesi) [TaxId: 35730]}	146
d1v4wb_	0.5673437033721277	0.0002531853235586954	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Bluefin tuna (Thunnus thynnus) [TaxId: 8237]}	146
d3n48b_	0.49059236048940613	0.00021475649606666252	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Canis lupus [TaxId: 9615]}	146
d1cg5b_	0.5446639062966279	0.000238582101886911	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Cartilaginous fish akaei (Dasyatis akajei) [TaxId: 31902]}	141
d6ii1b_	0.49728812294837355	0.0002181508891354467	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Cow (Bos taurus) [TaxId: 9913]}	143
d1hdsb_	0.5640014174873171	0.00024939864280668685	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Deer (Odocoileus virginianus) [TaxId: 9874]}	145
d2h8fb_	0.42141524917934947	0.00028453882590849126	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Emerald rockcod (Pagothenia bernacchii) [TaxId: 40690]}	146
d1spgb_	0.5993602655923604	0.00028199861354225156	0	0	8	33510	(B:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, beta-chain {Fish (Leiostomus xanthurus) [TaxId: 59837]}	147
