sid	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg	span	sccs	cls_label	fold	superfamily	family	description	seq_len
d2bkma_	0.7821790952191059	0.0010782625270272135	0	0	3	7523	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Geobacillus stearothermophilus [TaxId: 1422]}	128
d4i0va_	0.5274048473569941	0.0003966178161618921	0	0	3	7523	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Synechococcus sp. [TaxId: 32049]}	123
d1asha_	0.44645309938411093	0.0003312727832853323	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Ascaris hemoglobin, domain 1 {Pig roundworm (Ascaris suum) [TaxId: 6253]}	147
d4hswa_	0.3324914706012672	0.0002828064514344562	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Dehaloperoxidase {Amphitrite ornata [TaxId: 129555]}	137
d1hbga_	0.4043599627808055	0.0003383445966727071	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Glycera globin {Marine bloodworm (Glycera dibranchiata) [TaxId: 6350]}	147
d1or4a_	0.4591918117772166	0.0004267179824842517	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Heme-based aerotactic transducer HemAT, sensor domain {Bacillus subtilis [TaxId: 1423]}	169
d1itha_	0.3783065266516017	0.0002934652153264185	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin {Innkeeper worm (Urechis caupo) [TaxId: 6431]}	141
d3g46a_	0.5559174088351279	0.00042715605375940127	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Ark clam (Scapharca inaequivalvis) [TaxId: 6561]}	146
d1b0ba_	0.6876246178386282	0.0006534380402307252	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Clam (Lucina pectinata) [TaxId: 244486]}	142
d3d1ka_	0.5269174531436926	0.0003845451869851634	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Antarctic fish (Trematomus newnesi) [TaxId: 35730]}	142
d1tu9a1	0.7107315344056006	0.0006676139009942685	0	0	3	7523	(A:2-130)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hypothetical protein PA3967 {Pseudomonas aeruginosa [TaxId: 287]}	129
d1h97a_	0.8015862466214718	0.0009458085198376716	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Trematode hemoglobin/myoglobin {Paramphistomum epiclitum [TaxId: 54403]}	147
d3qm9a_	0.5031459081040365	0.0006630562957417775	0	0	3	7523	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	automated matches {Thunnus atlanticus [TaxId: 48168]}	145
d3l0fa_	0.464154371039922	0.0003483220210466631	0	0	3	7523	(A:)	a.1.1.3	a	a.1	a.1.1	a.1.1.3	Phycocyanin alpha subunit {Thermosynechococcus elongatus [TaxId: 197221]}	162
