sid	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg	FA-DOMID	FA-PDBID	FA-PDBREG	FA-UNIID	FA-UNIREG	SF-DOMID	SF-PDBID	SF-PDBREG	SF-UNIID	SF-UNIREG	SCOPCLA	TP	CL	CF	SF	FA
8017835	0.733131705090162	0.02592730132130392	0	1	52	11795	8017835	3FKQ	A:1-116	D0VX10	1-116	8017836	3FKQ	A:1-116	D0VX10	1-116	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8021787	0.7076673474893059	0.009635044674338867	0	0	55	11795	8021787	1Y7P	B:79-215	O28869	79-215	8034167	1Y7P	B:79-215	O28869	79-215	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002481	1	1000002	2000016	3001156	4002481
8023273	0.7580236446705289	0.0066800624800880766	0	0	9	11795	8023273	1ZGZ	A:2-121	P38684	2-121	8035653	1ZGZ	A:2-121	P38684	2-121	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8025118	0.7521171871320239	0.010527595305724769	0	1	9	11795	8025118	2AYX	A:817-949	P0DMC5	817-949	8037497	2AYX	A:817-949	P0DMC5	817-949	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8025122	0.6418698215730857	0.00945640789958144	0	0	55	11795	8025122	2AYX	A:700-816	P0DMC5	700-816	8037501	2AYX	A:700-816	P0DMC5	700-816	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002478	1	1000002	2000016	3001156	4002478
8025234	0.8809618011398427	0.1878890675509308	0	1	9	11795	8025234	2B4A	A:2-119	Q9K8I2	2-119	8037613	2B4A	A:2-119	Q9K8I2	2-119	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8025680	0.7770147425933775	0.014431997323133511	0	0	9	11795	8025680	1P6Q	A:1-129	Q52884	1-129	8038059	1P6Q	A:1-129	Q52884	1-129	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8026410	0.742198157925161	0.08741001276239029	1	1	55	11795	8026410	1R8J	A:2-135	Q79PF6	2-135	8038789	1R8J	A:2-135	Q79PF6	2-135	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002938	1	1000002	2000016	3001156	4002938
8030845	0.9011445527766002	0.3781143986294622	1	1	9	11795	8030845	1W25	A:141-293	B8GZM2	141-293	8043224	1W25	A:141-293	B8GZM2	141-293	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8031670	0.5468842729970326	0.000911981916413089	0	0	9	11795	8031670	1A2O	A:1-140	P04042	1-140	8044048	1A2O	A:1-140	P04042	1-140	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8031671	0.8807498469219537	0.042836779726946786	0	1	9	11795	8031671	1DCF	A:1-134	P49333	603-736	8044049	1DCF	A:1-134	P49333	603-736	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8031672	0.8879147558672781	0.10398937903677746	0	1	55	11795	8031672	1QO0	D:2-190	P10932	2-190	8044050	1QO0	D:2-190	P10932	2-190	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003653	1	1000002	2000016	3001156	4003653
8031727	0.46904543527688924	0.003907483455452139	0	0	55	11795	8031727	1C4K	A:1-107	P43099	2-108	8044105	1C4K	A:1-107	P43099	2-108	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003685	1	1000002	2000016	3001156	4003685
8017851	0.7782864679007112	0.006662758559730848	0	0	9	11795	8017851	3T6K	A:2-123	A9WCL5	2-123	8057732	3T6K	A:2-123	A9WCL5	2-123	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8017852	0.8632552907033619	0.13666301575100975	1	1	52	11795	8017852	4DN6	A:1-122	Q2T2Y8	1-122	8057733	4DN6	A:1-122	Q2T2Y8	1-122	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8017854	0.8330387713177031	0.11531108309012487	1	1	52	11795	8017854	4MYR	A:31-152	Q92YL8	31-152	8057737	4MYR	A:31-152	Q92YL8	31-152	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8017856	0.8134215932435517	0.07182773711167535	1	1	52	11795	8017856	4LDA	A:2-121	Q9HW97	2-121	8057741	4LDA	A:2-121	Q9HW97	2-121	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8072781	0.5464321039988695	0.0007962597513750711	0	0	9	11795	8072781	6ER7	A:2-118	O58193	2-118	8072782	6ER7	A:2-118	O58193	2-118	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072787	0.7840893033771371	0.0044572013990251454	0	0	9	11795	8072787	3CFY	A:2-128	Q87PN2	2-128	8072788	3CFY	A:2-128	Q87PN2	2-128	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072791	0.7502802505769864	0.0022251940424893317	0	0	9	11795	8072791	3A0R	B:1-116	Q9X181	1-116	8072792	3A0R	B:1-116	Q9X181	1-116	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072793	0.6896472139795582	0.0015273556422543677	0	0	9	11795	8072793	3CU5	B:4-130	A9KIW7	2-128	8072794	3CU5	B:4-130	A9KIW7	2-128	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072807	0.747289341057887	0.002858828956638529	0	0	9	11795	8072807	3KCN	A:6-139	Q7UJS6	6-139	8072808	3KCN	A:6-139	Q7UJS6	6-139	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072813	0.8056191418209223	0.00515849803146839	0	0	9	11795	8072813	3CG4	A:4-129	Q2FQ04	4-129	8072814	3CG4	A:4-129	Q2FQ04	4-129	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
