sid	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg	FA-DOMID	FA-PDBID	FA-PDBREG	FA-UNIID	FA-UNIREG	SF-DOMID	SF-PDBID	SF-PDBREG	SF-UNIID	SF-UNIREG	SCOPCLA	TP	CL	CF	SF	FA
8017835	0.49269116193772433	0.010748042552254838	0	0	113	9931	8017835	3FKQ	A:1-116	D0VX10	1-116	8017836	3FKQ	A:1-116	D0VX10	1-116	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8021787	0.578121783670156	0.015416803676893378	0	0	113	9931	8021787	1Y7P	B:79-215	O28869	79-215	8034167	1Y7P	B:79-215	O28869	79-215	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002481	1	1000002	2000016	3001156	4002481
8023805	0.748676932783106	0.04390296928556037	1	1	113	9931	8023805	1K66	A:2-149	Q8RTM8	2-149	8036185	1K66	A:2-149	Q8RTM8	2-149	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8025122	0.433549455847115	0.00921870487105341	0	0	113	9931	8025122	2AYX	A:700-816	P0DMC5	700-816	8037501	2AYX	A:700-816	P0DMC5	700-816	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002478	1	1000002	2000016	3001156	4002478
8025234	0.5836118777084003	0.014906730509950622	0	0	113	9931	8025234	2B4A	A:2-119	Q9K8I2	2-119	8037613	2B4A	A:2-119	Q9K8I2	2-119	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8026410	0.4836148183528292	0.010730743699644755	0	0	113	9931	8026410	1R8J	A:2-135	Q79PF6	2-135	8038789	1R8J	A:2-135	Q79PF6	2-135	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002938	1	1000002	2000016	3001156	4002938
8026920	0.7796383542015124	0.052936948752947424	1	1	113	9931	8026920	1S8N	A:11-200	P9WGM3	11-200	8039299	1S8N	A:11-200	P9WGM3	11-200	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8030845	0.5643907563961245	0.028032684269491796	1	1	113	9931	8030845	1W25	A:141-293	B8GZM2	141-293	8043224	1W25	A:141-293	B8GZM2	141-293	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8031661	0.7761826514454159	0.03802219004584185	0	0	113	9931	8031661	1QKK	A:5-144	P13632	5-144	8044039	1QKK	A:5-144	P13632	5-144	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8031672	0.6902650411734775	0.02474698327241794	0	0	113	9931	8031672	1QO0	D:2-190	P10932	2-190	8044050	1QO0	D:2-190	P10932	2-190	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003653	1	1000002	2000016	3001156	4003653
8031727	0.379209020114899	0.008083347656198085	0	0	113	9931	8031727	1C4K	A:1-107	P43099	2-108	8044105	1C4K	A:1-107	P43099	2-108	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003685	1	1000002	2000016	3001156	4003685
8017853	0.5522900045713655	0.015895507156050412	0	0	113	9931	8017853	4DAD	A:1-127	Q63I75	1-127	8057736	4DAD	A:1-127	Q63I75	1-127	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8017855	0.5866425236788709	0.021862359352418852	0	1	113	9931	8017855	4N0P	A:124-249	Q9A495	124-249	8057740	4N0P	A:124-249	Q9A495	124-249	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8017856	0.5570275609671334	0.0167285358327616	0	0	113	9931	8017856	4LDA	A:2-121	Q9HW97	2-121	8057741	4LDA	A:2-121	Q9HW97	2-121	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986	1	1000002	2000016	3001156	4003986
8072827	0.686434183476608	0.030376882428576047	0	0	113	9931	8072827	3CNB	C:65-187	Q47UF8	65-187	8072828	3CNB	C:65-187	Q47UF8	65-187	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072847	0.7025845591216563	0.03296978502469651	0	1	113	9931	8072847	2ZAY	A:8-130	Q1JZD9	154-276	8072848	2ZAY	A:8-130	Q1JZD9	154-276	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072855	0.6621226284371009	0.04388237398573864	1	1	113	9931	8072855	2NT3	A:2-123	O68522	2-123	8072856	2NT3	A:2-123	O68522	2-123	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072871	0.7060857082007445	0.03135104863683655	0	0	113	9931	8072871	3GRC	B:546-668	Q121U0	546-668	8072872	3GRC	B:546-668	Q121U0	546-668	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072883	0.7169384683519827	0.042891930989079174	1	1	113	9931	8072883	4EUK	A:776-922	Q3S4A7	776-922	8072884	4EUK	A:776-922	Q3S4A7	776-922	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072887	0.6899509268822129	0.030428837789251487	0	1	113	9931	8072887	3I42	A:19-134	Q1H0I3	19-134	8072888	3I42	A:19-134	Q1H0I3	19-134	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072897	0.7195707906679986	0.03175704873174838	0	0	113	9931	8072897	2QSJ	B:2-130	Q5LQW4	2-130	8072898	2QSJ	B:2-130	Q5LQW4	2-130	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072903	0.7333031545985886	0.041822010137576304	0	0	113	9931	8072903	3EQZ	A:3-125	Q483U6	3-125	8072904	3EQZ	A:3-125	Q483U6	3-125	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8072905	0.770969245314796	0.057232034697136565	0	1	113	9931	8072905	5DCL	A:4-120	X5JZS1	4-120	8072906	5DCL	A:4-120	X5JZS1	4-120	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8074348	0.57894828297554	0.015465588223299227	0	0	113	9931	8074348	3LUA	A:2-125	A3DK02	2-125	8074349	3LUA	A:2-125	A3DK02	2-125	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8075474	0.7287112937677052	0.034681219436480296	0	1	113	9931	8075474	2MSW	A:5-125	Q2N9L8	1-121	8075475	2MSW	A:5-125	Q2N9L8	1-121	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8075476	0.5924280188165598	0.015780392380089592	0	0	113	9931	8075476	2J48	A:627-745	Q9KHI5	627-745	8075477	2J48	A:627-745	Q9KHI5	627-745	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8075480	0.5917833048031416	0.025043442017244403	1	1	113	9931	8075480	2HQO	A:1-118	Q9ZM42	1-118	8075481	2HQO	A:1-118	Q9ZM42	1-118	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8092321	0.6945004602554083	0.03610932468403638	0	1	113	9931	8092321	4CBV	B:1-133	Q79CK7	1-133	8092322	4CBV	B:1-133	Q79CK7	1-133	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8101340	0.7280278167140882	0.04620048529150028	1	1	113	9931	8101340	3ILH	A:5-136	A0A6N4SQL8	5-136	8101341	3ILH	A:5-136	A0A6N4SQL8	5-136	TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632	1	1000002	2000016	3001156	4003632
8023120	0.5889565279345685	0.040654356304095966	0	0	296	9768	8023120	1CC8	A:2-73	P38636	2-73	8035500	1CC8	A:2-73	P38636	2-73	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8023130	0.601785926743697	0.04873041571659568	0	0	296	9768	8023130	1CPZ	A:2-68	Q47840	3-69	8035510	1CPZ	A:2-68	Q47840	3-69	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8023131	0.5697554895190031	0.05125312176820487	0	1	296	9768	8023131	1QUP	A:2-73	P40202	2-73	8035511	1QUP	A:2-73	P40202	2-73	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8031484	0.577230255439715	0.04222493469741829	0	0	296	9768	8031484	1MWZ	A:2-74	P37617	46-118	8043862	1MWZ	A:2-74	P37617	46-118	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8061464	0.5919959617172454	0.0446992432476059	0	0	296	9768	8061464	4Y2I	A:1-64	A0A140UHB4	2-65	8061465	4Y2I	A:1-64	A0A140UHB4	2-65	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8064509	0.600128556843084	0.053092950558581285	0	1	296	9768	8064509	3DXS	X:1-74	Q9S7J8	55-128	8064510	3DXS	X:1-74	Q9S7J8	55-128	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8064515	0.5967273515837704	0.05316389568866505	0	0	296	9768	8064515	1YG0	A:1-66	Q48271	1-66	8064516	1YG0	A:1-66	Q48271	1-66	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8084338	0.5816974068663259	0.04270008778568298	0	0	296	9768	8084338	2KT2	A:1-69	P00392	1-69	8084339	2KT2	A:1-69	P00392	1-69	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8100715	0.583883080715851	0.04302855767823067	0	1	296	9768	8100715	2KYZ	A:1-67	Q9WYF6	1-67	8100716	2KYZ	A:1-67	Q9WYF6	1-67	TP=1,CL=1000003,CF=2000014,SF=3001159,FA=4001253	1	1000003	2000014	3001159	4001253
8031894	0.5380427066473579	0.14411646120927524	1	1	7	10062	8031894	1Y2I	A:1-107	Q83LS2	1-107	8044272	1Y2I	A:1-107	Q83LS2	1-107	TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633	1	1000003	2000724	3001160	4003633
8045447	0.4746926200414573	0.1521158262709864	1	1	7	10062	8045447	2Y1B	A:47-132	P69411	47-132	8090693	2Y1B	A:47-132	P69411	47-132	TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4004474	1	1000003	2000724	3001160	4004474
8046567	0.4850995257972002	0.0010387959591063804	0	0	7	10062	8046567	2JZ7	E:1-81	Q5UBU1	1-81	8090694	2JZ7	E:1-81	Q5UBU1	1-81	TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4005161	1	1000003	2000724	3001160	4005161
8090698	0.49303603373370813	0.00501508589694233	0	0	7	10062	8090698	3QKB	A:1-91	Q03GF5	1-91	8090699	3QKB	A:1-91	Q03GF5	1-91	TP=1,CL=1000003,CF=2000724,SF=3001160,FA=4003633	1	1000003	2000724	3001160	4003633
8045716	0.7007187097316797	0.13259856926530864	1	1	134	9938	8045716	3SWF	B:5-60	Q00194	621-676	8091636	3SWF	B:5-60	Q00194	621-676	TP=3,CL=1000000,CF=2000962,SF=3002529,FA=4004636	3	1000000	2000962	3002529	4004636
8066213	0.45315561615501093	0.005580302958376854	0	0	43	10029	8066213	2M9X	A:12-112	Q9Y2H9	187-287	8066214	2M9X	A:12-112	Q9Y2H9	187-287	TP=1,CL=1000000,CF=2001119,SF=3001162,FA=4001254	1	1000000	2001119	3001162	4001254
8023440	0.576263225756469	0.05595108072758643	1	1	296	9768	8023440	1H3D	A:225-299	P60757	225-299	8035820	1H3D	A:225-299	P60757	225-299	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4003656	1	1000003	2000014	3001165	4003656
8031440	0.5515896155676562	0.04520467784743898	1	1	296	9768	8031440	1NH8	A:211-284	P9WMN1	211-284	8043818	1NH8	A:211-284	P9WMN1	211-284	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4003656	1	1000003	2000014	3001165	4003656
8063679	0.5732393557562476	0.04508101834243556	0	1	296	9768	8063679	4E98	B:10-115	Q5CX58	11-116	8063680	4E98	B:10-115	Q5CX58	11-116	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632	1	1000003	2000014	3001165	4002632
8074430	0.5737245999070323	0.05577342508599571	1	1	296	9768	8074430	4USJ	C:3-144	A8JI83	64-205	8074431	4USJ	C:3-144	A8JI83	64-205	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256	1	1000003	2000014	3001165	4001256
8086165	0.5577336780884078	0.04717831302446145	1	1	296	9768	8086165	5O3P	A:2-110	P73954	2-110	8086166	5O3P	A:2-110	P73954	2-110	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256	1	1000003	2000014	3001165	4001256
8086171	0.5744924131748456	0.056295122453835875	1	1	296	9768	8086171	5D4P	C:2-107	D6CQJ8	2-107	8086172	5D4P	C:2-107	D6CQJ8	2-107	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4001256	1	1000003	2000014	3001165	4001256
8089359	0.5582062982823117	0.04525021665255275	0	1	296	9768	8089359	2DCL	B:2-110	O59172	2-110	8089360	2DCL	B:2-110	O59172	2-110	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4000638	1	1000003	2000014	3001165	4000638
8095766	0.5579124886557318	0.03761175840783946	0	0	296	9768	8095766	6GDU	A:2-113	Q31KX8	2-113	8095767	6GDU	A:2-113	Q31KX8	2-113	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4002632	1	1000003	2000014	3001165	4002632
8046695	0.5525044201142174	0.04085343185555361	0	1	296	9768	8046695	3CE8	A:1-101	A3CYS0	1-101	8103599	3CE8	A:1-101	A3CYS0	1-101	TP=1,CL=1000003,CF=2000014,SF=3001165,FA=4005244	1	1000003	2000014	3001165	4005244
8028450	0.46182814025372937	0.005629521363798065	0	0	43	10029	8028450	2FEF	B:6-129	Q9I1R6	6-129	8040829	2FEF	B:6-129	Q9I1R6	6-129	TP=1,CL=1000000,CF=2001119,SF=3001166,FA=4001257	1	1000000	2001119	3001166	4001257
8026006	0.624844778662069	0.013538723693541867	0	0	78	9994	8026006	1Q0G	A:1-117	P80734	15-131	8038385	1Q0G	A:1-117	P80734	15-131	TP=1,CL=1000000,CF=2000080,SF=3001167,FA=4002388	1	1000000	2000080	3001167	4002388
8045732	0.9987254609858642	0.3943247126436782	1	1	3	10069	8045732	5X6B	F:34-102	Q58876	34-102	8091696	5X6B	F:34-102	Q58876	34-102	TP=1,CL=1000000,CF=2001476,SF=3002536,FA=4004646	1	1000000	2001476	3002536	4004646
8025254	0.7895955480473019	0.002509072047745379	0	0	5	10063	8025254	1OLP	A:250-370	Q8GCY3	278-398	8037633	1OLP	A:250-370	Q8GCY3	278-398	TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002405	1	1000001	2000740	3001168	4002405
8028713	0.7549537911159694	0.0020021134000818425	0	0	5	10063	8028713	1BU8	A:337-449	P54318	353-465	8041092	1BU8	A:337-449	P54318	353-465	TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002394	1	1000001	2000740	3001168	4002394
8028716	0.7820729404750074	0.002476917278047083	0	0	5	10063	8028716	1QMD	A:250-370	Q0TV31	278-398	8041095	1QMD	A:250-370	Q0TV31	278-398	TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002405	1	1000001	2000740	3001168	4002405
8029927	0.6754248236112491	0.0008214590627197534	0	0	5	10063	8029927	1RRH	A:8-167	P09186	8-167	8042306	1RRH	A:8-167	P09186	8-167	TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389	1	1000001	2000740	3001168	4002389
8101095	0.6470634999503131	0.0010720752010996734	0	0	5	10063	8101095	4NRE	A:2-121	O15296	2-121	8101096	4NRE	A:2-121	O15296	2-121	TP=1,CL=1000001,CF=2000740,SF=3001168,FA=4002389	1	1000001	2000740	3001168	4002389
8045733	0.7877589876617115	0.07182409994925532	0	1	48	10023	8045733	3TUL	D:83-226	Q56019	83-226	8091699	3TUL	D:83-226	Q56019	83-226	TP=3,CL=1000000,CF=2001019,SF=3002537,FA=4004647	3	1000000	2001019	3002537	4004647
8045734	0.7671262346602814	0.03855546780897082	0	1	48	10023	8045734	3U0C	A:74-224	P18011	74-224	8091700	3U0C	A:74-224	P18011	74-224	TP=3,CL=1000000,CF=2001019,SF=3002537,FA=4004647	3	1000000	2001019	3002537	4004647
8026620	0.6464360274381151	0.0019916829723482417	0	0	12	10059	8026620	2BZB	A:1-54	A0A4Y1VZT9	19-72	8038999	2BZB	A:1-54	A0A4Y1VZT9	19-72	TP=1,CL=1000000,CF=2001135,SF=3001170,FA=4001258	1	1000000	2001135	3001170	4001258
8102041	0.6467466945024357	0.002029975553454828	0	0	12	10059	8102041	2C0S	A:1-57	A0A6L7H8X9	1-57	8102042	2C0S	A:1-57	A0A6L7H8X9	1-57	TP=1,CL=1000000,CF=2001135,SF=3001170,FA=4001258	1	1000000	2001135	3001170	4001258
8028961	0.46480323341379765	0.003907365891407643	0	0	43	10029	8028961	2FUG	1:334-438	Q56222	334-438	8041340	2FUG	1:334-438	Q56222	334-438	TP=1,CL=1000000,CF=2001119,SF=3001171,FA=4001259	1	1000000	2001119	3001171	4001259
8091731	0.7112565303060431	0.009452907449753646	0	1	11	10058	8091731	4YPT	A:1533-1609	P0C6X9	1533-1609	8091732	4YPT	A:1533-1609	P0C6X9	1533-1609	TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757	1	1000003	2000119	3002539	4007757
8091733	0.7106283555378803	0.0025809314215625542	0	0	11	10058	8091733	6MWM	A:1445-1522	P0C6W3	1445-1522	8091734	6MWM	A:1445-1522	P0C6W3	1445-1522	TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757	1	1000003	2000119	3002539	4007757
8091735	0.694449465825485	0.002050275925614799	0	0	11	10058	8091735	5UTV	A:4-77	P0C6W5	1345-1418	8091736	5UTV	A:4-77	P0C6W5	1345-1418	TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757	1	1000003	2000119	3002539	4007757
8047245	0.6800737540447225	0.0016884142447434953	0	0	11	10058	8047245	2KAF	A:2-67	P0C6U8	1473-1538	8091737	2KAF	A:2-67	P0C6U8	1473-1538	TP=1,CL=1000003,CF=2000119,SF=3002539,FA=4007757	1	1000003	2000119	3002539	4007757
8030948	0.5740091490791911	0.011830524720289464	0	0	78	9994	8030948	1M6Y	A:115-215	Q9WZX6	115-215	8043327	1M6Y	A:115-215	Q9WZX6	115-215	TP=1,CL=1000000,CF=2000117,SF=3001172,FA=4002372	1	1000000	2000117	3001172	4002372
8024028	0.9129754692620915	0.001060415088590996	0	0	2	10069	8024028	2QTV	A:524-626	P15303	524-626	8036407	2QTV	A:524-626	P15303	524-626	TP=1,CL=1000000,CF=2000464,SF=3001173,FA=4002392	1	1000000	2000464	3001173	4002392
8026146	0.9574436388916476	0.002141071061750285	0	0	2	10069	8026146	1PD0	A:647-753	P40482	647-753	8038525	1PD0	A:647-753	P40482	647-753	TP=1,CL=1000000,CF=2000464,SF=3001173,FA=4002392	1	1000000	2000464	3001173	4002392
8045738	0.7316486882407778	0.03459870240766846	0	1	60	10012	8045738	1ZHC	A:1-76	O25839	1-76	8091784	1ZHC	A:1-76	O25839	1-76	TP=1,CL=1000000,CF=2000036,SF=3002542,FA=4004651	1	1000000	2000036	3002542	4004651
8021479	0.563905468716324	0.041776767036948007	0	0	304	9768	8021479	1XQI	A:14-195	Q8ZWY4	2-183	8033859	1XQI	A:14-195	Q8ZWY4	2-183	TP=1,CL=1000003,CF=2000014,SF=3001175,FA=4001261	1	1000003	2000014	3001175	4001261
8045744	0.5579989073209497	0.00048149984490675283	0	0	4	10067	8045744	3V0R	A:28-157	P79085	28-157	8091789	3V0R	A:28-157	P79085	28-157	TP=1,CL=1000001,CF=2000425,SF=3002544,FA=4004656	1	1000001	2000425	3002544	4004656
8091793	0.5318118605344193	0.000409565916885312	0	0	4	10067	8091793	5XMZ	A:31-152	G0Y276	31-152	8091794	5XMZ	A:31-152	G0Y276	31-152	TP=1,CL=1000001,CF=2000425,SF=3002544,FA=4004656	1	1000001	2000425	3002544	4004656
