sid	auroc	auprc	hit1	hit10	n_true_pos	n_true_neg	span	sccs	cls_label	fold	superfamily	family	description	seq_len
d2bkma_	0.8553051176972459	0.3113931573775035	1	1	19	7526	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Geobacillus stearothermophilus [TaxId: 1422]}	128
d4i0va_	0.868529448788061	0.7283207309649304	1	1	19	7526	(A:)	a.1.1.1	a	a.1	a.1.1	a.1.1.1	automated matches {Synechococcus sp. [TaxId: 32049]}	123
d1asha_	0.839051288865267	0.6731942446681368	1	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Ascaris hemoglobin, domain 1 {Pig roundworm (Ascaris suum) [TaxId: 6253]}	147
d4hswa_	0.9068761626361945	0.5129931749911426	1	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Dehaloperoxidase {Amphitrite ornata [TaxId: 129555]}	137
d1hbga_	0.8182899282487377	0.689478595694879	1	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Glycera globin {Marine bloodworm (Glycera dibranchiata) [TaxId: 6350]}	147
d1or4a_	0.8667353175657719	0.2322720561591408	0	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Heme-based aerotactic transducer HemAT, sensor domain {Bacillus subtilis [TaxId: 1423]}	169
d1itha_	0.8847129949508371	0.6064311642353771	1	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin {Innkeeper worm (Urechis caupo) [TaxId: 6431]}	141
d3g46a_	0.8177584374169545	0.64310759848721	1	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Ark clam (Scapharca inaequivalvis) [TaxId: 6561]}	146
d1b0ba_	0.8653800159447249	0.6086945790318253	1	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin I {Clam (Lucina pectinata) [TaxId: 244486]}	142
d3d1ka_	0.7413964921605102	0.6941416625859905	1	1	10	7526	(A:)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hemoglobin, alpha-chain {Antarctic fish (Trematomus newnesi) [TaxId: 35730]}	142
d1tu9a1	0.7744884400744086	0.6330536408358329	1	1	10	7526	(A:2-130)	a.1.1.2	a	a.1	a.1.1	a.1.1.2	Hypothetical protein PA3967 {Pseudomonas aeruginosa [TaxId: 287]}	129
